Parameter S1 S1_conf ST ST_conf
a_neg -0.014481 0.023091 93.253138 150.982972
a_pos 0.000271 0.005454 0.637352 1.123133
l_neg 0.000143 0.000323 0.003027 0.005854
l_sep 0.000034 0.000097 0.013748 0.027803
l_pos -0.001162 0.003464 0.119651 0.260367
Rp_neg -0.000003 0.000006 0.000000 0.000000
Rp_pos 0.000001 0.000001 0.000000 0.000000
epsilon_f_neg 0.000000 0.000000 0.000000 0.000000
epsilon_f_pos 0.000000 0.000001 0.000001 0.000001
epsilon_neg -0.000301 0.000982 0.399980 0.559382
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.003223 0.006776 0.340903 0.089124
Cdl_neg 0.020086 0.036308 2.266593 4.843898
Cdl_pos 0.170609 0.358396 2.850676 4.348232
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000188 0.000464 0.001519 0.002940
D 0.000047 0.000108 0.000197 0.000390
Ds_neg 0.000000 0.000001 0.000000 0.000000
Ds_pos 0.000001 0.000001 0.000000 0.000000
d2Udcp2_pos_sgn -0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn -0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000003 0.000004 0.000000 0.000001
dUdcp_neg_mag -0.000003 0.000007 0.000000 0.000000
d2Udcp2_pos_mag -0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag -0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.002445 0.005699 0.020882 0.029252
i0_pos 0.007226 0.013454 1.437060 1.715255
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.000163 0.000407 0.030925 0.062441
aa_neg 0.000502 0.001043 0.053605 0.079483
aa_pos 0.009523 0.011225 2.284353 2.317889
kappa_0 0.000087 0.005090 0.194082 0.080725
sigma_neg -0.000000 0.000001 0.000000 0.000000
sigma_pos 0.000001 0.000004 0.000028 0.000017

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos 0.014406 0.022411
a_neg l_neg 0.014259 0.022231
a_neg l_sep 0.014050 0.022144
a_neg l_pos 0.013681 0.022043
a_neg Rp_neg 0.014021 0.022134
a_neg Rp_pos 0.014050 0.022145
a_neg epsilon_f_neg 0.014049 0.022144
a_neg epsilon_f_pos 0.014046 0.022143
a_neg epsilon_neg 0.013631 0.020959
a_neg epsilon_sep 0.014049 0.022144
a_neg epsilon_pos 0.014469 0.022298
a_neg Cdl_neg 0.170727 0.349753
a_neg Cdl_pos 0.013264 0.021959
a_neg cs_max_neg 0.014049 0.022144
a_neg cs_max_pos 0.014049 0.022144
a_neg c0 0.014046 0.022144
a_neg D 0.014050 0.022145
a_neg Ds_neg 0.014053 0.022146
a_neg Ds_pos 0.014049 0.022144
a_neg d2Udcp2_pos_sgn 0.014049 0.022144
a_neg d2Udcp2_neg_sgn 0.014049 0.022144
a_neg d3Udcp3_pos_sgn 0.014049 0.022144
a_neg d3Udcp3_neg_sgn 0.014049 0.022144
a_neg dUdcp_pos_mag 0.014046 0.022143
a_neg dUdcp_neg_mag 0.014021 0.022134
a_neg d2Udcp2_pos_mag 0.014049 0.022144
a_neg d2Udcp2_neg_mag 0.014049 0.022144
a_neg d3Udcp3_pos_mag 0.014049 0.022144
a_neg d3Udcp3_neg_mag 0.014049 0.022144
a_neg i0_neg 0.014678 0.022630
a_neg i0_pos 0.013607 0.022044
a_neg SOC_neg 0.014049 0.022144
a_neg SOC_pos 0.014049 0.022144
a_neg tP 0.014052 0.022145
a_neg aa_neg 0.014201 0.022579
a_neg aa_pos 0.013463 0.022072
a_neg kappa_0 0.012574 0.021866
a_neg sigma_neg 0.014049 0.022145
a_neg sigma_pos 0.014072 0.022151
a_pos l_neg -0.000823 0.006720
a_pos l_sep -0.001229 0.007038
a_pos l_pos -0.001584 0.007284
a_pos Rp_neg -0.001446 0.007236
a_pos Rp_pos -0.001446 0.007236
a_pos epsilon_f_neg -0.001446 0.007236
a_pos epsilon_f_pos -0.001446 0.007236
a_pos epsilon_neg -0.000019 0.006480
a_pos epsilon_sep -0.001446 0.007236
a_pos epsilon_pos 0.000342 0.006042
a_pos Cdl_neg -0.000313 0.006378
a_pos Cdl_pos 0.093592 0.213190
a_pos cs_max_neg -0.001446 0.007236
a_pos cs_max_pos -0.001446 0.007236
a_pos c0 -0.000548 0.006545
a_pos D -0.001231 0.007028
a_pos Ds_neg -0.001446 0.007236
a_pos Ds_pos -0.001446 0.007236
a_pos d2Udcp2_pos_sgn -0.001446 0.007236
a_pos d2Udcp2_neg_sgn -0.001446 0.007236
a_pos d3Udcp3_pos_sgn -0.001446 0.007236
a_pos d3Udcp3_neg_sgn -0.001446 0.007236
a_pos dUdcp_pos_mag -0.001447 0.007235
a_pos dUdcp_neg_mag -0.001446 0.007236
a_pos d2Udcp2_pos_mag -0.001446 0.007236
a_pos d2Udcp2_neg_mag -0.001446 0.007236
a_pos d3Udcp3_pos_mag -0.001446 0.007236
a_pos d3Udcp3_neg_mag -0.001446 0.007236
a_pos i0_neg -0.000204 0.006742
a_pos i0_pos -0.012088 0.031005
a_pos SOC_neg -0.001446 0.007236
a_pos SOC_pos -0.001446 0.007236
a_pos tP -0.000595 0.006565
a_pos aa_neg -0.001588 0.007176
a_pos aa_pos -0.002023 0.005796
a_pos kappa_0 -0.001053 0.007423
a_pos sigma_neg -0.001446 0.007236
a_pos sigma_pos -0.001446 0.007237
l_neg l_sep -0.000235 0.000417
l_neg l_pos -0.000255 0.000433
l_neg Rp_neg -0.000238 0.000421
l_neg Rp_pos -0.000238 0.000421
l_neg epsilon_f_neg -0.000238 0.000422
l_neg epsilon_f_pos -0.000239 0.000422
l_neg epsilon_neg -0.000218 0.000399
l_neg epsilon_sep -0.000238 0.000422
l_neg epsilon_pos -0.000058 0.000352
l_neg Cdl_neg -0.000986 0.002023
l_neg Cdl_pos -0.000485 0.000628
l_neg cs_max_neg -0.000238 0.000422
l_neg cs_max_pos -0.000238 0.000422
l_neg c0 -0.000228 0.000403
l_neg D -0.000236 0.000417
l_neg Ds_neg -0.000238 0.000422
l_neg Ds_pos -0.000238 0.000422
l_neg d2Udcp2_pos_sgn -0.000238 0.000422
l_neg d2Udcp2_neg_sgn -0.000238 0.000422
l_neg d3Udcp3_pos_sgn -0.000238 0.000422
l_neg d3Udcp3_neg_sgn -0.000238 0.000422
l_neg dUdcp_pos_mag -0.000239 0.000422
l_neg dUdcp_neg_mag -0.000238 0.000421
l_neg d2Udcp2_pos_mag -0.000238 0.000422
l_neg d2Udcp2_neg_mag -0.000238 0.000422
l_neg d3Udcp3_pos_mag -0.000238 0.000422
l_neg d3Udcp3_neg_mag -0.000238 0.000422
l_neg i0_neg -0.000234 0.000420
l_neg i0_pos -0.000159 0.000357
l_neg SOC_neg -0.000238 0.000422
l_neg SOC_pos -0.000238 0.000422
l_neg tP -0.000228 0.000405
l_neg aa_neg -0.000242 0.000424
l_neg aa_pos 0.000098 0.000453
l_neg kappa_0 -0.001365 0.002816
l_neg sigma_neg -0.000238 0.000422
l_neg sigma_pos -0.000237 0.000421
l_sep l_pos -0.000032 0.000096
l_sep Rp_neg -0.000033 0.000096
l_sep Rp_pos -0.000033 0.000096
l_sep epsilon_f_neg -0.000033 0.000096
l_sep epsilon_f_pos -0.000033 0.000096
l_sep epsilon_neg -0.000032 0.000096
l_sep epsilon_sep -0.000033 0.000096
l_sep epsilon_pos -0.000033 0.000096
l_sep Cdl_neg -0.000035 0.000097
l_sep Cdl_pos -0.000033 0.000096
l_sep cs_max_neg -0.000033 0.000096
l_sep cs_max_pos -0.000033 0.000096
l_sep c0 -0.000033 0.000096
l_sep D -0.000033 0.000096
l_sep Ds_neg -0.000033 0.000096
l_sep Ds_pos -0.000033 0.000096
l_sep d2Udcp2_pos_sgn -0.000033 0.000096
l_sep d2Udcp2_neg_sgn -0.000033 0.000096
l_sep d3Udcp3_pos_sgn -0.000033 0.000096
l_sep d3Udcp3_neg_sgn -0.000033 0.000096
l_sep dUdcp_pos_mag -0.000033 0.000096
l_sep dUdcp_neg_mag -0.000033 0.000096
l_sep d2Udcp2_pos_mag -0.000033 0.000096
l_sep d2Udcp2_neg_mag -0.000033 0.000096
l_sep d3Udcp3_pos_mag -0.000033 0.000096
l_sep d3Udcp3_neg_mag -0.000033 0.000096
l_sep i0_neg -0.000029 0.000095
l_sep i0_pos -0.000032 0.000096
l_sep SOC_neg -0.000033 0.000096
l_sep SOC_pos -0.000033 0.000096
l_sep tP -0.000033 0.000096
l_sep aa_neg -0.000033 0.000097
l_sep aa_pos -0.000033 0.000096
l_sep kappa_0 -0.000032 0.000096
l_sep sigma_neg -0.000033 0.000096
l_sep sigma_pos -0.000033 0.000096
l_pos Rp_neg 0.001327 0.003932
l_pos Rp_pos 0.001327 0.003932
l_pos epsilon_f_neg 0.001327 0.003932
l_pos epsilon_f_pos 0.001326 0.003931
l_pos epsilon_neg 0.001402 0.003919
l_pos epsilon_sep 0.001327 0.003932
l_pos epsilon_pos 0.005213 0.008210
l_pos Cdl_neg 0.001231 0.003921
l_pos Cdl_pos 0.019024 0.042375
l_pos cs_max_neg 0.001327 0.003932
l_pos cs_max_pos 0.001327 0.003932
l_pos c0 0.001329 0.003934
l_pos D 0.001327 0.003932
l_pos Ds_neg 0.001327 0.003932
l_pos Ds_pos 0.001327 0.003932
l_pos d2Udcp2_pos_sgn 0.001327 0.003932
l_pos d2Udcp2_neg_sgn 0.001327 0.003932
l_pos d3Udcp3_pos_sgn 0.001327 0.003932
l_pos d3Udcp3_neg_sgn 0.001327 0.003932
l_pos dUdcp_pos_mag 0.001327 0.003932
l_pos dUdcp_neg_mag 0.001326 0.003932
l_pos d2Udcp2_pos_mag 0.001327 0.003932
l_pos d2Udcp2_neg_mag 0.001327 0.003932
l_pos d3Udcp3_pos_mag 0.001327 0.003932
l_pos d3Udcp3_neg_mag 0.001327 0.003932
l_pos i0_neg 0.001388 0.004036
l_pos i0_pos 0.000839 0.003949
l_pos SOC_neg 0.001327 0.003932
l_pos SOC_pos 0.001327 0.003932
l_pos tP 0.001326 0.003932
l_pos aa_neg 0.001364 0.004048
l_pos aa_pos 0.001058 0.003112
l_pos kappa_0 0.002228 0.005084
l_pos sigma_neg 0.001327 0.003932
l_pos sigma_pos 0.001326 0.003930
Rp_neg Rp_pos 0.000001 0.000006
Rp_neg epsilon_f_neg 0.000001 0.000006
Rp_neg epsilon_f_pos 0.000001 0.000006
Rp_neg epsilon_neg 0.000002 0.000006
Rp_neg epsilon_sep 0.000001 0.000006
Rp_neg epsilon_pos 0.000002 0.000006
Rp_neg Cdl_neg 0.000008 0.000020
Rp_neg Cdl_pos 0.000001 0.000006
Rp_neg cs_max_neg 0.000001 0.000006
Rp_neg cs_max_pos 0.000001 0.000006
Rp_neg c0 0.000001 0.000006
Rp_neg D 0.000001 0.000006
Rp_neg Ds_neg 0.000001 0.000006
Rp_neg Ds_pos 0.000001 0.000006
Rp_neg d2Udcp2_pos_sgn 0.000001 0.000006
Rp_neg d2Udcp2_neg_sgn 0.000001 0.000006
Rp_neg d3Udcp3_pos_sgn 0.000001 0.000006
Rp_neg d3Udcp3_neg_sgn 0.000001 0.000006
Rp_neg dUdcp_pos_mag 0.000001 0.000006
Rp_neg dUdcp_neg_mag 0.000001 0.000006
Rp_neg d2Udcp2_pos_mag 0.000001 0.000006
Rp_neg d2Udcp2_neg_mag 0.000001 0.000006
Rp_neg d3Udcp3_pos_mag 0.000001 0.000006
Rp_neg d3Udcp3_neg_mag 0.000001 0.000006
Rp_neg i0_neg 0.000001 0.000006
Rp_neg i0_pos 0.000002 0.000006
Rp_neg SOC_neg 0.000001 0.000006
Rp_neg SOC_pos 0.000001 0.000006
Rp_neg tP 0.000001 0.000006
Rp_neg aa_neg 0.000003 0.000007
Rp_neg aa_pos 0.000003 0.000006
Rp_neg kappa_0 0.000002 0.000005
Rp_neg sigma_neg 0.000001 0.000006
Rp_neg sigma_pos 0.000001 0.000006
Rp_pos epsilon_f_neg -0.000006 0.000009
Rp_pos epsilon_f_pos -0.000006 0.000009
Rp_pos epsilon_neg -0.000014 0.000022
Rp_pos epsilon_sep -0.000006 0.000009
Rp_pos epsilon_pos -0.000007 0.000009
Rp_pos Cdl_neg -0.000001 0.000002
Rp_pos Cdl_pos -0.000098 0.000171
Rp_pos cs_max_neg -0.000006 0.000009
Rp_pos cs_max_pos -0.000006 0.000009
Rp_pos c0 -0.000006 0.000009
Rp_pos D -0.000006 0.000009
Rp_pos Ds_neg -0.000006 0.000009
Rp_pos Ds_pos -0.000006 0.000009
Rp_pos d2Udcp2_pos_sgn -0.000006 0.000009
Rp_pos d2Udcp2_neg_sgn -0.000006 0.000009
Rp_pos d3Udcp3_pos_sgn -0.000006 0.000009
Rp_pos d3Udcp3_neg_sgn -0.000006 0.000009
Rp_pos dUdcp_pos_mag -0.000006 0.000009
Rp_pos dUdcp_neg_mag -0.000006 0.000009
Rp_pos d2Udcp2_pos_mag -0.000006 0.000009
Rp_pos d2Udcp2_neg_mag -0.000006 0.000009
Rp_pos d3Udcp3_pos_mag -0.000006 0.000009
Rp_pos d3Udcp3_neg_mag -0.000006 0.000009
Rp_pos i0_neg -0.000004 0.000006
Rp_pos i0_pos -0.000003 0.000011
Rp_pos SOC_neg -0.000006 0.000009
Rp_pos SOC_pos -0.000006 0.000009
Rp_pos tP -0.000006 0.000009
Rp_pos aa_neg -0.000003 0.000005
Rp_pos aa_pos -0.000007 0.000009
Rp_pos kappa_0 -0.000006 0.000009
Rp_pos sigma_neg -0.000006 0.000009
Rp_pos sigma_pos -0.000006 0.000009
epsilon_f_neg epsilon_f_pos -0.000000 0.000000
epsilon_f_neg epsilon_neg -0.000000 0.000000
epsilon_f_neg epsilon_sep -0.000000 0.000000
epsilon_f_neg epsilon_pos -0.000000 0.000000
epsilon_f_neg Cdl_neg 0.000000 0.000001
epsilon_f_neg Cdl_pos -0.000000 0.000000
epsilon_f_neg cs_max_neg -0.000000 0.000000
epsilon_f_neg cs_max_pos -0.000000 0.000000
epsilon_f_neg c0 -0.000000 0.000000
epsilon_f_neg D -0.000000 0.000000
epsilon_f_neg Ds_neg -0.000000 0.000000
epsilon_f_neg Ds_pos -0.000000 0.000000
epsilon_f_neg d2Udcp2_pos_sgn -0.000000 0.000000
epsilon_f_neg d2Udcp2_neg_sgn -0.000000 0.000000
epsilon_f_neg d3Udcp3_pos_sgn -0.000000 0.000000
epsilon_f_neg d3Udcp3_neg_sgn -0.000000 0.000000
epsilon_f_neg dUdcp_pos_mag -0.000000 0.000000
epsilon_f_neg dUdcp_neg_mag -0.000000 0.000000
epsilon_f_neg d2Udcp2_pos_mag -0.000000 0.000000
epsilon_f_neg d2Udcp2_neg_mag -0.000000 0.000000
epsilon_f_neg d3Udcp3_pos_mag -0.000000 0.000000
epsilon_f_neg d3Udcp3_neg_mag -0.000000 0.000000
epsilon_f_neg i0_neg -0.000000 0.000000
