Parameter S1 S1_conf ST ST_conf
a_neg 0.008314 0.020249 0.027990 0.104288
a_pos -0.125900 0.079821 0.048442 0.114077
l_neg 0.000002 0.000013 0.000010 0.000059
l_sep 0.000002 0.000008 0.000000 0.000000
l_pos 0.000524 0.000211 0.000000 0.000000
Rp_neg -0.000163 0.001143 0.000570 0.002584
Rp_pos -0.004887 0.001864 0.000046 0.000232
epsilon_f_neg 0.000004 0.000011 0.000000 0.000000
epsilon_f_pos -0.000000 0.000001 0.000000 0.000000
epsilon_neg -0.040046 0.124276 0.014111 0.037215
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.011266 0.035730 0.311762 0.988166
Cdl_neg -0.000241 0.002955 0.016212 0.053006
Cdl_pos -0.002752 0.009789 0.004812 0.014334
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000089 0.000461 0.000040 0.000201
D -0.000003 0.000199 0.000001 0.000002
Ds_neg -0.000011 0.002353 0.008064 0.036868
Ds_pos -0.002285 0.024497 0.002391 0.012055
d2Udcp2_pos_sgn 0.006309 0.003286 0.000027 0.000065
d2Udcp2_neg_sgn 0.000732 0.003982 0.000606 0.003301
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.001074 0.010712 0.001371 0.007913
dUdcp_neg_mag 0.000026 0.000549 0.000321 0.001406
d2Udcp2_pos_mag -0.007036 0.023515 0.000689 0.002484
d2Udcp2_neg_mag 0.000364 0.001915 0.000146 0.000791
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.002512 0.021040 0.040513 0.135603
i0_pos 0.831425 0.439352 0.289639 0.132133
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000169 0.000677 0.000049 0.000202
aa_neg 0.009637 0.023180 0.137281 0.506529
aa_pos -0.023775 0.078960 0.314217 1.037395
kappa_0 -0.013000 0.061923 0.107314 0.356321
sigma_neg -0.000010 0.000033 0.000000 0.000000
sigma_pos -0.000002 0.000016 0.000000 0.000001

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.027580 0.066441
a_neg l_neg -0.023462 0.057127
a_neg l_sep -0.023481 0.057183
a_neg l_pos -0.023523 0.057317
a_neg Rp_neg -0.022754 0.055558
a_neg Rp_pos -0.023437 0.057009
a_neg epsilon_f_neg -0.023477 0.057174
a_neg epsilon_f_pos -0.023479 0.057175
a_neg epsilon_neg -0.046003 0.105454
a_neg epsilon_sep -0.023479 0.057176
a_neg epsilon_pos -0.012073 0.030369
a_neg Cdl_neg -0.020998 0.052401
a_neg Cdl_pos -0.023699 0.057809
a_neg cs_max_neg -0.023479 0.057176
a_neg cs_max_pos -0.023479 0.057176
a_neg c0 -0.023359 0.056775
a_neg D -0.023448 0.057073
a_neg Ds_neg -0.022898 0.055705
a_neg Ds_pos -0.017285 0.038378
a_neg d2Udcp2_pos_sgn -0.023505 0.057207
a_neg d2Udcp2_neg_sgn -0.023453 0.057114
a_neg d3Udcp3_pos_sgn -0.023479 0.057176
a_neg d3Udcp3_neg_sgn -0.023479 0.057176
a_neg dUdcp_pos_mag -0.026764 0.067998
a_neg dUdcp_neg_mag -0.022826 0.055708
a_neg d2Udcp2_pos_mag -0.017677 0.040384
a_neg d2Udcp2_neg_mag -0.023456 0.057121
a_neg d3Udcp3_pos_mag -0.023479 0.057176
a_neg d3Udcp3_neg_mag -0.023479 0.057176
a_neg i0_neg -0.023926 0.057085
a_neg i0_pos -0.014947 0.037568
a_neg SOC_neg -0.023479 0.057176
a_neg SOC_pos -0.023479 0.057176
a_neg tP -0.023366 0.056742
a_neg aa_neg -0.017672 0.051692
a_neg aa_pos -0.003749 0.055772
a_neg kappa_0 -0.023141 0.066005
a_neg sigma_neg -0.023484 0.057182
a_neg sigma_pos -0.023465 0.057143
a_pos l_neg 0.124898 0.098506
a_pos l_sep 0.124898 0.098506
a_pos l_pos 0.124428 0.098291
a_pos Rp_neg 0.118531 0.116699
a_pos Rp_pos 0.126506 0.113327
a_pos epsilon_f_neg 0.124896 0.098512
a_pos epsilon_f_pos 0.124898 0.098504
a_pos epsilon_neg 0.122611 0.104495
a_pos epsilon_sep 0.124898 0.098507
a_pos epsilon_pos 0.124372 0.088801
a_pos Cdl_neg 0.119688 0.112619
a_pos Cdl_pos 0.114162 0.152974
a_pos cs_max_neg 0.124898 0.098507
a_pos cs_max_pos 0.124898 0.098507
