Parameter S1 S1_conf ST ST_conf
a_neg 0.028813 0.073508 0.034444 0.083545
a_pos 0.031130 0.067047 0.526725 0.189515
l_neg 0.000056 0.000190 0.000125 0.000437
l_sep -0.000000 0.000000 0.000000 0.000000
l_pos 0.000008 0.000024 0.000000 0.000000
Rp_neg -0.000044 0.000172 0.000002 0.000006
Rp_pos 0.000671 0.003242 0.000079 0.000208
epsilon_f_neg 0.000002 0.000005 0.000000 0.000000
epsilon_f_pos 0.000005 0.000015 0.000000 0.000000
epsilon_neg -0.023236 0.069905 0.090766 0.162091
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.004375 0.065317 5.293508 2.755618
Cdl_neg -0.002148 0.007081 0.048375 0.090796
Cdl_pos 0.007091 0.016046 0.008024 0.025848
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000017 0.000033 0.000000 0.000001
D -0.000009 0.000019 0.000000 0.000000
Ds_neg -0.000068 0.000145 0.000026 0.000076
Ds_pos -0.000586 0.001223 0.000001 0.000002
d2Udcp2_pos_sgn 0.000000 0.000002 0.000000 0.000000
d2Udcp2_neg_sgn -0.000003 0.000013 0.000001 0.000004
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.001042 0.002767 0.000059 0.000157
dUdcp_neg_mag -0.000005 0.000143 0.000006 0.000018
d2Udcp2_pos_mag -0.000574 0.001308 0.000001 0.000003
d2Udcp2_neg_mag 0.000001 0.000010 0.000001 0.000002
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.001449 0.004845 0.021621 0.043308
i0_pos 0.007113 0.007261 0.713332 0.341084
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.000014 0.000034 0.000000 0.000001
aa_neg 0.002537 0.022538 0.238584 0.437777
aa_pos 0.066927 0.164600 0.933835 0.502110
kappa_0 -0.404562 1.070542 9.380927 23.011461
sigma_neg -0.000003 0.000017 0.000000 0.000000
sigma_pos -0.000021 0.000059 0.000000 0.000002

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.036754 0.084766
a_neg l_neg -0.056509 0.116732
a_neg l_sep -0.056258 0.116462
a_neg l_pos -0.056264 0.116470
a_neg Rp_neg -0.056273 0.116478
a_neg Rp_pos -0.054622 0.113495
a_neg epsilon_f_neg -0.056258 0.116462
a_neg epsilon_f_pos -0.056252 0.116452
a_neg epsilon_neg -0.059446 0.130281
a_neg epsilon_sep -0.056258 0.116462
a_neg epsilon_pos -0.023156 0.091289
a_neg Cdl_neg -0.064104 0.131453
a_neg Cdl_pos -0.055052 0.111582
a_neg cs_max_neg -0.056258 0.116462
a_neg cs_max_pos -0.056258 0.116462
a_neg c0 -0.056266 0.116476
a_neg D -0.056250 0.116449
a_neg Ds_neg -0.056231 0.116427
a_neg Ds_pos -0.055812 0.115679
a_neg d2Udcp2_pos_sgn -0.056258 0.116462
a_neg d2Udcp2_neg_sgn -0.056258 0.116462
a_neg d3Udcp3_pos_sgn -0.056258 0.116462
a_neg d3Udcp3_neg_sgn -0.056258 0.116462
a_neg dUdcp_pos_mag -0.057234 0.118287
a_neg dUdcp_neg_mag -0.056329 0.116534
a_neg d2Udcp2_pos_mag -0.055704 0.115492
a_neg d2Udcp2_neg_mag -0.056271 0.116476
a_neg d3Udcp3_pos_mag -0.056258 0.116462
a_neg d3Udcp3_neg_mag -0.056258 0.116462
a_neg i0_neg -0.054544 0.114748
a_neg i0_pos -0.063379 0.119069
a_neg SOC_neg -0.056258 0.116462
a_neg SOC_pos -0.056258 0.116462
a_neg tP -0.056273 0.116489
a_neg aa_neg -0.039817 0.102944
a_neg aa_pos -0.001442 0.113566
a_neg kappa_0 -0.438270 1.085749
a_neg sigma_neg -0.056257 0.116462
a_neg sigma_pos -0.056276 0.116497
a_pos l_neg -0.216099 0.559029
a_pos l_sep -0.216087 0.559022
a_pos l_pos -0.216075 0.558992
a_pos Rp_neg -0.216212 0.559106
a_pos Rp_pos -0.207641 0.536649
a_pos epsilon_f_neg -0.216088 0.559025
a_pos epsilon_f_pos -0.216047 0.558914
a_pos epsilon_neg -0.217395 0.562403
a_pos epsilon_sep -0.216087 0.559022
a_pos epsilon_pos -0.054156 0.132964
a_pos Cdl_neg -0.217948 0.561634
a_pos Cdl_pos -0.184439 0.475419
a_pos cs_max_neg -0.216087 0.559022
a_pos cs_max_pos -0.216087 0.559022
a_pos c0 -0.216056 0.558935
a_pos D -0.216093 0.559036
a_pos Ds_neg -0.216081 0.559042
a_pos Ds_pos -0.216401 0.559854
a_pos d2Udcp2_pos_sgn -0.216087 0.559021
a_pos d2Udcp2_neg_sgn -0.216086 0.559021
a_pos d3Udcp3_pos_sgn -0.216087 0.559022
a_pos d3Udcp3_neg_sgn -0.216087 0.559022
a_pos dUdcp_pos_mag -0.223421 0.578458
a_pos dUdcp_neg_mag -0.216027 0.558974
a_pos d2Udcp2_pos_mag -0.216088 0.559024
a_pos d2Udcp2_neg_mag -0.216087 0.559021
a_pos d3Udcp3_pos_mag -0.216087 0.559022
a_pos d3Udcp3_neg_mag -0.216087 0.559022
a_pos i0_neg -0.213430 0.558158
a_pos i0_pos -0.232088 0.597530
a_pos SOC_neg -0.216087 0.559022
a_pos SOC_pos -0.216087 0.559022
a_pos tP -0.216090 0.559028
a_pos aa_neg -0.201374 0.534127
a_pos aa_pos 0.230151 0.625043
a_pos kappa_0 -3.029654 8.035963
a_pos sigma_neg -0.216095 0.559034
a_pos sigma_pos -0.216247 0.559440
l_neg l_sep -0.000063 0.000197
l_neg l_pos -0.000063 0.000197
l_neg Rp_neg -0.000063 0.000197
l_neg Rp_pos -0.000063 0.000197
l_neg epsilon_f_neg -0.000063 0.000197
l_neg epsilon_f_pos -0.000063 0.000197
l_neg epsilon_neg -0.000060 0.000196
l_neg epsilon_sep -0.000063 0.000197
l_neg epsilon_pos -0.000060 0.000197
l_neg Cdl_neg -0.000063 0.000199
l_neg Cdl_pos -0.000064 0.000198
l_neg cs_max_neg -0.000063 0.000197
l_neg cs_max_pos -0.000063 0.000197
l_neg c0 -0.000063 0.000197
l_neg D -0.000063 0.000197
l_neg Ds_neg -0.000063 0.000197
l_neg Ds_pos -0.000063 0.000197
l_neg d2Udcp2_pos_sgn -0.000063 0.000197
l_neg d2Udcp2_neg_sgn -0.000063 0.000197
l_neg d3Udcp3_pos_sgn -0.000063 0.000197
l_neg d3Udcp3_neg_sgn -0.000063 0.000197
l_neg dUdcp_pos_mag -0.000063 0.000197
l_neg dUdcp_neg_mag -0.000062 0.000196
l_neg d2Udcp2_pos_mag -0.000063 0.000197
l_neg d2Udcp2_neg_mag -0.000063 0.000197
l_neg d3Udcp3_pos_mag -0.000063 0.000197
l_neg d3Udcp3_neg_mag -0.000063 0.000197
l_neg i0_neg -0.000061 0.000195
l_neg i0_pos -0.000065 0.000198
l_neg SOC_neg -0.000063 0.000197
l_neg SOC_pos -0.000063 0.000197
l_neg tP -0.000063 0.000197
l_neg aa_neg -0.000051 0.000186
l_neg aa_pos -0.000058 0.000195
l_neg kappa_0 -0.000098 0.000240
l_neg sigma_neg -0.000063 0.000197
l_neg sigma_pos -0.000063 0.000197
l_sep l_pos 0.000000 0.000000
l_sep Rp_neg 0.000000 0.000000
l_sep Rp_pos 0.000000 0.000000
l_sep epsilon_f_neg 0.000000 0.000000
l_sep epsilon_f_pos 0.000000 0.000000
l_sep epsilon_neg 0.000000 0.000000
l_sep epsilon_sep 0.000000 0.000000
l_sep epsilon_pos 0.000000 0.000000
l_sep Cdl_neg 0.000000 0.000000
l_sep Cdl_pos 0.000000 0.000000
l_sep cs_max_neg 0.000000 0.000000
l_sep cs_max_pos 0.000000 0.000000
l_sep c0 0.000000 0.000000
l_sep D 0.000000 0.000000
l_sep Ds_neg 0.000000 0.000000
l_sep Ds_pos 0.000000 0.000000
l_sep d2Udcp2_pos_sgn 0.000000 0.000000
l_sep d2Udcp2_neg_sgn 0.000000 0.000000
l_sep d3Udcp3_pos_sgn 0.000000 0.000000
l_sep d3Udcp3_neg_sgn 0.000000 0.000000
l_sep dUdcp_pos_mag 0.000000 0.000000
l_sep dUdcp_neg_mag 0.000000 0.000000
l_sep d2Udcp2_pos_mag 0.000000 0.000000
l_sep d2Udcp2_neg_mag 0.000000 0.000000
l_sep d3Udcp3_pos_mag 0.000000 0.000000
l_sep d3Udcp3_neg_mag 0.000000 0.000000
l_sep i0_neg 0.000000 0.000000
l_sep i0_pos 0.000000 0.000000
l_sep SOC_neg 0.000000 0.000000
l_sep SOC_pos 0.000000 0.000000
l_sep tP 0.000000 0.000000
l_sep aa_neg 0.000000 0.000000
l_sep aa_pos 0.000000 0.000000
l_sep kappa_0 0.000000 0.000000
l_sep sigma_neg 0.000000 0.000000
l_sep sigma_pos 0.000000 0.000000
l_pos Rp_neg -0.000005 0.000025
l_pos Rp_pos -0.000006 0.000024
l_pos epsilon_f_neg -0.000005 0.000025
l_pos epsilon_f_pos -0.000005 0.000025
l_pos epsilon_neg -0.000009 0.000027
l_pos epsilon_sep -0.000005 0.000025
l_pos epsilon_pos -0.000010 0.000025
l_pos Cdl_neg -0.000006 0.000024
l_pos Cdl_pos -0.000005 0.000025
l_pos cs_max_neg -0.000005 0.000025
l_pos cs_max_pos -0.000005 0.000025
l_pos c0 -0.000005 0.000025
l_pos D -0.000005 0.000025
l_pos Ds_neg -0.000005 0.000025
l_pos Ds_pos -0.000005 0.000025
l_pos d2Udcp2_pos_sgn -0.000005 0.000025
l_pos d2Udcp2_neg_sgn -0.000005 0.000025
l_pos d3Udcp3_pos_sgn -0.000005 0.000025
l_pos d3Udcp3_neg_sgn -0.000005 0.000025
l_pos dUdcp_pos_mag -0.000005 0.000025
l_pos dUdcp_neg_mag -0.000005 0.000025
l_pos d2Udcp2_pos_mag -0.000005 0.000025
l_pos d2Udcp2_neg_mag -0.000005 0.000025
l_pos d3Udcp3_pos_mag -0.000005 0.000025
l_pos d3Udcp3_neg_mag -0.000005 0.000025
l_pos i0_neg -0.000005 0.000025
l_pos i0_pos 0.000001 0.000043
l_pos SOC_neg -0.000005 0.000025
l_pos SOC_pos -0.000005 0.000025
l_pos tP -0.000005 0.000025
l_pos aa_neg 0.000001 0.000043
l_pos aa_pos -0.000008 0.000026
l_pos kappa_0 0.000012 0.000047
l_pos sigma_neg -0.000005 0.000025
l_pos sigma_pos -0.000005 0.000025
Rp_neg Rp_pos 0.000014 0.000171
Rp_neg epsilon_f_neg 0.000014 0.000171
Rp_neg epsilon_f_pos 0.000014 0.000171
Rp_neg epsilon_neg -0.000273 0.000988
Rp_neg epsilon_sep 0.000014 0.000171
Rp_neg epsilon_pos 0.000013 0.000172
Rp_neg Cdl_neg 0.000025 0.000159
Rp_neg Cdl_pos 0.000102 0.000287
Rp_neg cs_max_neg 0.000014 0.000171
Rp_neg cs_max_pos 0.000014 0.000171
Rp_neg c0 0.000014 0.000171
Rp_neg D 0.000014 0.000171
Rp_neg Ds_neg 0.000014 0.000171
Rp_neg Ds_pos 0.000014 0.000171
Rp_neg d2Udcp2_pos_sgn 0.000014 0.000171
Rp_neg d2Udcp2_neg_sgn 0.000014 0.000171
Rp_neg d3Udcp3_pos_sgn 0.000014 0.000171
Rp_neg d3Udcp3_neg_sgn 0.000014 0.000171
Rp_neg dUdcp_pos_mag 0.000014 0.000171
Rp_neg dUdcp_neg_mag 0.000014 0.000171
Rp_neg d2Udcp2_pos_mag 0.000014 0.000171
Rp_neg d2Udcp2_neg_mag 0.000014 0.000171
Rp_neg d3Udcp3_pos_mag 0.000014 0.000171
Rp_neg d3Udcp3_neg_mag 0.000014 0.000171
Rp_neg i0_neg 0.000034 0.000166
Rp_neg i0_pos 0.000024 0.000164
Rp_neg SOC_neg 0.000014 0.000171
Rp_neg SOC_pos 0.000014 0.000171
Rp_neg tP 0.000014 0.000171
Rp_neg aa_neg 0.000132 0.000374
Rp_neg aa_pos 0.000013 0.000167
Rp_neg kappa_0 0.000034 0.000175
Rp_neg sigma_neg 0.000014 0.000171
Rp_neg sigma_pos 0.000014 0.000171
Rp_pos epsilon_f_neg -0.000679 0.003248
Rp_pos epsilon_f_pos -0.000679 0.003248
Rp_pos epsilon_neg -0.000673 0.003245
Rp_pos epsilon_sep -0.000679 0.003248
Rp_pos epsilon_pos -0.000671 0.003242
Rp_pos Cdl_neg -0.000678 0.003247
Rp_pos Cdl_pos -0.000673 0.003244
Rp_pos cs_max_neg -0.000679 0.003248
Rp_pos cs_max_pos -0.000679 0.003248
Rp_pos c0 -0.000679 0.003248
Rp_pos D -0.000679 0.003248
