Parameter S1 S1_conf ST ST_conf
a_neg -0.026466 0.041788 0.126079 0.093675
a_pos 0.165329 0.451982 5.708480 14.490789
l_neg -0.000040 0.000085 0.000000 0.000000
l_sep 0.000000 0.000000 0.000000 0.000000
l_pos -0.000522 0.001381 0.000056 0.000138
Rp_neg 0.000003 0.000049 0.000001 0.000003
Rp_pos -0.000048 0.000138 0.000003 0.000008
epsilon_f_neg 0.000007 0.000017 0.000000 0.000000
epsilon_f_pos 0.000017 0.000026 0.000000 0.000000
epsilon_neg -0.021898 0.085439 0.138364 0.153181
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.195408 0.317314 0.334356 0.445711
Cdl_neg 0.013299 0.166661 0.435702 0.512910
Cdl_pos 0.015040 0.037663 2.208648 5.635302
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000001 0.000004 0.000000 0.000000
D -0.000001 0.000003 0.000000 0.000000
Ds_neg -0.000012 0.000036 0.000002 0.000006
Ds_pos -0.000002 0.000037 0.000000 0.000000
d2Udcp2_pos_sgn -0.000001 0.000002 0.000000 0.000000
d2Udcp2_neg_sgn -0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000002 0.000074 0.000001 0.000002
dUdcp_neg_mag 0.000105 0.000283 0.000001 0.000002
d2Udcp2_pos_mag 0.000005 0.000015 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.002716 0.013094 0.043609 0.100718
i0_pos 0.006464 0.026715 1.253201 2.268698
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.000009 0.000020 0.000000 0.000000
aa_neg 0.095873 0.183809 0.168084 0.277093
aa_pos 0.063808 0.098973 0.077058 0.107874
kappa_0 -0.033043 0.069856 0.714658 1.625528
sigma_neg -0.000070 0.000138 0.000000 0.000000
sigma_pos 0.000038 0.000061 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.061753 0.399485
a_neg l_neg 0.078535 0.092117
a_neg l_sep 0.078533 0.092096
a_neg l_pos 0.078974 0.091849
a_neg Rp_neg 0.078618 0.092040
a_neg Rp_pos 0.078449 0.092143
a_neg epsilon_f_neg 0.078524 0.092101
a_neg epsilon_f_pos 0.078528 0.092102
a_neg epsilon_neg 0.235961 0.709686
a_neg epsilon_sep 0.078533 0.092096
a_neg epsilon_pos 0.080870 0.091151
a_neg Cdl_neg 0.010363 0.440250
a_neg Cdl_pos 0.079313 0.091415
a_neg cs_max_neg 0.078533 0.092096
a_neg cs_max_pos 0.078533 0.092096
a_neg c0 0.078534 0.092097
a_neg D 0.078534 0.092095
a_neg Ds_neg 0.078607 0.092039
a_neg Ds_pos 0.078521 0.092102
a_neg d2Udcp2_pos_sgn 0.078533 0.092097
a_neg d2Udcp2_neg_sgn 0.078533 0.092096
a_neg d3Udcp3_pos_sgn 0.078533 0.092096
a_neg d3Udcp3_neg_sgn 0.078533 0.092096
a_neg dUdcp_pos_mag 0.078607 0.092034
a_neg dUdcp_neg_mag 0.078502 0.092005
a_neg d2Udcp2_pos_mag 0.078536 0.092091
a_neg d2Udcp2_neg_mag 0.078533 0.092096
a_neg d3Udcp3_pos_mag 0.078533 0.092096
a_neg d3Udcp3_neg_mag 0.078533 0.092096
a_neg i0_neg 0.062211 0.095740
a_neg i0_pos 0.080796 0.091102
a_neg SOC_neg 0.078533 0.092096
a_neg SOC_pos 0.078533 0.092096
a_neg tP 0.078530 0.092097
a_neg aa_neg 0.096427 0.103349
a_neg aa_pos 0.088759 0.090794
a_neg kappa_0 0.037090 0.099960
a_neg sigma_neg 0.078562 0.092161
a_neg sigma_pos 0.078575 0.092055
a_pos l_neg -0.157754 0.455471
a_pos l_sep -0.157758 0.455478
a_pos l_pos -0.157714 0.455447
a_pos Rp_neg -0.157753 0.455478
a_pos Rp_pos -0.157866 0.455633
a_pos epsilon_f_neg -0.157758 0.455478
a_pos epsilon_f_pos -0.157762 0.455477
a_pos epsilon_neg -0.131373 0.440826
a_pos epsilon_sep -0.157758 0.455478
a_pos epsilon_pos -0.088789 0.451913
a_pos Cdl_neg -0.152256 0.450872
a_pos Cdl_pos -0.154324 0.446798
a_pos cs_max_neg -0.157758 0.455478
a_pos cs_max_pos -0.157758 0.455478
