Parameter S1 S1_conf ST ST_conf
a_neg 0.011020 0.019790 103.742160 140.242374
a_pos 0.011733 0.055516 12.422398 26.714202
l_neg -0.000083 0.000155 0.000022 0.000038
l_sep 0.000002 0.000004 0.000004 0.000011
l_pos -0.002969 0.005752 0.001543 0.002669
Rp_neg -0.000025 0.000068 0.000000 0.000001
Rp_pos 0.000002 0.000013 0.000000 0.000000
epsilon_f_neg 0.000001 0.000002 0.000000 0.000000
epsilon_f_pos -0.000002 0.000013 0.000000 0.000000
epsilon_neg 0.001440 0.002663 0.941362 1.559858
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.006687 0.038218 0.528538 0.361604
Cdl_neg 0.245322 0.531820 12.201406 31.085427
Cdl_pos -0.112306 0.249654 1.445510 1.544423
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000021 0.000144 0.000001 0.000003
D 0.000001 0.000003 0.000000 0.000000
Ds_neg 0.000044 0.000120 0.000001 0.000003
Ds_pos 0.000012 0.000018 0.000000 0.000000
d2Udcp2_pos_sgn -0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn -0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.000015 0.000029 0.000001 0.000001
dUdcp_neg_mag -0.000047 0.000099 0.000000 0.000001
d2Udcp2_pos_mag -0.000001 0.000001 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.003067 0.007158 0.034441 0.064889
i0_pos 0.030302 0.035149 1.729162 3.505333
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.000010 0.000144 0.000001 0.000003
aa_neg 0.011644 0.025074 0.150283 0.236158
aa_pos 0.042695 0.035555 14.524656 8.083063
kappa_0 -0.000267 0.006570 0.277815 0.160897
sigma_neg -0.000008 0.000018 0.000000 0.000000
sigma_pos 0.000049 0.000116 0.000001 0.000001

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.004673 0.062973
a_neg l_neg -0.003771 0.031465
a_neg l_sep -0.003900 0.031304
a_neg l_pos -0.003835 0.031357
a_neg Rp_neg -0.004159 0.031019
a_neg Rp_pos -0.003894 0.031313
a_neg epsilon_f_neg -0.003900 0.031304
a_neg epsilon_f_pos -0.003964 0.031218
a_neg epsilon_neg -0.005843 0.038653
a_neg epsilon_sep -0.003900 0.031304
a_neg epsilon_pos 0.002970 0.040303
a_neg Cdl_neg 1.617436 4.229901
a_neg Cdl_pos -0.012364 0.025383
a_neg cs_max_neg -0.003900 0.031304
a_neg cs_max_pos -0.003900 0.031304
a_neg c0 -0.003899 0.031304
a_neg D -0.003899 0.031304
a_neg Ds_neg -0.003443 0.031838
a_neg Ds_pos -0.003900 0.031304
a_neg d2Udcp2_pos_sgn -0.003900 0.031304
a_neg d2Udcp2_neg_sgn -0.003900 0.031304
a_neg d3Udcp3_pos_sgn -0.003900 0.031304
a_neg d3Udcp3_neg_sgn -0.003900 0.031304
a_neg dUdcp_pos_mag -0.003915 0.031281
a_neg dUdcp_neg_mag -0.004167 0.031009
a_neg d2Udcp2_pos_mag -0.003899 0.031305
a_neg d2Udcp2_neg_mag -0.003900 0.031304
a_neg d3Udcp3_pos_mag -0.003900 0.031304
a_neg d3Udcp3_neg_mag -0.003900 0.031304
a_neg i0_neg 0.002331 0.036664
a_neg i0_pos -0.011847 0.025570
a_neg SOC_neg -0.003900 0.031304
a_neg SOC_pos -0.003900 0.031304
a_neg tP -0.003899 0.031305
a_neg aa_neg -0.005032 0.029136
a_neg aa_pos -0.016492 0.026294
a_neg kappa_0 -0.007122 0.027670
a_neg sigma_neg -0.003896 0.031306
a_neg sigma_pos -0.003458 0.031959
a_pos l_neg -0.006945 0.057216
a_pos l_sep -0.006896 0.057182
a_pos l_pos -0.004560 0.055728
a_pos Rp_neg -0.006907 0.057191
a_pos Rp_pos -0.006901 0.057189
a_pos epsilon_f_neg -0.006907 0.057191
a_pos epsilon_f_pos -0.006908 0.057190
a_pos epsilon_neg -0.005593 0.056987
a_pos epsilon_sep -0.006907 0.057191
a_pos epsilon_pos -0.021825 0.079855
a_pos Cdl_neg -0.007657 0.057105
a_pos Cdl_pos 0.135342 0.183583
a_pos cs_max_neg -0.006907 0.057191
a_pos cs_max_pos -0.006907 0.057191
