Parameter S1 S1_conf ST ST_conf
a_neg -0.000307 0.005503 2.752866 53.523222
a_pos -0.000042 0.001803 0.018097 0.276741
l_neg 0.000044 0.001435 0.096597 0.044484
l_sep -0.000057 0.000304 0.566471 0.277284
l_pos 0.000082 0.001696 0.059257 1.168233
Rp_neg -0.000000 0.000001 0.000000 0.000000
Rp_pos 0.000000 0.000000 0.000000 0.000000
epsilon_f_neg -0.000000 0.000000 0.000000 0.000000
epsilon_f_pos -0.000000 0.000001 0.000000 0.000001
epsilon_neg 0.000022 0.002526 0.839059 0.342943
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.000026 0.010934 0.084444 1.162123
Cdl_neg 0.000537 0.008931 0.222658 0.961084
Cdl_pos 0.005177 0.109977 0.221393 2.787707
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000153 0.002765 0.042565 0.022757
D 0.000008 0.000422 0.015368 0.007287
Ds_neg -0.000000 0.000000 0.000000 0.000000
Ds_pos 0.000000 0.000000 0.000000 0.000000
d2Udcp2_pos_sgn -0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000000 0.000001 0.000000 0.000000
dUdcp_neg_mag -0.000000 0.000001 0.000000 0.000000
d2Udcp2_pos_mag -0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag -0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.000050 0.000993 0.000651 0.011582
i0_pos 0.000130 0.009660 0.097525 1.016410
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.000028 0.002485 0.930988 0.447411
aa_neg 0.000010 0.000279 0.001340 0.023983
aa_pos 0.000475 0.006136 0.083767 0.965899
kappa_0 -0.000233 0.008726 0.744246 0.236718
sigma_neg -0.000000 0.000000 0.000000 0.000000
sigma_pos -0.000000 0.000007 0.000002 0.000014

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos 0.000335 0.005299
a_neg l_neg 0.000359 0.005507
a_neg l_sep 0.000332 0.005198
a_neg l_pos 0.000281 0.004832
a_neg Rp_neg 0.000330 0.005192
a_neg Rp_pos 0.000331 0.005198
a_neg epsilon_f_neg 0.000331 0.005198
a_neg epsilon_f_pos 0.000331 0.005198
a_neg epsilon_neg 0.000349 0.005143
a_neg epsilon_sep 0.000331 0.005198
a_neg epsilon_pos 0.000280 0.005062
a_neg Cdl_neg 0.003625 0.072015
a_neg Cdl_pos 0.000453 0.005912
a_neg cs_max_neg 0.000331 0.005198
a_neg cs_max_pos 0.000331 0.005198
a_neg c0 0.000330 0.005192
a_neg D 0.000331 0.005199
a_neg Ds_neg 0.000331 0.005198
a_neg Ds_pos 0.000331 0.005198
a_neg d2Udcp2_pos_sgn 0.000331 0.005198
a_neg d2Udcp2_neg_sgn 0.000331 0.005198
a_neg d3Udcp3_pos_sgn 0.000331 0.005198
a_neg d3Udcp3_neg_sgn 0.000331 0.005198
a_neg dUdcp_pos_mag 0.000331 0.005197
a_neg dUdcp_neg_mag 0.000330 0.005192
a_neg d2Udcp2_pos_mag 0.000331 0.005198
a_neg d2Udcp2_neg_mag 0.000331 0.005198
a_neg d3Udcp3_pos_mag 0.000331 0.005198
a_neg d3Udcp3_neg_mag 0.000331 0.005198
a_neg i0_neg 0.000361 0.005588
a_neg i0_pos 0.000295 0.005016
a_neg SOC_neg 0.000331 0.005198
a_neg SOC_pos 0.000331 0.005198
a_neg tP 0.000332 0.005197
a_neg aa_neg 0.000333 0.005302
a_neg aa_pos 0.000206 0.004701
a_neg kappa_0 0.000399 0.006607
a_neg sigma_neg 0.000331 0.005198
a_neg sigma_pos 0.000331 0.005202
a_pos l_neg -0.000187 0.004316
a_pos l_sep -0.000345 0.008026
a_pos l_pos -0.000512 0.009615
a_pos Rp_neg -0.000448 0.008925
a_pos Rp_pos -0.000448 0.008925
a_pos epsilon_f_neg -0.000448 0.008925
a_pos epsilon_f_pos -0.000448 0.008925
a_pos epsilon_neg 0.000094 0.002350
a_pos epsilon_sep -0.000448 0.008925
a_pos epsilon_pos -0.000600 0.010357
a_pos Cdl_neg -0.000061 0.002012
a_pos Cdl_pos 0.001735 0.095512
a_pos cs_max_neg -0.000448 0.008925
a_pos cs_max_pos -0.000448 0.008925
