Parameter S1 S1_conf ST ST_conf
a_neg 0.001499 0.004160 6.360154 580.561065
a_pos 0.082302 0.041285 0.002325 0.813278
l_neg -0.000002 0.000045 0.104818 2.980538
l_sep 0.000153 0.000197 0.000000 0.000085
l_pos 0.004014 0.002011 0.000005 0.000007
Rp_neg -0.000000 0.000386 0.000837 0.075956
Rp_pos -0.000740 0.000371 0.000002 0.001175
epsilon_f_neg 0.000000 0.000000 0.000000 0.000000
epsilon_f_pos 0.000022 0.000011 0.000000 0.000000
epsilon_neg 0.000005 0.001099 0.474546 42.684231
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.702262 0.351749 0.139111 0.412801
Cdl_neg -0.000000 0.000000 0.000000 0.000000
Cdl_pos -0.000000 0.000000 0.000000 0.000000
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.006777 0.003387 0.000056 0.085571
D -0.002666 0.001342 0.000006 0.003877
Ds_neg -0.005593 6.200032 106.827848 161148.433424
Ds_pos 0.167170 0.083731 40.822594 23966.733099
d2Udcp2_pos_sgn 0.000001 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn -0.000000 0.000001 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn -0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.167161 0.083846 0.007845 0.006852
dUdcp_neg_mag -0.002869 8.687504 2175.718069 61858.855874
d2Udcp2_pos_mag -701.616357 351.428014 138150.517726 69197.089385
d2Udcp2_neg_mag 0.000003 0.007112 2.299342 3239.850492
d3Udcp3_pos_mag 0.000416 0.000209 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000003 0.000000 0.000008
i0_neg 0.000004 0.000033 0.005885 0.191096
i0_pos -0.008120 0.004056 0.000093 0.044028
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.000340 0.001214 0.001534 0.048673
aa_neg -0.000000 0.000001 0.000000 0.000000
aa_pos 0.000000 0.000028 0.000000 0.000000
kappa_0 0.120515 0.060387 0.009712 0.290473
sigma_neg -0.000000 0.000001 0.000000 0.000002
sigma_pos 0.000158 0.000080 0.000000 0.000001

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos 0.082840 0.041182
a_neg l_neg 0.164695 0.081066
a_neg l_sep 0.164459 0.081946
a_neg l_pos 0.160622 0.080023
a_neg Rp_neg 0.164606 0.083218
a_neg Rp_pos 0.165346 0.082384
a_neg epsilon_f_neg 0.164611 0.082017
a_neg epsilon_f_pos 0.164589 0.082006
a_neg epsilon_neg 0.164569 0.089563
a_neg epsilon_sep 0.164611 0.082017
a_neg epsilon_pos 0.862338 0.431399
a_neg Cdl_neg 0.164611 0.082018
a_neg Cdl_pos 0.164611 0.082018
a_neg cs_max_neg 0.164611 0.082017
a_neg cs_max_pos 0.164611 0.082017
a_neg c0 0.171344 0.085396
a_neg D 0.167260 0.083316
a_neg Ds_neg 0.067881 160.750887
a_neg Ds_pos -0.001479 0.004635
a_neg d2Udcp2_pos_sgn 0.164610 0.082017
a_neg d2Udcp2_neg_sgn 0.164611 0.082018
a_neg d3Udcp3_pos_sgn 0.164611 0.082017
a_neg d3Udcp3_neg_sgn 0.164611 0.082017
a_neg dUdcp_pos_mag -0.001471 0.005808
a_neg dUdcp_neg_mag 0.178099 4.336559
a_neg d2Udcp2_pos_mag 697.250483 349.240667
a_neg d2Udcp2_neg_mag 0.164840 0.491066
a_neg d3Udcp3_pos_mag 0.164197 0.081810
a_neg d3Udcp3_neg_mag 0.164611 0.082018
a_neg i0_neg 0.164607 0.082011
a_neg i0_pos 0.172679 0.086050
a_neg SOC_neg 0.164611 0.082017
a_neg SOC_pos 0.164611 0.082017
a_neg tP 0.164273 0.081881
a_neg aa_neg 0.164611 0.082018
a_neg aa_pos 0.164610 0.082018
a_neg kappa_0 0.044866 0.022464
a_neg sigma_neg 0.164611 0.082018
a_neg sigma_pos 0.164453 0.081940
a_pos l_neg -0.081900 0.041062
a_pos l_sep -0.081900 0.041063
a_pos l_pos -0.081909 0.041066
a_pos Rp_neg -0.081900 0.041061
a_pos Rp_pos -0.081898 0.041065
a_pos epsilon_f_neg -0.081900 0.041062
a_pos epsilon_f_pos -0.081900 0.041062
a_pos epsilon_neg -0.081900 0.041060
a_pos epsilon_sep -0.081900 0.041062
a_pos epsilon_pos -0.080208 0.040233
a_pos Cdl_neg -0.081900 0.041062
a_pos Cdl_pos -0.081900 0.041062
a_pos cs_max_neg -0.081900 0.041062
a_pos cs_max_pos -0.081900 0.041062
