Parameter S1 S1_conf ST ST_conf
a_neg -0.000091 0.019076 1.328787 164.376225
a_pos 0.003180 0.007378 0.003397 0.428543
l_neg -0.000002 0.000040 0.614227 0.508158
l_sep 0.000090 0.000309 0.000006 0.000505
l_pos 0.003560 0.008146 0.000039 0.000088
Rp_neg -0.000003 0.000670 0.000220 0.023585
Rp_pos -0.211139 0.483091 0.135707 0.310426
epsilon_f_neg 0.000000 0.000000 0.000000 0.000000
epsilon_f_pos 0.000002 0.000004 0.000000 0.000000
epsilon_neg 0.000059 0.001959 0.438335 12.262490
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.029072 0.066526 0.005218 0.224420
Cdl_neg -0.000000 0.000000 0.000000 0.000000
Cdl_pos -0.000001 0.000002 0.000000 0.000000
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000207 0.000495 0.000638 0.104717
D 0.000112 0.000259 0.000049 0.004250
Ds_neg -0.031032 4.591918 360.002637 35545.601176
Ds_pos 0.006606 0.015121 560.266329 47569.670979
d2Udcp2_pos_sgn 0.000005 0.000011 0.000000 0.000000
d2Udcp2_neg_sgn -0.000000 0.000003 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn -0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.006409 0.058375 0.000529 0.115355
dUdcp_neg_mag -0.179665 2.558104 114233.193912 94560.897867
d2Udcp2_pos_mag -27.734692 63.457435 2341.362884 5356.966711
d2Udcp2_neg_mag 0.000067 0.002192 88.331250 10652.288693
d3Udcp3_pos_mag 0.000508 0.001162 0.000001 0.000002
d3Udcp3_neg_mag -0.000000 0.000019 0.000000 0.000001
i0_neg 0.000005 0.000087 0.087830 0.195234
i0_pos -0.007938 0.018122 0.000375 0.016674
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.000047 0.000817 0.011057 0.024477
aa_neg -0.000000 0.000001 0.000000 0.000000
aa_pos 0.000003 0.000017 0.000000 0.000000
kappa_0 0.005148 0.011818 0.139918 0.472374
sigma_neg 0.000000 0.000001 0.000001 0.000002
sigma_pos 0.000013 0.000030 0.000000 0.000001

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos 0.004003 0.020337
a_neg l_neg 0.007799 0.023695
a_neg l_sep 0.007095 0.023675
a_neg l_pos 0.003641 0.020009
a_neg Rp_neg 0.007127 0.022433
a_neg Rp_pos 0.216829 0.494350
a_neg epsilon_f_neg 0.007176 0.023794
a_neg epsilon_f_pos 0.007174 0.023793
a_neg epsilon_neg 0.006374 0.028711
a_neg epsilon_sep 0.007176 0.023794
a_neg epsilon_pos 0.036044 0.082508
a_neg Cdl_neg 0.007175 0.023794
a_neg Cdl_pos 0.007177 0.023795
a_neg cs_max_neg 0.007176 0.023794
a_neg cs_max_pos 0.007176 0.023794
a_neg c0 0.006966 0.023381
a_neg D 0.007071 0.023887
a_neg Ds_neg -1.094760 115.096118
a_neg Ds_pos 0.000610 0.018878
a_neg d2Udcp2_pos_sgn 0.007171 0.023788
a_neg d2Udcp2_neg_sgn 0.007176 0.023785
a_neg d3Udcp3_pos_sgn 0.007176 0.023794
a_neg d3Udcp3_neg_sgn 0.007176 0.023794
a_neg dUdcp_pos_mag 0.000809 0.074490
a_neg dUdcp_neg_mag 0.366857 1.276404
a_neg d2Udcp2_pos_mag 27.546752 63.025305
a_neg d2Udcp2_neg_mag 0.007498 0.162837
a_neg d3Udcp3_pos_mag 0.006671 0.023119
a_neg d3Udcp3_neg_mag 0.007176 0.023802
a_neg i0_neg 0.007173 0.023752
a_neg i0_pos 0.015049 0.037478
a_neg SOC_neg 0.007176 0.023794
a_neg SOC_pos 0.007176 0.023794
a_neg tP 0.007155 0.023644
a_neg aa_neg 0.007175 0.023779
a_neg aa_pos 0.007173 0.023791
a_neg kappa_0 0.001859 0.019109
a_neg sigma_neg 0.007176 0.023793
a_neg sigma_pos 0.007163 0.023768
a_pos l_neg -0.003173 0.007356
a_pos l_sep -0.003173 0.007356
a_pos l_pos -0.003177 0.007366
a_pos Rp_neg -0.003173 0.007356
a_pos Rp_pos -0.002926 0.006793
a_pos epsilon_f_neg -0.003173 0.007356
a_pos epsilon_f_pos -0.003173 0.007356
a_pos epsilon_neg -0.003174 0.007355
a_pos epsilon_sep -0.003173 0.007356
a_pos epsilon_pos -0.003138 0.007283
a_pos Cdl_neg -0.003173 0.007356
a_pos Cdl_pos -0.003173 0.007356
a_pos cs_max_neg -0.003173 0.007356
a_pos cs_max_pos -0.003173 0.007356
a_pos c0 -0.003174 0.007355
a_pos D -0.003172 0.007360
a_pos Ds_neg -0.004420 0.126857
a_pos Ds_pos -0.003176 0.007398
a_pos d2Udcp2_pos_sgn -0.003173 0.007356
a_pos d2Udcp2_neg_sgn -0.003173 0.007356
a_pos d3Udcp3_pos_sgn -0.003173 0.007356
a_pos d3Udcp3_neg_sgn -0.003173 0.007356
a_pos dUdcp_pos_mag -0.003180 0.007378
a_pos dUdcp_neg_mag -0.002382 0.013727
a_pos d2Udcp2_pos_mag 0.029271 0.066894
a_pos d2Udcp2_neg_mag -0.003173 0.007356
a_pos d3Udcp3_pos_mag -0.003174 0.007357
a_pos d3Udcp3_neg_mag -0.003173 0.007356
a_pos i0_neg -0.003173 0.007356
a_pos i0_pos -0.003164 0.007335
a_pos SOC_neg -0.003173 0.007356
a_pos SOC_pos -0.003173 0.007356
a_pos tP -0.003173 0.007356
a_pos aa_neg -0.003173 0.007356
a_pos aa_pos -0.003173 0.007356
a_pos kappa_0 -0.003180 0.007368
a_pos sigma_neg -0.003173 0.007356
a_pos sigma_pos -0.003173 0.007356
l_neg l_sep 0.000002 0.000039
l_neg l_pos 0.000002 0.000039
l_neg Rp_neg 0.000002 0.000039
l_neg Rp_pos 0.000017 0.000054
l_neg epsilon_f_neg 0.000002 0.000039
l_neg epsilon_f_pos 0.000002 0.000039
l_neg epsilon_neg 0.000002 0.000039
l_neg epsilon_sep 0.000002 0.000039
l_neg epsilon_pos 0.000004 0.000040
l_neg Cdl_neg 0.000002 0.000039
l_neg Cdl_pos 0.000002 0.000039
l_neg cs_max_neg 0.000002 0.000039
l_neg cs_max_pos 0.000002 0.000039
l_neg c0 0.000002 0.000039
l_neg D 0.000002 0.000039
l_neg Ds_neg -0.000039 0.004615
l_neg Ds_pos -0.000001 0.000189
l_neg d2Udcp2_pos_sgn 0.000002 0.000039
l_neg d2Udcp2_neg_sgn 0.000002 0.000039
l_neg d3Udcp3_pos_sgn 0.000002 0.000039
l_neg d3Udcp3_neg_sgn 0.000002 0.000039
l_neg dUdcp_pos_mag 0.000002 0.000039
l_neg dUdcp_neg_mag -0.000135 0.000909
l_neg d2Udcp2_pos_mag 0.001950 0.004461
l_neg d2Udcp2_neg_mag 0.000003 0.000102
l_neg d3Udcp3_pos_mag 0.000002 0.000039
l_neg d3Udcp3_neg_mag 0.000002 0.000041
l_neg i0_neg 0.000002 0.000039
l_neg i0_pos 0.000003 0.000039
l_neg SOC_neg 0.000002 0.000039
l_neg SOC_pos 0.000002 0.000039
l_neg tP 0.000002 0.000040
l_neg aa_neg 0.000002 0.000039
l_neg aa_pos 0.000002 0.000039
l_neg kappa_0 0.000002 0.000039
l_neg sigma_neg 0.000002 0.000039
l_neg sigma_pos 0.000002 0.000039
l_sep l_pos 0.000007 0.000273
l_sep Rp_neg 0.000120 0.000417
l_sep Rp_pos 0.006820 0.015654
l_sep epsilon_f_neg 0.000120 0.000417
l_sep epsilon_f_pos 0.000120 0.000417
l_sep epsilon_neg 0.000119 0.000415
l_sep epsilon_sep 0.000120 0.000417
l_sep epsilon_pos 0.001042 0.002447
l_sep Cdl_neg 0.000120 0.000417
l_sep Cdl_pos 0.000120 0.000417
l_sep cs_max_neg 0.000120 0.000417
l_sep cs_max_pos 0.000120 0.000417
l_sep c0 0.000113 0.000406
l_sep D 0.000116 0.000411
l_sep Ds_neg 0.000667 0.065484
l_sep Ds_pos -0.000090 0.000308
l_sep d2Udcp2_pos_sgn 0.000120 0.000417
l_sep d2Udcp2_neg_sgn 0.000120 0.000417
l_sep d3Udcp3_pos_sgn 0.000120 0.000417
l_sep d3Udcp3_neg_sgn 0.000120 0.000417
l_sep dUdcp_pos_mag -0.000089 0.000308
l_sep dUdcp_neg_mag 0.000165 0.000451
l_sep d2Udcp2_pos_mag 0.880213 2.013991
l_sep d2Udcp2_neg_mag 0.000120 0.000418
l_sep d3Udcp3_pos_mag 0.000104 0.000390
l_sep d3Udcp3_neg_mag 0.000120 0.000417
l_sep i0_neg 0.000120 0.000417
l_sep i0_pos 0.000371 0.000936
l_sep SOC_neg 0.000120 0.000417
l_sep SOC_pos 0.000120 0.000417
l_sep tP 0.000120 0.000418
l_sep aa_neg 0.000120 0.000417
l_sep aa_pos 0.000120 0.000417
l_sep kappa_0 -0.000044 0.000270
l_sep sigma_neg 0.000120 0.000417
l_sep sigma_pos 0.000119 0.000417
l_pos Rp_neg -0.003509 0.008029
l_pos Rp_pos -0.001883 0.004308
l_pos epsilon_f_neg -0.003509 0.008029
l_pos epsilon_f_pos -0.003509 0.008029
l_pos epsilon_neg -0.003509 0.008030
l_pos epsilon_sep -0.003509 0.008029
l_pos epsilon_pos -0.003285 0.007517
l_pos Cdl_neg -0.003509 0.008029
l_pos Cdl_pos -0.003509 0.008029
l_pos cs_max_neg -0.003509 0.008029
l_pos cs_max_pos -0.003509 0.008029
l_pos c0 -0.003511 0.008033
l_pos D -0.003510 0.008031
l_pos Ds_neg -0.003505 0.008019
l_pos Ds_pos -0.003560 0.008146
l_pos d2Udcp2_pos_sgn -0.003509 0.008029
l_pos d2Udcp2_neg_sgn -0.003509 0.008029
l_pos d3Udcp3_pos_sgn -0.003509 0.008029
l_pos d3Udcp3_neg_sgn -0.003509 0.008029
l_pos dUdcp_pos_mag -0.003560 0.008145
l_pos dUdcp_neg_mag -0.003510 0.008029
l_pos d2Udcp2_pos_mag 0.210128 0.480776
l_pos d2Udcp2_neg_mag -0.003509 0.008029
l_pos d3Udcp3_pos_mag -0.003513 0.008038
l_pos d3Udcp3_neg_mag -0.003509 0.008029
l_pos i0_neg -0.003509 0.008029
l_pos i0_pos -0.003448 0.007890
l_pos SOC_neg -0.003509 0.008029
l_pos SOC_pos -0.003509 0.008029
l_pos tP -0.003509 0.008029
l_pos aa_neg -0.003509 0.008029
l_pos aa_pos -0.003509 0.008029
l_pos kappa_0 -0.003549 0.008120
l_pos sigma_neg -0.003509 0.008029
l_pos sigma_pos -0.003509 0.008029
Rp_neg Rp_pos -0.012771 0.029237
Rp_neg epsilon_f_neg -0.000387 0.000946
Rp_neg epsilon_f_pos -0.000387 0.000946
Rp_neg epsilon_neg -0.000374 0.001499
Rp_neg epsilon_sep -0.000387 0.000946
Rp_neg epsilon_pos -0.002091 0.004840
Rp_neg Cdl_neg -0.000387 0.000946
Rp_neg Cdl_pos -0.000387 0.000947
Rp_neg cs_max_neg -0.000387 0.000946
Rp_neg cs_max_pos -0.000387 0.000946
Rp_neg c0 -0.000374 0.000937
Rp_neg D -0.000381 0.000911
Rp_neg Ds_neg -0.150467 4.885719
Rp_neg Ds_pos 0.000047 0.000447
Rp_neg d2Udcp2_pos_sgn -0.000386 0.000946
Rp_neg d2Udcp2_neg_sgn -0.000387 0.000947
Rp_neg d3Udcp3_pos_sgn -0.000387 0.000946
Rp_neg d3Udcp3_neg_sgn -0.000387 0.000946
Rp_neg dUdcp_pos_mag -0.000186 0.056779
Rp_neg dUdcp_neg_mag -0.003700 0.048084
Rp_neg d2Udcp2_pos_mag -1.627168 3.723010
Rp_neg d2Udcp2_neg_mag -0.000376 0.002252
Rp_neg d3Udcp3_pos_mag -0.000357 0.000882
Rp_neg d3Udcp3_neg_mag -0.000386 0.000951
Rp_neg i0_neg -0.000386 0.000968
Rp_neg i0_pos -0.000851 0.001987
Rp_neg SOC_neg -0.000387 0.000946
Rp_neg SOC_pos -0.000387 0.000946
Rp_neg tP -0.000386 0.000970
Rp_neg aa_neg -0.000387 0.000947
Rp_neg aa_pos -0.000387 0.000946
Rp_neg kappa_0 -0.000083 0.000579
Rp_neg sigma_neg -0.000387 0.000946
Rp_neg sigma_pos -0.000386 0.000945
Rp_pos epsilon_f_neg 0.211168 0.483158
Rp_pos epsilon_f_pos 0.211168 0.483158
Rp_pos epsilon_neg 0.211168 0.483158
Rp_pos epsilon_sep 0.211168 0.483158
Rp_pos epsilon_pos 0.211297 0.483454
Rp_pos Cdl_neg 0.211168 0.483158
Rp_pos Cdl_pos 0.211168 0.483158
Rp_pos cs_max_neg 0.211168 0.483158
Rp_pos cs_max_pos 0.211168 0.483158
Rp_pos c0 0.211167 0.483156
Rp_pos D 0.211168 0.483157
Rp_pos Ds_neg 0.211160 0.483209
Rp_pos Ds_pos 0.211137 0.483097
Rp_pos d2Udcp2_pos_sgn 0.211168 0.483158
Rp_pos d2Udcp2_neg_sgn 0.211168 0.483158
Rp_pos d3Udcp3_pos_sgn 0.211168 0.483158
Rp_pos d3Udcp3_neg_sgn 0.211168 0.483158
Rp_pos dUdcp_pos_mag 0.211139 0.483091
Rp_pos dUdcp_neg_mag 0.211169 0.483158
Rp_pos d2Udcp2_pos_mag 0.334445 0.765216
