Parameter S1 S1_conf ST ST_conf
a_neg -0.000024 0.018884 0.307851 2.659857
a_pos -0.001171 0.010822 0.005843 0.618384
l_neg -0.000001 0.000084 0.284454 0.331030
l_sep 0.000004 0.000680 0.000001 0.002091
l_pos -0.000055 0.000506 0.000012 0.000110
Rp_neg -0.000001 0.001929 0.004152 0.004846
Rp_pos -0.005455 0.050478 0.118592 1.097240
epsilon_f_neg 0.000000 0.000000 0.000000 0.000000
epsilon_f_pos -0.000000 0.000003 0.000000 0.000000
epsilon_neg 0.000010 0.002111 0.269497 0.421512
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.009946 0.091999 0.394260 3.647600
Cdl_neg 0.000000 0.000000 0.000001 0.000001
Cdl_pos -0.000000 0.000000 0.000000 0.000000
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000096 0.000914 0.000192 0.134270
D 0.000039 0.000417 0.000018 0.016768
Ds_neg -0.000253 1.740803 1.786972 1668.985914
Ds_pos -0.002370 0.022003 12.067939 23543.942598
d2Udcp2_pos_sgn 0.000000 0.000002 0.000000 0.000001
d2Udcp2_neg_sgn -0.000000 0.000004 0.000000 0.000000
d3Udcp3_pos_sgn -0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn -0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.002466 0.203630 0.022466 0.323490
dUdcp_neg_mag -0.015174 1.615839 52423.635599 61100.098693
d2Udcp2_pos_mag 9.934477 91.921542 393349.977891 3639582.742578
d2Udcp2_neg_mag 0.000012 0.002092 1.207692 1727.986058
d3Udcp3_pos_mag -0.000000 0.000001 0.000000 0.000000
d3Udcp3_neg_mag -0.000000 0.000093 0.000000 0.000001
i0_neg -0.000001 0.000273 0.022169 0.199087
i0_pos 0.000106 0.001063 0.000101 0.045737
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.000009 0.001458 0.000242 0.002299
aa_neg -0.000000 0.000004 0.000000 0.000000
aa_pos 0.000000 0.000006 0.000000 0.000000
kappa_0 -0.001709 0.015842 0.080941 0.942028
sigma_neg -0.000000 0.000001 0.000000 0.000002
sigma_pos -0.000002 0.000021 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.000998 0.021322
a_neg l_neg -0.002231 0.027709
a_neg l_sep -0.002119 0.027726
a_neg l_pos -0.002065 0.027379
a_neg Rp_neg -0.002135 0.030036
a_neg Rp_pos 0.003107 0.033816
a_neg epsilon_f_neg -0.002118 0.027737
a_neg epsilon_f_pos -0.002117 0.027732
a_neg epsilon_neg -0.002287 0.081818
a_neg epsilon_sep -0.002118 0.027736
a_neg epsilon_pos -0.011643 0.110389
a_neg Cdl_neg -0.002118 0.027736
a_neg Cdl_pos -0.002118 0.027736
a_neg cs_max_neg -0.002118 0.027736
a_neg cs_max_pos -0.002118 0.027736
a_neg c0 -0.002211 0.028722
a_neg D -0.002154 0.027402
a_neg Ds_neg -0.039811 42.794459
a_neg Ds_pos 0.000146 0.020188
a_neg d2Udcp2_pos_sgn -0.002118 0.027737
a_neg d2Udcp2_neg_sgn -0.002118 0.027795
a_neg d3Udcp3_pos_sgn -0.002118 0.027736
a_neg d3Udcp3_neg_sgn -0.002118 0.027736
a_neg dUdcp_pos_mag 0.000248 0.182628
a_neg dUdcp_neg_mag 0.054521 0.825427
a_neg d2Udcp2_pos_mag -9.517104 88.060477
a_neg d2Udcp2_neg_mag -0.002303 0.120690
a_neg d3Udcp3_pos_mag -0.002118 0.027735
a_neg d3Udcp3_neg_mag -0.002118 0.027697
a_neg i0_neg -0.002116 0.027838
a_neg i0_pos -0.002220 0.028498
a_neg SOC_neg -0.002118 0.027736
a_neg SOC_pos -0.002118 0.027736
a_neg tP -0.002121 0.028089
a_neg aa_neg -0.002118 0.027828
a_neg aa_pos -0.002118 0.027737
a_neg kappa_0 -0.000530 0.019939
a_neg sigma_neg -0.002118 0.027739
a_neg sigma_pos -0.002116 0.027737
a_pos l_neg 0.001247 0.011565
a_pos l_sep 0.001247 0.011563
a_pos l_pos 0.001245 0.011548
a_pos Rp_neg 0.001247 0.011565
a_pos Rp_pos 0.001072 0.009947
a_pos epsilon_f_neg 0.001247 0.011564
a_pos epsilon_f_pos 0.001247 0.011564
a_pos epsilon_neg 0.001247 0.011566
a_pos epsilon_sep 0.001247 0.011564
a_pos epsilon_pos 0.001566 0.014473
a_pos Cdl_neg 0.001247 0.011564
a_pos Cdl_pos 0.001247 0.011564
a_pos cs_max_neg 0.001247 0.011564
a_pos cs_max_pos 0.001247 0.011564
a_pos c0 0.001250 0.011638
a_pos D 0.001248 0.011543
a_pos Ds_neg 0.001219 0.015740
a_pos Ds_pos 0.001171 0.010816
a_pos d2Udcp2_pos_sgn 0.001247 0.011564
a_pos d2Udcp2_neg_sgn 0.001247 0.011564
a_pos d3Udcp3_pos_sgn 0.001247 0.011564
a_pos d3Udcp3_neg_sgn 0.001247 0.011564
a_pos dUdcp_pos_mag 0.001171 0.010839
a_pos dUdcp_neg_mag 0.001330 0.014581
a_pos d2Udcp2_pos_mag 0.319765 2.958701
a_pos d2Udcp2_neg_mag 0.001247 0.011562
a_pos d3Udcp3_pos_mag 0.001247 0.011564
a_pos d3Udcp3_neg_mag 0.001247 0.011564
a_pos i0_neg 0.001247 0.011560
a_pos i0_pos 0.001250 0.011596
a_pos SOC_neg 0.001247 0.011564
a_pos SOC_pos 0.001247 0.011564
a_pos tP 0.001247 0.011561
a_pos aa_neg 0.001247 0.011562
a_pos aa_pos 0.001247 0.011567
