Parameter S1 S1_conf ST ST_conf
a_neg 0.000037 0.089503 0.828415 0.430433
a_pos -0.000005 0.002161 0.001303 0.822239
l_neg -0.000001 0.000894 1.004853 0.526260
l_sep 0.000003 0.006403 0.000000 0.000503
l_pos -0.000000 0.000017 0.000006 0.000283
Rp_neg -0.000000 0.000303 0.028422 0.014793
Rp_pos -0.000033 0.001629 0.078167 3.683753
epsilon_f_neg 0.000000 0.000001 0.000000 0.000000
epsilon_f_pos -0.000000 0.000001 0.000000 0.000000
epsilon_neg 0.000008 0.014926 0.731094 0.378105
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.000034 0.003803 0.071612 3.374570
Cdl_neg 0.000000 0.000004 0.000003 0.000002
Cdl_pos -0.000000 0.000001 0.000000 0.000000
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000000 0.000912 0.000128 0.247469
D 0.000000 0.000364 0.000022 0.052046
Ds_neg 0.000094 0.107928 0.868980 27.502622
Ds_pos -0.000007 0.016133 216.175594 839423.078698
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000003
d2Udcp2_neg_sgn 0.000000 0.000006 0.000000 0.000000
d3Udcp3_pos_sgn -0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn -0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.000089 0.180802 0.004180 0.326497
dUdcp_neg_mag -0.002357 4.561004 8822.788770 4613.375815
d2Udcp2_pos_mag 0.031949 1.505574 71317.614158 3361035.441863
d2Udcp2_neg_mag 0.000018 0.044173 0.838250 23.470772
d3Udcp3_pos_mag -0.000000 0.000002 0.000000 0.000005
d3Udcp3_neg_mag -0.000000 0.000111 0.000000 0.000002
i0_neg -0.000001 0.001180 0.030244 0.237265
i0_pos -0.000000 0.001429 0.000407 0.855344
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.000007 0.013133 0.000719 0.006180
aa_neg 0.000000 0.000016 0.000000 0.000000
aa_pos -0.000000 0.000074 0.000000 0.000001
kappa_0 -0.000007 0.002948 0.162155 5.147820
sigma_neg -0.000000 0.000009 0.000000 0.000003
sigma_pos -0.000000 0.000003 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.000013 0.082584
a_neg l_neg -0.000002 0.082488
a_neg l_sep -0.000001 0.084475
a_neg l_pos -0.000000 0.082714
a_neg Rp_neg 0.000001 0.081679
a_neg Rp_pos -0.000131 0.083149
a_neg epsilon_f_neg 0.000001 0.082727
a_neg epsilon_f_pos 0.000001 0.082727
a_neg epsilon_neg 0.000006 0.083634
a_neg epsilon_sep 0.000001 0.082727
a_neg epsilon_pos 0.000126 0.086506
a_neg Cdl_neg 0.000001 0.082728
a_neg Cdl_pos 0.000001 0.082726
a_neg cs_max_neg 0.000001 0.082727
a_neg cs_max_pos 0.000001 0.082727
a_neg c0 0.000002 0.082657
a_neg D 0.000002 0.082530
a_neg Ds_neg 0.001009 2.594834
a_neg Ds_pos -0.000035 0.086570
a_neg d2Udcp2_pos_sgn 0.000001 0.082727
a_neg d2Udcp2_neg_sgn 0.000001 0.082678
a_neg d3Udcp3_pos_sgn 0.000001 0.082727
a_neg d3Udcp3_neg_sgn 0.000001 0.082727
a_neg dUdcp_pos_mag 0.000052 0.099050
a_neg dUdcp_neg_mag 0.001553 2.297984
a_neg d2Udcp2_pos_mag 0.126418 5.961023
a_neg d2Udcp2_neg_mag 0.001058 3.253654
a_neg d3Udcp3_pos_mag 0.000001 0.082727
a_neg d3Udcp3_neg_mag 0.000001 0.082688
a_neg i0_neg 0.000002 0.082301
a_neg i0_pos 0.000004 0.082763
a_neg SOC_neg 0.000001 0.082727
a_neg SOC_pos 0.000001 0.082727
a_neg tP -0.000003 0.086648
a_neg aa_neg 0.000001 0.082658
a_neg aa_pos 0.000001 0.082707
a_neg kappa_0 -0.000022 0.083608
a_neg sigma_neg 0.000001 0.082723
a_neg sigma_pos 0.000001 0.082724
a_pos l_neg 0.000043 0.002747
a_pos l_sep 0.000043 0.002732
a_pos l_pos 0.000041 0.002697
a_pos Rp_neg 0.000043 0.002747
a_pos Rp_pos -0.000125 0.006258
a_pos epsilon_f_neg 0.000043 0.002745
a_pos epsilon_f_pos 0.000043 0.002745
a_pos epsilon_neg 0.000043 0.002744
a_pos epsilon_sep 0.000043 0.002745
a_pos epsilon_pos 0.000203 0.009734
a_pos Cdl_neg 0.000043 0.002745
a_pos Cdl_pos 0.000043 0.002745
a_pos cs_max_neg 0.000043 0.002745
a_pos cs_max_pos 0.000043 0.002745
a_pos c0 0.000044 0.002710
a_pos D 0.000043 0.002879
a_pos Ds_neg 0.000046 0.011646
a_pos Ds_pos 0.000007 0.008870
a_pos d2Udcp2_pos_sgn 0.000043 0.002746
a_pos d2Udcp2_neg_sgn 0.000043 0.002745
a_pos d3Udcp3_pos_sgn 0.000043 0.002745
a_pos d3Udcp3_neg_sgn 0.000043 0.002745
a_pos dUdcp_pos_mag 0.000005 0.001901
a_pos dUdcp_neg_mag 0.000052 0.015605
a_pos d2Udcp2_pos_mag 0.160055 7.542973
a_pos d2Udcp2_neg_mag 0.000043 0.002854
a_pos d3Udcp3_pos_mag 0.000043 0.002739
a_pos d3Udcp3_neg_mag 0.000043 0.002745
a_pos i0_neg 0.000043 0.002758
a_pos i0_pos 0.000046 0.002857
