Parameter S1 S1_conf ST ST_conf
a_neg 0.000004 0.156290 0.980854 0.526671
a_pos 0.000001 0.004011 0.000164 2.188325
l_neg -0.000000 0.001319 0.236485 0.115112
l_sep 0.000000 0.005466 0.000001 0.003282
l_pos 0.000000 0.000214 0.000000 0.000277
Rp_neg 0.000000 0.006189 0.043956 0.021347
Rp_pos 0.000011 0.023924 0.002294 5.026763
epsilon_f_neg 0.000000 0.000001 0.000000 0.000000
epsilon_f_pos 0.000000 0.000002 0.000000 0.000000
epsilon_neg 0.000002 0.021009 0.850309 0.428471
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.000007 0.026184 0.001395 2.850893
Cdl_neg 0.000000 0.000008 0.000004 0.000002
Cdl_pos -0.000000 0.000002 0.000000 0.000000
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000000 0.002271 0.000050 0.059296
D -0.000000 0.002839 0.000037 0.097653
Ds_neg 0.000006 0.060844 0.999478 0.448382
Ds_pos 0.000003 0.023778 18.874308 66154.487635
d2Udcp2_pos_sgn -0.000000 0.000004 0.000000 0.000003
d2Udcp2_neg_sgn 0.000000 0.000112 0.000000 0.000006
d3Udcp3_pos_sgn -0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn -0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.000012 0.404177 0.000135 1.613202
dUdcp_neg_mag -0.000128 0.921984 59940.482603 29175.370456
d2Udcp2_pos_mag -0.007769 17.050201 1174.530065 2577757.314240
d2Udcp2_neg_mag 0.000016 0.217820 0.963338 9.716993
d3Udcp3_pos_mag 0.000000 0.000107 0.000000 0.000102
d3Udcp3_neg_mag -0.000000 0.000139 0.000000 0.000031
i0_neg -0.000000 0.002275 0.034054 0.389697
i0_pos -0.000000 0.004182 0.001425 5.239174
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.000001 0.014852 0.002632 0.051324
aa_neg 0.000000 0.000187 0.000000 0.000003
aa_pos -0.000000 0.000098 0.000000 0.000003
kappa_0 0.000001 0.013822 0.177299 9.134586
sigma_neg -0.000000 0.000009 0.000000 0.000005
sigma_pos 0.000000 0.000014 0.000000 0.000002

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.000143 0.140128
a_neg l_neg -0.000072 0.137345
a_neg l_sep -0.000141 0.136764
a_neg l_pos -0.000141 0.137108
a_neg Rp_neg -0.000110 0.144908
a_neg Rp_pos -0.000159 0.143556
a_neg epsilon_f_neg -0.000141 0.137242
a_neg epsilon_f_pos -0.000141 0.137240
a_neg epsilon_neg 0.000009 0.249500
a_neg epsilon_sep -0.000141 0.137242
a_neg epsilon_pos -0.000129 0.160481
a_neg Cdl_neg -0.000141 0.137241
a_neg Cdl_pos -0.000141 0.137241
a_neg cs_max_neg -0.000141 0.137242
a_neg cs_max_pos -0.000141 0.137242
a_neg c0 -0.000140 0.139430
a_neg D -0.000141 0.134378
a_neg Ds_neg 0.000183 1.753439
a_neg Ds_pos -0.000146 0.159275
a_neg d2Udcp2_pos_sgn -0.000141 0.137242
a_neg d2Udcp2_neg_sgn -0.000141 0.137585
a_neg d3Udcp3_pos_sgn -0.000141 0.137242
a_neg d3Udcp3_neg_sgn -0.000141 0.137242
a_neg dUdcp_pos_mag -0.000130 0.267070
a_neg dUdcp_neg_mag 0.034746 0.508612
a_neg d2Udcp2_pos_mag 0.012705 28.196603
a_neg d2Udcp2_neg_mag 0.001484 20.798970
a_neg d3Udcp3_pos_mag -0.000141 0.137238
a_neg d3Udcp3_neg_mag -0.000141 0.137147
a_neg i0_neg -0.000158 0.136736
a_neg i0_pos -0.000141 0.141303
a_neg SOC_neg -0.000141 0.137242
a_neg SOC_pos -0.000141 0.137242
a_neg tP -0.000141 0.138985
a_neg aa_neg -0.000141 0.137858
a_neg aa_pos -0.000141 0.137249
a_neg kappa_0 -0.000087 0.149791
a_neg sigma_neg -0.000141 0.137244
a_neg sigma_pos -0.000141 0.137249
a_pos l_neg 0.000000 0.002007
a_pos l_sep 0.000000 0.002014
a_pos l_pos 0.000000 0.001945
a_pos Rp_neg 0.000000 0.002011
a_pos Rp_pos -0.000007 0.015704
a_pos epsilon_f_neg 0.000000 0.002007
a_pos epsilon_f_pos 0.000000 0.002007
a_pos epsilon_neg 0.000000 0.002161
a_pos epsilon_sep 0.000000 0.002007
a_pos epsilon_pos 0.000006 0.012939
a_pos Cdl_neg 0.000000 0.002007
a_pos Cdl_pos 0.000000 0.002008
a_pos cs_max_neg 0.000000 0.002007
a_pos cs_max_pos 0.000000 0.002007
a_pos c0 0.000001 0.004095
a_pos D 0.000000 0.002281
a_pos Ds_neg 0.000001 0.002516
a_pos Ds_pos -0.000001 0.003800
a_pos d2Udcp2_pos_sgn 0.000000 0.002009
a_pos d2Udcp2_neg_sgn 0.000000 0.002008
a_pos d3Udcp3_pos_sgn 0.000000 0.002007
a_pos d3Udcp3_neg_sgn 0.000000 0.002007
a_pos dUdcp_pos_mag -0.000001 0.003512
a_pos dUdcp_neg_mag 0.000009 0.001517
a_pos d2Udcp2_pos_mag 0.005430 11.918177
a_pos d2Udcp2_neg_mag 0.000001 0.002896
a_pos d3Udcp3_pos_mag 0.000000 0.001971
a_pos d3Udcp3_neg_mag 0.000000 0.002007
a_pos i0_neg 0.000000 0.002004
a_pos i0_pos 0.000001 0.002161
a_pos SOC_neg 0.000000 0.002007
a_pos SOC_pos 0.000000 0.002007
a_pos tP 0.000000 0.001988
a_pos aa_neg 0.000000 0.001928
a_pos aa_pos 0.000000 0.002007
a_pos kappa_0 0.000002 0.036651
a_pos sigma_neg 0.000000 0.002008
a_pos sigma_pos 0.000000 0.002007
l_neg l_sep 0.000000 0.001352
l_neg l_pos 0.000000 0.001372
l_neg Rp_neg 0.000000 0.001373
l_neg Rp_pos 0.000000 0.001372
l_neg epsilon_f_neg 0.000000 0.001372
l_neg epsilon_f_pos 0.000000 0.001372
l_neg epsilon_neg 0.000000 0.001343
l_neg epsilon_sep 0.000000 0.001372
l_neg epsilon_pos 0.000000 0.001372
l_neg Cdl_neg 0.000000 0.001372
l_neg Cdl_pos 0.000000 0.001372
l_neg cs_max_neg 0.000000 0.001372
l_neg cs_max_pos 0.000000 0.001372
l_neg c0 0.000000 0.001376
l_neg D 0.000000 0.001371
l_neg Ds_neg 0.000000 0.001545
l_neg Ds_pos 0.000000 0.001337
l_neg d2Udcp2_pos_sgn 0.000000 0.001372
l_neg d2Udcp2_neg_sgn 0.000000 0.001372
l_neg d3Udcp3_pos_sgn 0.000000 0.001372
l_neg d3Udcp3_neg_sgn 0.000000 0.001372
l_neg dUdcp_pos_mag 0.000000 0.001371
l_neg dUdcp_neg_mag -0.000045 0.004665
l_neg d2Udcp2_pos_mag 0.000001 0.002286
l_neg d2Udcp2_neg_mag -0.000000 0.003230
l_neg d3Udcp3_pos_mag 0.000000 0.001372
l_neg d3Udcp3_neg_mag 0.000000 0.001372
l_neg i0_neg 0.000000 0.001380
l_neg i0_pos 0.000000 0.001373
l_neg SOC_neg 0.000000 0.001372
l_neg SOC_pos 0.000000 0.001372
l_neg tP 0.000000 0.001320
l_neg aa_neg 0.000000 0.001372
l_neg aa_pos 0.000000 0.001372
l_neg kappa_0 0.000000 0.001388
l_neg sigma_neg 0.000000 0.001372
l_neg sigma_pos 0.000000 0.001372
l_sep l_pos -0.000000 0.005386
l_sep Rp_neg -0.000000 0.005390
l_sep Rp_pos -0.000002 0.006478
l_sep epsilon_f_neg -0.000000 0.005385
l_sep epsilon_f_pos -0.000000 0.005385
l_sep epsilon_neg -0.000000 0.005494
l_sep epsilon_sep -0.000000 0.005385
