Parameter S1 S1_conf ST ST_conf
a_neg -0.000000 0.013019 0.987799 0.471367
a_pos 0.000000 0.008200 0.000146 2.626719
l_neg 0.000000 0.000600 0.048894 0.023563
l_sep -0.000000 0.000102 0.000002 0.002831
l_pos -0.000000 0.000176 0.000000 0.000075
Rp_neg -0.000000 0.002312 0.070533 0.034083
Rp_pos -0.000018 0.874331 0.112966 5396.879768
epsilon_f_neg 0.000000 0.000000 0.000000 0.000000
epsilon_f_pos 0.000000 0.000001 0.000000 0.000000
epsilon_neg -0.000000 0.018216 0.856329 12.112314
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.000000 0.017612 0.001494 2.365122
Cdl_neg -0.000000 0.000006 0.000006 0.000003
Cdl_pos -0.000000 0.000002 0.000000 0.000000
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000000 0.001673 0.000159 0.675169
D -0.000000 0.002185 0.000047 0.084697
Ds_neg -0.000000 0.042616 0.998531 0.328857
Ds_pos 0.000000 0.019562 0.094548 144.727819
d2Udcp2_pos_sgn 0.000000 0.000020 0.000000 0.000039
d2Udcp2_neg_sgn 0.000000 0.001125 0.000002 0.000065
d3Udcp3_pos_sgn -0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn -0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.000002 0.117073 0.000036 1.713315
dUdcp_neg_mag -0.000103 0.269454 41468.217183 20050.171431
d2Udcp2_pos_mag -0.000204 9.745711 14.030831 670869.109065
d2Udcp2_neg_mag 0.000001 0.072137 0.964904 8.760307
d3Udcp3_pos_mag 0.000000 0.000291 0.000000 0.000599
d3Udcp3_neg_mag 0.000000 0.000180 0.000000 0.000271
i0_neg 0.000000 0.001466 0.205582 0.355662
i0_pos 0.000000 0.005093 0.005442 66.298594
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.000000 0.005036 0.003053 0.082622
aa_neg 0.000000 0.001824 0.000002 0.000092
aa_pos -0.000000 0.000223 0.000000 0.000029
kappa_0 0.000000 0.013109 0.174702 33.851984
sigma_neg -0.000000 0.000003 0.000000 0.000005
sigma_pos 0.000000 0.000008 0.000000 0.000005

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.000131 0.008155
a_neg l_neg -0.000160 0.012480
a_neg l_sep -0.000131 0.011444
a_neg l_pos -0.000131 0.012344
a_neg Rp_neg -0.000095 0.031365
a_neg Rp_pos -0.000103 1.310143
a_neg epsilon_f_neg -0.000131 0.012283
a_neg epsilon_f_pos -0.000131 0.012274
a_neg epsilon_neg -0.000005 0.456106
a_neg epsilon_sep -0.000131 0.012282
a_neg epsilon_pos -0.000131 0.019071
a_neg Cdl_neg -0.000130 0.012244
a_neg Cdl_pos -0.000131 0.012283
a_neg cs_max_neg -0.000131 0.012282
a_neg cs_max_pos -0.000131 0.012282
a_neg c0 -0.000130 0.012736
a_neg D -0.000131 0.016074
a_neg Ds_neg 0.000011 1.115182
a_neg Ds_pos -0.000131 0.012079
a_neg d2Udcp2_pos_sgn -0.000131 0.012281
a_neg d2Udcp2_neg_sgn -0.000130 0.038755
a_neg d3Udcp3_pos_sgn -0.000131 0.012279
a_neg d3Udcp3_neg_sgn -0.000131 0.012282
a_neg dUdcp_pos_mag -0.000129 0.118112
a_neg dUdcp_neg_mag 0.026743 0.132494
a_neg d2Udcp2_pos_mag 0.000173 14.536495
a_neg d2Udcp2_neg_mag 0.000258 12.027451
a_neg d3Udcp3_pos_mag -0.000131 0.012052
a_neg d3Udcp3_neg_mag -0.000131 0.012174
a_neg i0_neg -0.000188 0.011911
a_neg i0_pos -0.000131 0.007837
a_neg SOC_neg -0.000131 0.012282
a_neg SOC_pos -0.000131 0.012282
a_neg tP -0.000130 0.011223
a_neg aa_neg -0.000130 0.055541
a_neg aa_pos -0.000131 0.012299
a_neg kappa_0 -0.000078 0.007635
a_neg sigma_neg -0.000131 0.012286
a_neg sigma_pos -0.000131 0.012342
a_pos l_neg 0.000000 0.017629
a_pos l_sep 0.000000 0.017620
a_pos l_pos 0.000000 0.017559
a_pos Rp_neg 0.000000 0.017614
a_pos Rp_pos 0.000010 0.469331
a_pos epsilon_f_neg 0.000000 0.017616
a_pos epsilon_f_pos 0.000000 0.017611
a_pos epsilon_neg 0.000001 0.018066
a_pos epsilon_sep 0.000000 0.017615
a_pos epsilon_pos -0.000000 0.008339
a_pos Cdl_neg 0.000000 0.017613
a_pos Cdl_pos 0.000000 0.017653
a_pos cs_max_neg 0.000000 0.017615
a_pos cs_max_pos 0.000000 0.017615
a_pos c0 0.000001 0.026255
a_pos D 0.000000 0.015490
a_pos Ds_neg 0.000001 0.017626
a_pos Ds_pos -0.000000 0.007685
a_pos d2Udcp2_pos_sgn 0.000000 0.017619
a_pos d2Udcp2_neg_sgn 0.000000 0.017615
a_pos d3Udcp3_pos_sgn 0.000000 0.017615
a_pos d3Udcp3_neg_sgn 0.000000 0.017615
a_pos dUdcp_pos_mag 0.000000 0.012644
a_pos dUdcp_neg_mag 0.000037 0.019563
a_pos d2Udcp2_pos_mag 0.000109 5.195434
a_pos d2Udcp2_neg_mag 0.000001 0.017443
a_pos d3Udcp3_pos_mag 0.000000 0.017586
a_pos d3Udcp3_neg_mag 0.000000 0.017615
a_pos i0_neg 0.000001 0.025263
a_pos i0_pos 0.000001 0.020919
a_pos SOC_neg 0.000000 0.017615
a_pos SOC_pos 0.000000 0.017615
a_pos tP 0.000000 0.017320
a_pos aa_neg 0.000000 0.019462
a_pos aa_pos -0.000001 0.034634
a_pos kappa_0 0.000034 0.918703
a_pos sigma_neg 0.000000 0.017618
a_pos sigma_pos 0.000000 0.017630
l_neg l_sep 0.000000 0.000615
l_neg l_pos 0.000000 0.000615
l_neg Rp_neg -0.000000 0.000616
l_neg Rp_pos 0.000000 0.000602
l_neg epsilon_f_neg 0.000000 0.000615
l_neg epsilon_f_pos 0.000000 0.000615
l_neg epsilon_neg -0.000000 0.000609
l_neg epsilon_sep 0.000000 0.000615
l_neg epsilon_pos 0.000000 0.000616
l_neg Cdl_neg 0.000000 0.000615
l_neg Cdl_pos 0.000000 0.000615
l_neg cs_max_neg 0.000000 0.000615
l_neg cs_max_pos 0.000000 0.000615
l_neg c0 0.000000 0.000616
l_neg D 0.000000 0.000615
l_neg Ds_neg -0.000000 0.000617
l_neg Ds_pos 0.000000 0.000615
l_neg d2Udcp2_pos_sgn 0.000000 0.000615
l_neg d2Udcp2_neg_sgn 0.000000 0.000616
l_neg d3Udcp3_pos_sgn 0.000000 0.000615
l_neg d3Udcp3_neg_sgn 0.000000 0.000615
l_neg dUdcp_pos_mag 0.000000 0.000613
l_neg dUdcp_neg_mag -0.000027 0.000378
l_neg d2Udcp2_pos_mag 0.000000 0.001099
l_neg d2Udcp2_neg_mag -0.000000 0.002172
l_neg d3Udcp3_pos_mag 0.000000 0.000615
l_neg d3Udcp3_neg_mag 0.000000 0.000615
l_neg i0_neg 0.000000 0.000621
l_neg i0_pos 0.000000 0.000614
l_neg SOC_neg 0.000000 0.000615
l_neg SOC_pos 0.000000 0.000615
l_neg tP 0.000000 0.000600
l_neg aa_neg 0.000000 0.000616
l_neg aa_pos 0.000000 0.000615
l_neg kappa_0 -0.000000 0.000622
l_neg sigma_neg 0.000000 0.000615
l_neg sigma_pos 0.000000 0.000615
l_sep l_pos 0.000000 0.000441
l_sep Rp_neg 0.000000 0.000455
l_sep Rp_pos 0.000003 0.147855
l_sep epsilon_f_neg 0.000000 0.000458
l_sep epsilon_f_pos 0.000000 0.000457
l_sep epsilon_neg 0.000000 0.000443
l_sep epsilon_sep 0.000000 0.000458
l_sep epsilon_pos 0.000000 0.002078
l_sep Cdl_neg 0.000000 0.000457
l_sep Cdl_pos 0.000000 0.000458
l_sep cs_max_neg 0.000000 0.000458
l_sep cs_max_pos 0.000000 0.000458
l_sep c0 0.000000 0.000467
l_sep D 0.000000 0.000462
l_sep Ds_neg 0.000000 0.003203
l_sep Ds_pos -0.000000 0.000117
l_sep d2Udcp2_pos_sgn 0.000000 0.000459
l_sep d2Udcp2_neg_sgn 0.000000 0.000457
l_sep d3Udcp3_pos_sgn 0.000000 0.000458
l_sep d3Udcp3_neg_sgn 0.000000 0.000458
l_sep dUdcp_pos_mag -0.000000 0.000363
l_sep dUdcp_neg_mag 0.000002 0.000907
l_sep d2Udcp2_pos_mag 0.000034 1.644030
l_sep d2Udcp2_neg_mag 0.000000 0.000559
l_sep d3Udcp3_pos_mag -0.000000 0.000411
l_sep d3Udcp3_neg_mag 0.000000 0.000457
l_sep i0_neg -0.000000 0.000459
l_sep i0_pos -0.000000 0.000481
l_sep SOC_neg 0.000000 0.000458
l_sep SOC_pos 0.000000 0.000458
l_sep tP 0.000000 0.000450
l_sep aa_neg 0.000000 0.000456
l_sep aa_pos 0.000000 0.000458
l_sep kappa_0 -0.000000 0.000183
l_sep sigma_neg 0.000000 0.000458
l_sep sigma_pos 0.000000 0.000457
l_pos Rp_neg 0.000000 0.000218
l_pos Rp_pos 0.000001 0.067365
l_pos epsilon_f_neg 0.000000 0.000218
l_pos epsilon_f_pos 0.000000 0.000218
l_pos epsilon_neg 0.000000 0.000224
l_pos epsilon_sep 0.000000 0.000218
l_pos epsilon_pos 0.000000 0.000899
l_pos Cdl_neg 0.000000 0.000218
l_pos Cdl_pos 0.000000 0.000218
l_pos cs_max_neg 0.000000 0.000218
l_pos cs_max_pos 0.000000 0.000218
l_pos c0 0.000000 0.000221
l_pos D 0.000000 0.000219
l_pos Ds_neg 0.000000 0.000217
l_pos Ds_pos 0.000000 0.000176
l_pos d2Udcp2_pos_sgn 0.000000 0.000222
l_pos d2Udcp2_neg_sgn 0.000000 0.000218
l_pos d3Udcp3_pos_sgn 0.000000 0.000218
l_pos d3Udcp3_neg_sgn 0.000000 0.000218
l_pos dUdcp_pos_mag 0.000000 0.000185
l_pos dUdcp_neg_mag -0.000001 0.000218
l_pos d2Udcp2_pos_mag 0.000016 0.749775
l_pos d2Udcp2_neg_mag 0.000000 0.000225
l_pos d3Udcp3_pos_mag 0.000000 0.000205
l_pos d3Udcp3_neg_mag 0.000000 0.000218
l_pos i0_neg 0.000000 0.000218
l_pos i0_pos 0.000000 0.000225
l_pos SOC_neg 0.000000 0.000218
l_pos SOC_pos 0.000000 0.000218
l_pos tP 0.000000 0.000218
l_pos aa_neg 0.000000 0.000218
l_pos aa_pos 0.000000 0.000220
l_pos kappa_0 0.000000 0.000168
l_pos sigma_neg 0.000000 0.000218
l_pos sigma_pos 0.000000 0.000218
Rp_neg Rp_pos -0.000001 0.054543
Rp_neg epsilon_f_neg 0.000000 0.015422
Rp_neg epsilon_f_pos 0.000000 0.015423
Rp_neg epsilon_neg 0.000000 0.014050
Rp_neg epsilon_sep 0.000000 0.015422
Rp_neg epsilon_pos 0.000000 0.002556
Rp_neg Cdl_neg 0.000000 0.015423
Rp_neg Cdl_pos 0.000000 0.015421
Rp_neg cs_max_neg 0.000000 0.015422
Rp_neg cs_max_pos 0.000000 0.015422
Rp_neg c0 0.000000 0.013757
Rp_neg D 0.000000 0.017519
Rp_neg Ds_neg -0.000002 0.042591
Rp_neg Ds_pos -0.000060 0.545629
Rp_neg d2Udcp2_pos_sgn 0.000000 0.015422
Rp_neg d2Udcp2_neg_sgn 0.000000 0.014760
Rp_neg d3Udcp3_pos_sgn 0.000000 0.015422
Rp_neg d3Udcp3_neg_sgn 0.000000 0.015422
Rp_neg dUdcp_pos_mag 0.000002 0.129449
Rp_neg dUdcp_neg_mag 0.000005 0.027515
Rp_neg d2Udcp2_pos_mag -0.000013 0.637751
Rp_neg d2Udcp2_neg_mag 0.000016 0.696223
Rp_neg d3Udcp3_pos_mag 0.000000 0.015427
Rp_neg d3Udcp3_neg_mag 0.000000 0.015339
Rp_neg i0_neg 0.000000 0.015446
Rp_neg i0_pos 0.000000 0.010575
Rp_neg SOC_neg 0.000000 0.015422
Rp_neg SOC_pos 0.000000 0.015422
Rp_neg tP 0.000000 0.013287
Rp_neg aa_neg 0.000000 0.014371
Rp_neg aa_pos 0.000001 0.015503
Rp_neg kappa_0 0.000000 0.004595
Rp_neg sigma_neg 0.000000 0.015421
Rp_neg sigma_pos 0.000000 0.015418
Rp_pos epsilon_f_neg 0.000018 0.873123
Rp_pos epsilon_f_pos 0.000018 0.873123
Rp_pos epsilon_neg 0.000018 0.873125
Rp_pos epsilon_sep 0.000018 0.873123
Rp_pos epsilon_pos 0.000018 0.868134
Rp_pos Cdl_neg 0.000018 0.873123
Rp_pos Cdl_pos 0.000018 0.873123
Rp_pos cs_max_neg 0.000018 0.873123
Rp_pos cs_max_pos 0.000018 0.873123
Rp_pos c0 0.000018 0.873087
Rp_pos D 0.000018 0.873121
Rp_pos Ds_neg 0.000018 0.873120
Rp_pos Ds_pos 0.000018 0.874328
Rp_pos d2Udcp2_pos_sgn 0.000018 0.873118
Rp_pos d2Udcp2_neg_sgn 0.000018 0.873123
Rp_pos d3Udcp3_pos_sgn 0.000018 0.873123
Rp_pos d3Udcp3_neg_sgn 0.000018 0.873123
Rp_pos dUdcp_pos_mag 0.000018 0.874342
Rp_pos dUdcp_neg_mag 0.000005 0.873126
Rp_pos d2Udcp2_pos_mag -0.000086 4.119327
Rp_pos d2Udcp2_neg_mag 0.000018 0.873123
Rp_pos d3Udcp3_pos_mag 0.000018 0.873272
Rp_pos d3Udcp3_neg_mag 0.000018 0.873123
