Parameter S1 S1_conf ST ST_conf
a_neg -0.000009 0.001156 0.853610 0.435016
a_pos -0.000001 0.030126 0.004603 0.204653
l_neg 0.000021 0.000087 4.880422 2.510096
l_sep -0.000000 0.002263 0.000015 0.117216
l_pos -0.000000 0.000246 0.000000 0.000024
Rp_neg -0.000011 0.002007 1.244474 0.639793
Rp_pos -0.000017 0.526394 2.110061 63563.525559
epsilon_f_neg -0.000000 0.000000 0.000000 0.000000
epsilon_f_pos -0.000000 0.000003 0.000000 0.000000
epsilon_neg -0.000006 0.051122 0.799251 186.051220
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.000002 0.009238 0.076622 2.671732
Cdl_neg -0.000000 0.000009 0.000077 0.000038
Cdl_pos 0.000000 0.000288 0.000000 0.000007
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000000 0.000690 0.004904 12.348433
D -0.000000 0.000687 0.000367 0.260376
Ds_neg -0.000008 0.014859 0.945320 2.692117
Ds_pos 0.000003 0.019132 0.056662 1.974104
d2Udcp2_pos_sgn 0.000000 0.002432 0.000000 0.001110
d2Udcp2_neg_sgn 0.000000 0.004479 0.000294 0.001128
d3Udcp3_pos_sgn -0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn -0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.000005 0.010357 0.000192 0.335046
dUdcp_neg_mag -0.001900 0.181643 39476.394237 20223.077083
d2Udcp2_pos_mag -0.000016 0.589968 2.684092 80686.700495
d2Udcp2_neg_mag -0.000007 0.024213 0.968777 55.867812
d3Udcp3_pos_mag -0.000000 0.000058 0.000000 0.001697
d3Udcp3_neg_mag 0.000000 0.002421 0.000000 0.011083
i0_neg 0.000060 0.001821 39.390002 19.919136
i0_pos 0.000001 0.004048 0.305183 1066.852701
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.000000 0.001058 0.029544 0.104606
aa_neg 0.000000 0.007673 0.000153 0.003542
aa_pos -0.000000 0.019199 0.000000 0.003121
kappa_0 0.000011 0.538324 0.299046 141.684097
sigma_neg 0.000000 0.000004 0.000002 0.000004
sigma_pos 0.000000 0.000010 0.000000 0.000005

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.000328 0.038737
a_neg l_neg -0.001141 0.040311
a_neg l_sep -0.000327 0.039458
a_neg l_pos -0.000327 0.040317
a_neg Rp_neg 0.000081 0.019897
a_neg Rp_pos -0.000269 1.789045
a_neg epsilon_f_neg -0.000327 0.040334
a_neg epsilon_f_pos -0.000327 0.040309
a_neg epsilon_neg 0.000059 1.982920
a_neg epsilon_sep -0.000327 0.040315
a_neg epsilon_pos -0.000330 0.039521
a_neg Cdl_neg -0.000324 0.040082
a_neg Cdl_pos -0.000327 0.040178
a_neg cs_max_neg -0.000327 0.040315
a_neg cs_max_pos -0.000327 0.040315
a_neg c0 -0.000323 0.040251
a_neg D -0.000324 0.048358
a_neg Ds_neg 0.000015 0.405670
a_neg Ds_pos -0.000332 0.039488
a_neg d2Udcp2_pos_sgn -0.000327 0.040301
a_neg d2Udcp2_neg_sgn -0.000322 0.174374
a_neg d3Udcp3_pos_sgn -0.000327 0.040297
a_neg d3Udcp3_neg_sgn -0.000327 0.040315
a_neg dUdcp_pos_mag -0.000323 0.022309
a_neg dUdcp_neg_mag 0.072790 0.079889
a_neg d2Udcp2_pos_mag -0.000265 2.006969
a_neg d2Udcp2_neg_mag 0.000185 3.633435
a_neg d3Udcp3_pos_mag -0.000327 0.040149
a_neg d3Udcp3_neg_mag -0.000327 0.038931
a_neg i0_neg -0.002633 0.034279
a_neg i0_pos -0.000331 0.039249
a_neg SOC_neg -0.000327 0.040315
a_neg SOC_pos -0.000327 0.040315
a_neg tP -0.000326 0.040848
a_neg aa_neg -0.000320 0.253559
a_neg aa_pos -0.000327 0.041142
a_neg kappa_0 -0.000195 0.018764
a_neg sigma_neg -0.000327 0.040440
a_neg sigma_pos -0.000327 0.040349
a_pos l_neg 0.000041 2.001041
a_pos l_sep 0.000045 2.000144
a_pos l_pos 0.000045 1.999321
a_pos Rp_neg 0.000047 2.000859
a_pos Rp_pos 0.000089 3.035010
a_pos epsilon_f_neg 0.000045 2.000875
a_pos epsilon_f_pos 0.000045 2.000347
a_pos epsilon_neg 0.000046 1.978073
a_pos epsilon_sep 0.000045 2.000936
a_pos epsilon_pos -0.000002 0.026184
a_pos Cdl_neg 0.000045 2.000663
a_pos Cdl_pos 0.000045 2.004564
a_pos cs_max_neg 0.000045 2.000936
a_pos cs_max_pos 0.000045 2.000936
a_pos c0 0.000044 1.991383
a_pos D 0.000043 1.907721
a_pos Ds_neg 0.000046 2.000719
a_pos Ds_pos -0.000006 0.217792
a_pos d2Udcp2_pos_sgn 0.000045 1.999577
a_pos d2Udcp2_neg_sgn 0.000045 2.000913
a_pos d3Udcp3_pos_sgn 0.000045 2.000936
a_pos d3Udcp3_neg_sgn 0.000045 2.000936
a_pos dUdcp_pos_mag 0.000022 0.995986
a_pos dUdcp_neg_mag 0.000396 2.002173
a_pos d2Udcp2_pos_mag 0.000095 3.187999
a_pos d2Udcp2_neg_mag 0.000046 2.000372
a_pos d3Udcp3_pos_mag 0.000045 2.000849
a_pos d3Udcp3_neg_mag 0.000045 2.001093
a_pos i0_neg 0.000040 2.294063
a_pos i0_pos 0.000059 2.478578
a_pos SOC_neg 0.000045 2.000936
a_pos SOC_pos 0.000045 2.000936
a_pos tP 0.000045 2.002353
a_pos aa_neg 0.000049 2.180531
a_pos aa_pos -0.000056 2.399680
a_pos kappa_0 0.002916 127.311528
a_pos sigma_neg 0.000045 2.000731
a_pos sigma_pos 0.000045 2.003174
l_neg l_sep -0.000021 0.000082
l_neg l_pos -0.000021 0.000090
l_neg Rp_neg -0.000021 0.000094
l_neg Rp_pos -0.000021 0.000530
l_neg epsilon_f_neg -0.000021 0.000090
l_neg epsilon_f_pos -0.000021 0.000090
l_neg epsilon_neg -0.000021 0.000350
l_neg epsilon_sep -0.000021 0.000090
l_neg epsilon_pos -0.000021 0.000092
l_neg Cdl_neg -0.000021 0.000090
l_neg Cdl_pos -0.000021 0.000091
l_neg cs_max_neg -0.000021 0.000090
l_neg cs_max_pos -0.000021 0.000090
l_neg c0 -0.000021 0.000090
l_neg D -0.000021 0.000088
l_neg Ds_neg -0.000021 0.000137
l_neg Ds_pos -0.000021 0.000099
l_neg d2Udcp2_pos_sgn -0.000021 0.000090
l_neg d2Udcp2_neg_sgn -0.000021 0.000081
l_neg d3Udcp3_pos_sgn -0.000021 0.000090
l_neg d3Udcp3_neg_sgn -0.000021 0.000090
l_neg dUdcp_pos_mag -0.000021 0.000092
l_neg dUdcp_neg_mag -0.000025 0.000775
l_neg d2Udcp2_pos_mag -0.000021 0.000594
l_neg d2Udcp2_neg_mag -0.000021 0.000335
l_neg d3Udcp3_pos_mag -0.000021 0.000090
l_neg d3Udcp3_neg_mag -0.000021 0.000090
l_neg i0_neg -0.000021 0.000083
l_neg i0_pos -0.000021 0.000094
l_neg SOC_neg -0.000021 0.000090
l_neg SOC_pos -0.000021 0.000090
l_neg tP -0.000021 0.000088
l_neg aa_neg -0.000021 0.000075
l_neg aa_pos -0.000021 0.000091
l_neg kappa_0 -0.000021 0.000085
l_neg sigma_neg -0.000021 0.000090
l_neg sigma_pos -0.000021 0.000090
l_sep l_pos 0.000000 0.002276
l_sep Rp_neg 0.000000 0.002275
l_sep Rp_pos 0.000008 0.247966
l_sep epsilon_f_neg 0.000000 0.002277
l_sep epsilon_f_pos 0.000000 0.002277
l_sep epsilon_neg 0.000000 0.002273
l_sep epsilon_sep 0.000000 0.002277
l_sep epsilon_pos 0.000000 0.002367
l_sep Cdl_neg 0.000000 0.002272
l_sep Cdl_pos 0.000000 0.002276
l_sep cs_max_neg 0.000000 0.002277
l_sep cs_max_pos 0.000000 0.002277
l_sep c0 0.000000 0.002318
l_sep D 0.000000 0.002274
l_sep Ds_neg 0.000001 0.012145
l_sep Ds_pos 0.000000 0.002102
l_sep d2Udcp2_pos_sgn 0.000000 0.002277
l_sep d2Udcp2_neg_sgn 0.000000 0.002286
l_sep d3Udcp3_pos_sgn 0.000000 0.002277
l_sep d3Udcp3_neg_sgn 0.000000 0.002277
l_sep dUdcp_pos_mag 0.000000 0.002280
