Parameter S1 S1_conf ST ST_conf
a_neg 0.000003 0.000471 1.000814 0.461348
a_pos -0.000008 0.660161 0.000109 6.069279
l_neg 0.000000 0.000007 0.009222 0.004250
l_sep -0.000000 0.000010 0.000000 0.000701
l_pos 0.000000 0.000545 0.000000 0.000018
Rp_neg 0.000000 0.000348 0.012082 0.004094
Rp_pos 0.000000 0.012493 0.002352 311.384427
epsilon_f_neg 0.000000 0.000000 0.000000 0.000000
epsilon_f_pos -0.000000 0.000000 0.000000 0.000000
epsilon_neg 0.000003 0.005562 0.861591 16.564138
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.000000 0.003116 0.000676 2.325197
Cdl_neg -0.000000 0.000011 0.000000 0.000070
Cdl_pos 0.000000 0.000465 0.000000 0.000107
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000000 0.000077 0.000125 10.248216
D -0.000000 0.000171 0.000014 0.027412
Ds_neg 0.000003 0.001978 1.020493 0.315741
Ds_pos 0.000000 0.002900 0.000265 0.911092
d2Udcp2_pos_sgn 0.000000 0.005510 0.000000 0.002298
d2Udcp2_neg_sgn -0.000000 0.000304 0.000036 0.011325
d3Udcp3_pos_sgn -0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn -0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000000 0.001041 0.000001 0.072895
dUdcp_neg_mag -0.000007 0.000077 5.808204 1.920218
d2Udcp2_pos_mag 0.000000 0.005455 0.000481 52.702348
d2Udcp2_neg_mag 0.000003 0.003961 0.966039 9.346177
d3Udcp3_pos_mag -0.000000 0.000139 0.000000 0.000031
d3Udcp3_neg_mag 0.000000 0.000057 0.000000 0.002035
i0_neg 0.000005 0.000035 2.489278 0.960466
i0_pos -0.000000 0.003754 0.010085 1213.130247
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.000000 0.000117 0.000059 0.149232
aa_neg -0.000000 0.000518 0.000677 0.005485
aa_pos 0.000000 0.001722 0.000000 0.006897
kappa_0 0.000002 0.067811 0.162302 8.132677
sigma_neg 0.000000 0.000001 0.000000 0.000005
sigma_pos 0.000000 0.000001 0.000000 0.000003

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos 0.000069 0.005672
a_neg l_neg 0.000062 0.005408
a_neg l_sep 0.000069 0.005409
a_neg l_pos 0.000069 0.005413
a_neg Rp_neg 0.000061 0.003938
a_neg Rp_pos 0.000069 0.004402
a_neg epsilon_f_neg 0.000069 0.005411
a_neg epsilon_f_pos 0.000069 0.005409
a_neg epsilon_neg 0.000005 0.223819
a_neg epsilon_sep 0.000069 0.005409
a_neg epsilon_pos 0.000069 0.004521
a_neg Cdl_neg 0.000069 0.005408
a_neg Cdl_pos 0.000069 0.005085
a_neg cs_max_neg 0.000069 0.005409
a_neg cs_max_pos 0.000069 0.005409
a_neg c0 0.000069 0.004832
a_neg D 0.000069 0.005668
a_neg Ds_neg -0.000003 0.002342
a_neg Ds_pos 0.000069 0.005705
a_neg d2Udcp2_pos_sgn 0.000069 0.005400
a_neg d2Udcp2_neg_sgn 0.000069 0.015264
a_neg d3Udcp3_pos_sgn 0.000069 0.005408
a_neg d3Udcp3_neg_sgn 0.000069 0.005409
a_neg dUdcp_pos_mag 0.000069 0.005124
a_neg dUdcp_neg_mag 0.000242 0.005319
a_neg d2Udcp2_pos_mag 0.000069 0.004297
a_neg d2Udcp2_neg_mag -0.000001 0.011361
a_neg d3Udcp3_pos_mag 0.000069 0.005409
a_neg d3Udcp3_neg_mag 0.000069 0.005429
a_neg i0_neg -0.000044 0.004789
a_neg i0_pos 0.000069 0.012861
a_neg SOC_neg 0.000069 0.005409
a_neg SOC_pos 0.000069 0.005409
a_neg tP 0.000069 0.005398
a_neg aa_neg 0.000071 0.021097
a_neg aa_pos 0.000069 0.006018
a_neg kappa_0 0.000040 0.043792
a_neg sigma_neg 0.000069 0.005426
a_neg sigma_pos 0.000069 0.005408
a_pos l_neg 0.000009 0.772415
a_pos l_sep 0.000009 0.772416
a_pos l_pos 0.000009 0.771880
a_pos Rp_neg 0.000009 0.772364
a_pos Rp_pos 0.000010 0.781141
a_pos epsilon_f_neg 0.000009 0.772426
a_pos epsilon_f_pos 0.000009 0.772374
a_pos epsilon_neg 0.000009 0.771868
a_pos epsilon_sep 0.000009 0.772425
a_pos epsilon_pos 0.000008 0.662528
a_pos Cdl_neg 0.000009 0.772387
a_pos Cdl_pos 0.000009 0.772738
a_pos cs_max_neg 0.000009 0.772425
a_pos cs_max_pos 0.000009 0.772425
