Parameter S1 S1_conf ST ST_conf
a_neg 0.000003 0.000849 0.958782 0.463314
a_pos -0.000253 2.279576 0.000824 7.387010
l_neg 0.000000 0.000001 0.000929 0.000440
l_sep -0.000000 0.000017 0.000000 0.000061
l_pos 0.000000 0.001406 0.000000 0.000005
Rp_neg 0.000001 0.000098 0.099960 0.047430
Rp_pos 0.000000 0.001928 0.000080 1.088859
epsilon_f_neg 0.000000 0.000000 0.000000 0.000000
epsilon_f_pos 0.000000 0.000000 0.000000 0.000000
epsilon_neg 0.000002 0.003023 0.843554 0.890284
epsilon_sep -0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.000001 0.007300 0.000042 0.490248
Cdl_neg -0.000000 0.000059 0.000002 0.000698
Cdl_pos 0.000000 0.000745 0.000000 0.001025
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000000 0.000246 0.000049 0.275350
D 0.000000 0.000246 0.000001 0.002103
Ds_neg 0.000002 0.007590 1.027670 0.387659
Ds_pos 0.000001 0.007907 0.000028 0.247554
d2Udcp2_pos_sgn 0.000001 0.012263 0.000000 0.000777
d2Udcp2_neg_sgn -0.000000 0.000012 0.000162 0.001419
d3Udcp3_pos_sgn -0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.000000 0.001595 0.000018 0.139287
dUdcp_neg_mag 0.000003 0.000283 0.429818 0.172812
d2Udcp2_pos_mag -0.000001 0.006203 0.000033 0.263494
d2Udcp2_neg_mag 0.000002 0.000062 0.979246 0.289159
d3Udcp3_pos_mag -0.000000 0.000194 0.000000 0.000001
d3Udcp3_neg_mag 0.000000 0.000002 0.000000 0.000022
i0_neg -0.000002 0.000066 0.047677 0.390093
i0_pos -0.000005 0.045695 0.000438 3.918967
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000000 0.000292 0.000027 0.004905
aa_neg -0.000000 0.000058 0.014116 0.005978
aa_pos 0.000000 0.002682 0.000001 0.014638
kappa_0 -0.000001 0.023942 0.196912 33.120350
sigma_neg -0.000000 0.000000 0.000001 0.000005
sigma_pos 0.000000 0.000001 0.000000 0.000001

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos 0.000192 0.001978
a_neg l_neg 0.000186 0.002608
a_neg l_sep 0.000192 0.002588
a_neg l_pos 0.000192 0.002620
a_neg Rp_neg 0.000129 0.002917
a_neg Rp_pos 0.000192 0.002752
a_neg epsilon_f_neg 0.000192 0.002608
a_neg epsilon_f_pos 0.000192 0.002608
a_neg epsilon_neg 0.000013 0.018042
a_neg epsilon_sep 0.000192 0.002608
a_neg epsilon_pos 0.000192 0.000752
a_neg Cdl_neg 0.000191 0.002589
a_neg Cdl_pos 0.000192 0.002822
a_neg cs_max_neg 0.000192 0.002608
a_neg cs_max_pos 0.000192 0.002608
a_neg c0 0.000191 0.002492
a_neg D 0.000192 0.002700
a_neg Ds_neg -0.000005 0.005105
a_neg Ds_pos 0.000192 0.001619
a_neg d2Udcp2_pos_sgn 0.000192 0.002609
a_neg d2Udcp2_neg_sgn 0.000192 0.002487
a_neg d3Udcp3_pos_sgn 0.000192 0.002608
a_neg d3Udcp3_neg_sgn 0.000192 0.002608
a_neg dUdcp_pos_mag 0.000192 0.001195
a_neg dUdcp_neg_mag 0.000062 0.002335
a_neg d2Udcp2_pos_mag 0.000192 0.001750
a_neg d2Udcp2_neg_mag -0.000000 0.002682
a_neg d3Udcp3_pos_mag 0.000192 0.002608
a_neg d3Udcp3_neg_mag 0.000192 0.002602
a_neg i0_neg 0.000203 0.002612
a_neg i0_pos 0.000192 0.001689
a_neg SOC_neg 0.000192 0.002608
a_neg SOC_pos 0.000192 0.002608
a_neg tP 0.000191 0.002402
a_neg aa_neg 0.000215 0.002541
a_neg aa_pos 0.000192 0.002162
a_neg kappa_0 0.000110 0.074132
a_neg sigma_neg 0.000192 0.002608
a_neg sigma_pos 0.000192 0.002609
a_pos l_neg 0.000256 2.302860
a_pos l_sep 0.000256 2.302861
a_pos l_pos 0.000256 2.301460
a_pos Rp_neg 0.000256 2.303387
a_pos Rp_pos 0.000256 2.301513
a_pos epsilon_f_neg 0.000256 2.302860
a_pos epsilon_f_pos 0.000256 2.302856
a_pos epsilon_neg 0.000257 2.302220
a_pos epsilon_sep 0.000256 2.302860
a_pos epsilon_pos 0.000253 2.282118
a_pos Cdl_neg 0.000256 2.302906
a_pos Cdl_pos 0.000256 2.302882
a_pos cs_max_neg 0.000256 2.302860
a_pos cs_max_pos 0.000256 2.302860
