Parameter S1 S1_conf ST ST_conf
a_neg 0.000043 0.002283 0.443181 0.366711
a_pos -0.063088 0.929076 0.055179 0.808042
l_neg 0.000000 0.000000 0.000034 0.000037
l_sep -0.000000 0.000011 0.000000 0.000001
l_pos 0.000035 0.000521 0.000000 0.000001
Rp_neg 0.000009 0.000126 0.092123 0.077106
Rp_pos 0.000093 0.001489 0.000252 0.096640
epsilon_f_neg -0.000000 0.000000 0.000000 0.000000
epsilon_f_pos 0.000000 0.000004 0.000000 0.000000
epsilon_neg -0.000089 0.001931 0.604111 0.244963
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.000221 0.024929 0.004705 1.768020
Cdl_neg -0.000002 0.000547 0.000063 0.017431
Cdl_pos 0.000067 0.031007 0.000055 0.022941
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000005 0.001140 0.000004 0.001584
D 0.000000 0.001247 0.000002 0.000698
Ds_neg -0.000161 0.005581 1.056847 2.631336
Ds_pos 0.000185 0.015846 0.000281 0.092075
d2Udcp2_pos_sgn 0.000276 0.004053 0.000003 0.000716
d2Udcp2_neg_sgn -0.000013 0.000058 0.003432 0.002398
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.000025 0.012895 0.000365 0.116470
dUdcp_neg_mag 0.000027 0.002027 0.348841 0.290797
d2Udcp2_pos_mag -0.000177 0.016126 0.000544 0.175921
d2Udcp2_neg_mag -0.000150 0.000122 0.991106 0.329659
d3Udcp3_pos_mag -0.000002 0.000032 0.000000 0.000000
d3Udcp3_neg_mag -0.000000 0.000009 0.000000 0.000028
i0_neg -0.000259 0.000333 30.421056 24.966953
i0_pos -0.004310 0.071063 0.234767 97.609702
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000008 0.001385 0.000084 0.001914
aa_neg 0.000000 0.000486 0.205912 0.168207
aa_pos 0.000038 0.010101 0.000817 0.278055
kappa_0 -0.000322 0.151721 0.751716 84.159488
sigma_neg -0.000001 0.000001 0.000006 0.000005
sigma_pos -0.000000 0.000017 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos 0.001136 0.013901
a_neg l_neg 0.001143 0.028766
a_neg l_sep 0.001154 0.028770
a_neg l_pos 0.001154 0.028763
a_neg Rp_neg 0.000619 0.028427
a_neg Rp_pos 0.001152 0.028809
a_neg epsilon_f_neg 0.001154 0.028766
a_neg epsilon_f_pos 0.001154 0.028764
a_neg epsilon_neg 0.000070 0.029770
a_neg epsilon_sep 0.001154 0.028766
a_neg epsilon_pos 0.001153 0.008120
a_neg Cdl_neg 0.001147 0.028880
a_neg Cdl_pos 0.001090 0.016071
a_neg cs_max_neg 0.001154 0.028766
a_neg cs_max_pos 0.001154 0.028766
a_neg c0 0.001156 0.028697
a_neg D 0.001150 0.028803
a_neg Ds_neg -0.000106 0.028051
a_neg Ds_pos 0.001191 0.031337
a_neg d2Udcp2_pos_sgn 0.001153 0.028763
a_neg d2Udcp2_neg_sgn 0.001153 0.028860
a_neg d3Udcp3_pos_sgn 0.001154 0.028766
a_neg d3Udcp3_neg_sgn 0.001153 0.028766
a_neg dUdcp_pos_mag 0.001202 0.032596
a_neg dUdcp_neg_mag 0.000121 0.029795
a_neg d2Udcp2_pos_mag 0.001199 0.032585
a_neg d2Udcp2_neg_mag -0.000027 0.028846
a_neg d3Udcp3_pos_mag 0.001154 0.028766
a_neg d3Udcp3_neg_mag 0.001153 0.028718
a_neg i0_neg 0.010779 0.030337
a_neg i0_pos 0.001100 0.011923
a_neg SOC_neg 0.001154 0.028766
a_neg SOC_pos 0.001154 0.028766
a_neg tP 0.001157 0.028724
a_neg aa_neg 0.001951 0.028826
a_neg aa_pos 0.001176 0.032306
a_neg kappa_0 -0.000040 0.288703
a_neg sigma_neg 0.001153 0.028766
a_neg sigma_pos 0.001154 0.028776
a_pos l_neg 0.063463 0.932997
a_pos l_sep 0.063463 0.932998
a_pos l_pos 0.063428 0.932483
a_pos Rp_neg 0.063509 0.932799
a_pos Rp_pos 0.063369 0.931625
a_pos epsilon_f_neg 0.063463 0.932998
a_pos epsilon_f_pos 0.063463 0.932997
a_pos epsilon_neg 0.063488 0.932755
a_pos epsilon_sep 0.063463 0.932998
a_pos epsilon_pos 0.063111 0.929625
a_pos Cdl_neg 0.063470 0.933010
a_pos Cdl_pos 0.063463 0.933001
a_pos cs_max_neg 0.063463 0.932998
a_pos cs_max_pos 0.063463 0.932998
a_pos c0 0.063468 0.933063
a_pos D 0.063457 0.932911
a_pos Ds_neg 0.063515 0.932855
a_pos Ds_pos 0.063295 0.930966
a_pos d2Udcp2_pos_sgn 0.063188 0.928973
a_pos d2Udcp2_neg_sgn 0.063463 0.932996
a_pos d3Udcp3_pos_sgn 0.063463 0.932998
a_pos d3Udcp3_neg_sgn 0.063463 0.932998
a_pos dUdcp_pos_mag 0.063300 0.932542
a_pos dUdcp_neg_mag 0.063483 0.932784
a_pos d2Udcp2_pos_mag 0.063594 0.934918
a_pos d2Udcp2_neg_mag 0.063442 0.933253
a_pos d3Udcp3_pos_mag 0.063465 0.933030
a_pos d3Udcp3_neg_mag 0.063463 0.932998
a_pos i0_neg 0.063421 0.933481
a_pos i0_pos 0.068198 1.008632
a_pos SOC_neg 0.063463 0.932998
a_pos SOC_pos 0.063463 0.932998
a_pos tP 0.063465 0.933025
a_pos aa_neg 0.063469 0.933077
a_pos aa_pos 0.063358 0.931645
a_pos kappa_0 0.073803 4.487095
a_pos sigma_neg 0.063463 0.932998
a_pos sigma_pos 0.063463 0.933001
l_neg l_sep -0.000001 0.000040
l_neg l_pos -0.000001 0.000040
l_neg Rp_neg -0.000001 0.000043
l_neg Rp_pos -0.000001 0.000049
l_neg epsilon_f_neg -0.000001 0.000040
l_neg epsilon_f_pos -0.000001 0.000040
l_neg epsilon_neg -0.000000 0.000016
l_neg epsilon_sep -0.000001 0.000040
l_neg epsilon_pos -0.000001 0.000031
l_neg Cdl_neg -0.000001 0.000135
l_neg Cdl_pos -0.000001 0.000036
l_neg cs_max_neg -0.000001 0.000040
l_neg cs_max_pos -0.000001 0.000040
l_neg c0 -0.000001 0.000040
