Parameter S1 S1_conf ST ST_conf
a_neg 0.039580 0.040672 0.243641 0.996508
a_pos -0.005269 0.048209 0.226455 0.217744
l_neg -0.000007 0.000032 0.000006 0.000021
l_sep 0.000000 0.000001 0.000000 0.000000
l_pos 0.000043 0.000157 0.000000 0.000001
Rp_neg 0.000004 0.000134 0.000530 0.003245
Rp_pos -0.000733 0.001349 0.000018 0.000103
epsilon_f_neg -0.000001 0.000003 0.000000 0.000000
epsilon_f_pos 0.000000 0.000000 0.000000 0.000000
epsilon_neg 0.034286 0.091732 0.081447 0.136545
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.014304 0.032103 9.234216 9.670911
Cdl_neg 0.002745 0.006792 0.066132 0.110383
Cdl_pos 0.003114 0.013735 0.005007 0.009019
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000006 0.000036 0.000001 0.000002
D -0.000019 0.000086 0.000000 0.000000
Ds_neg -0.000925 0.001623 0.004476 0.008385
Ds_pos -0.000307 0.001146 0.000122 0.000768
d2Udcp2_pos_sgn 0.000085 0.000053 0.000000 0.000000
d2Udcp2_neg_sgn -0.000001 0.000003 0.000000 0.000000
d3Udcp3_pos_sgn -0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.000412 0.003119 0.000719 0.004483
dUdcp_neg_mag 0.000111 0.000176 0.000189 0.000877
d2Udcp2_pos_mag -0.000140 0.000506 0.000001 0.000002
d2Udcp2_neg_mag 0.000001 0.000005 0.000000 0.000001
d3Udcp3_pos_mag 0.000001 0.000001 0.000000 0.000000
d3Udcp3_neg_mag -0.000000 0.000000 0.000000 0.000000
i0_neg -0.000049 0.008599 0.089781 0.146028
i0_pos 0.285811 0.190355 0.333073 0.237388
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.000007 0.000051 0.000001 0.000004
aa_neg 0.001492 0.004302 0.030472 0.052842
aa_pos 0.004782 0.012488 0.968888 1.001908
kappa_0 -0.018418 0.061636 0.573635 1.601389
sigma_neg 0.000004 0.000010 0.000000 0.000000
sigma_pos -0.000007 0.000028 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.057463 0.087725
a_neg l_neg -0.047018 0.057130
a_neg l_sep -0.047020 0.057131
a_neg l_pos -0.047051 0.057213
a_neg Rp_neg -0.046989 0.057098
a_neg Rp_pos -0.046545 0.055751
a_neg epsilon_f_neg -0.047020 0.057130
a_neg epsilon_f_pos -0.047019 0.057130
a_neg epsilon_neg -0.013705 0.101764
a_neg epsilon_sep -0.047019 0.057131
a_neg epsilon_pos -0.033323 0.045067
a_neg Cdl_neg -0.046826 0.057228
a_neg Cdl_pos -0.049178 0.064527
a_neg cs_max_neg -0.047019 0.057131
a_neg cs_max_pos -0.047019 0.057131
a_neg c0 -0.047034 0.057174
a_neg D -0.046992 0.057052
a_neg Ds_neg -0.047065 0.057253
a_neg Ds_pos -0.047277 0.057749
a_neg d2Udcp2_pos_sgn -0.047020 0.057131
a_neg d2Udcp2_neg_sgn -0.047019 0.057131
a_neg d3Udcp3_pos_sgn -0.047019 0.057131
a_neg d3Udcp3_neg_sgn -0.047019 0.057131
a_neg dUdcp_pos_mag -0.045548 0.052883
a_neg dUdcp_neg_mag -0.046954 0.056988
a_neg d2Udcp2_pos_mag -0.046900 0.056786
a_neg d2Udcp2_neg_mag -0.047020 0.057132
a_neg d3Udcp3_pos_mag -0.047019 0.057131
a_neg d3Udcp3_neg_mag -0.047019 0.057131
a_neg i0_neg -0.044546 0.057046
a_neg i0_pos -0.040797 0.042323
a_neg SOC_neg -0.047019 0.057131
a_neg SOC_pos -0.047019 0.057131
a_neg tP -0.047035 0.057165
a_neg aa_neg -0.047215 0.057229
a_neg aa_pos -0.054094 0.074447
a_neg kappa_0 -0.054274 0.108815
a_neg sigma_neg -0.047016 0.057129
a_neg sigma_pos -0.047014 0.057116
a_pos l_neg -0.004992 0.083566
a_pos l_sep -0.004991 0.083559
a_pos l_pos -0.005002 0.083561
a_pos Rp_neg -0.007030 0.096056
a_pos Rp_pos -0.006924 0.088636
a_pos epsilon_f_neg -0.004994 0.083564
a_pos epsilon_f_pos -0.004994 0.083564
a_pos epsilon_neg 0.004324 0.040899
a_pos epsilon_sep -0.004991 0.083559
a_pos epsilon_pos -0.015404 0.109501
a_pos Cdl_neg 0.000999 0.047250
a_pos Cdl_pos -0.013492 0.110493
a_pos cs_max_neg -0.004991 0.083559
a_pos cs_max_pos -0.004991 0.083559
a_pos c0 -0.004874 0.083399
a_pos D -0.005082 0.083701
a_pos Ds_neg -0.003786 0.080935
a_pos Ds_pos 0.001436 0.083024
a_pos d2Udcp2_pos_sgn -0.005079 0.083559
a_pos d2Udcp2_neg_sgn -0.004991 0.083559
a_pos d3Udcp3_pos_sgn -0.004991 0.083559
a_pos d3Udcp3_neg_sgn -0.004991 0.083559
a_pos dUdcp_pos_mag -0.020617 0.144743
a_pos dUdcp_neg_mag -0.004404 0.079823
a_pos d2Udcp2_pos_mag -0.004963 0.083554
a_pos d2Udcp2_neg_mag -0.004984 0.083512
a_pos d3Udcp3_pos_mag -0.004992 0.083559
a_pos d3Udcp3_neg_mag -0.004991 0.083559
a_pos i0_neg -0.009464 0.154301
a_pos i0_pos -0.169725 0.833114
a_pos SOC_neg -0.004991 0.083559
a_pos SOC_pos -0.004991 0.083559
a_pos tP -0.005003 0.083589
a_pos aa_neg -0.008225 0.102254
a_pos aa_pos 0.044007 0.295729
a_pos kappa_0 0.284205 1.805091
a_pos sigma_neg -0.004997 0.083550
a_pos sigma_pos -0.004982 0.083547
l_neg l_sep 0.000256 0.000467
l_neg l_pos 0.000256 0.000467
l_neg Rp_neg 0.000256 0.000466
l_neg Rp_pos 0.000256 0.000467
l_neg epsilon_f_neg 0.000256 0.000467
l_neg epsilon_f_pos 0.000256 0.000467
l_neg epsilon_neg 0.000038 0.000064
l_neg epsilon_sep 0.000256 0.000467
l_neg epsilon_pos 0.000259 0.000467
l_neg Cdl_neg 0.000455 0.000835
l_neg Cdl_pos 0.000255 0.000466
l_neg cs_max_neg 0.000256 0.000467
l_neg cs_max_pos 0.000256 0.000467
l_neg c0 0.000256 0.000467
l_neg D 0.000256 0.000467
l_neg Ds_neg 0.000205 0.000372
l_neg Ds_pos 0.000256 0.000467
l_neg d2Udcp2_pos_sgn 0.000256 0.000467
l_neg d2Udcp2_neg_sgn 0.000256 0.000467
l_neg d3Udcp3_pos_sgn 0.000256 0.000467
l_neg d3Udcp3_neg_sgn 0.000256 0.000467
l_neg dUdcp_pos_mag 0.000255 0.000466
l_neg dUdcp_neg_mag 0.000258 0.000469
l_neg d2Udcp2_pos_mag 0.000256 0.000467
l_neg d2Udcp2_neg_mag 0.000256 0.000467
l_neg d3Udcp3_pos_mag 0.000256 0.000467
l_neg d3Udcp3_neg_mag 0.000256 0.000467
l_neg i0_neg 0.000075 0.000134
l_neg i0_pos 0.000422 0.000769
l_neg SOC_neg 0.000256 0.000467
l_neg SOC_pos 0.000256 0.000467
l_neg tP 0.000256 0.000466
l_neg aa_neg 0.000387 0.000709
l_neg aa_pos 0.000257 0.000467
l_neg kappa_0 0.000025 0.000097
l_neg sigma_neg 0.000256 0.000467
l_neg sigma_pos 0.000256 0.000467
l_sep l_pos -0.000000 0.000001
l_sep Rp_neg -0.000000 0.000001
l_sep Rp_pos -0.000000 0.000001
l_sep epsilon_f_neg -0.000000 0.000001
l_sep epsilon_f_pos -0.000000 0.000001
l_sep epsilon_neg -0.000000 0.000001
l_sep epsilon_sep -0.000000 0.000001
l_sep epsilon_pos -0.000000 0.000001
l_sep Cdl_neg -0.000000 0.000001
l_sep Cdl_pos -0.000000 0.000001
l_sep cs_max_neg -0.000000 0.000001
l_sep cs_max_pos -0.000000 0.000001
l_sep c0 -0.000000 0.000001
l_sep D -0.000000 0.000001
l_sep Ds_neg -0.000000 0.000001
l_sep Ds_pos -0.000000 0.000001
l_sep d2Udcp2_pos_sgn -0.000000 0.000001
l_sep d2Udcp2_neg_sgn -0.000000 0.000001
l_sep d3Udcp3_pos_sgn -0.000000 0.000001
l_sep d3Udcp3_neg_sgn -0.000000 0.000001
l_sep dUdcp_pos_mag -0.000000 0.000001
l_sep dUdcp_neg_mag -0.000000 0.000001
l_sep d2Udcp2_pos_mag -0.000000 0.000001
l_sep d2Udcp2_neg_mag -0.000000 0.000001
l_sep d3Udcp3_pos_mag -0.000000 0.000001
l_sep d3Udcp3_neg_mag -0.000000 0.000001
l_sep i0_neg -0.000000 0.000001
l_sep i0_pos -0.000000 0.000001
l_sep SOC_neg -0.000000 0.000001
l_sep SOC_pos -0.000000 0.000001
l_sep tP -0.000000 0.000001
l_sep aa_neg -0.000000 0.000001
l_sep aa_pos -0.000000 0.000001
l_sep kappa_0 -0.000000 0.000001
l_sep sigma_neg -0.000000 0.000001
l_sep sigma_pos -0.000000 0.000001
l_pos Rp_neg -0.000430 0.000259
l_pos Rp_pos -0.000355 0.000224
l_pos epsilon_f_neg -0.000430 0.000260
l_pos epsilon_f_pos -0.000430 0.000260
l_pos epsilon_neg -0.000738 0.000431
l_pos epsilon_sep -0.000430 0.000260
l_pos epsilon_pos -0.000438 0.000266
l_pos Cdl_neg -0.000258 0.000184
l_pos Cdl_pos -0.000430 0.000260
l_pos cs_max_neg -0.000430 0.000260
l_pos cs_max_pos -0.000430 0.000260
l_pos c0 -0.000430 0.000260
l_pos D -0.000430 0.000260
l_pos Ds_neg -0.000415 0.000252
l_pos Ds_pos -0.000439 0.000264
l_pos d2Udcp2_pos_sgn -0.000446 0.000267
l_pos d2Udcp2_neg_sgn -0.000430 0.000260
l_pos d3Udcp3_pos_sgn -0.000430 0.000260
l_pos d3Udcp3_neg_sgn -0.000430 0.000260
l_pos dUdcp_pos_mag -0.000430 0.000260
l_pos dUdcp_neg_mag -0.000439 0.000264
l_pos d2Udcp2_pos_mag -0.000427 0.000258
l_pos d2Udcp2_neg_mag -0.000430 0.000260
l_pos d3Udcp3_pos_mag -0.000430 0.000260
l_pos d3Udcp3_neg_mag -0.000430 0.000260
l_pos i0_neg -0.000424 0.000257
l_pos i0_pos -0.052930 0.033008
l_pos SOC_neg -0.000430 0.000260
l_pos SOC_pos -0.000430 0.000260
l_pos tP -0.000430 0.000260
l_pos aa_neg -0.000348 0.000221
l_pos aa_pos -0.000439 0.000263
l_pos kappa_0 -0.000110 0.000149
l_pos sigma_neg -0.000430 0.000260
l_pos sigma_pos -0.000430 0.000260
Rp_neg Rp_pos 0.001100 0.004432
Rp_neg epsilon_f_neg 0.001100 0.004432
Rp_neg epsilon_f_pos 0.001100 0.004432
Rp_neg epsilon_neg 0.002217 0.009784
Rp_neg epsilon_sep 0.001100 0.004432
Rp_neg epsilon_pos 0.000205 0.000953
Rp_neg Cdl_neg 0.001130 0.004671
Rp_neg Cdl_pos 0.002660 0.010494
Rp_neg cs_max_neg 0.001100 0.004432
Rp_neg cs_max_pos 0.001100 0.004432
Rp_neg c0 0.001100 0.004431
Rp_neg D 0.001100 0.004432
Rp_neg Ds_neg 0.001108 0.004434
Rp_neg Ds_pos 0.001101 0.004434
Rp_neg d2Udcp2_pos_sgn 0.001100 0.004432
Rp_neg d2Udcp2_neg_sgn 0.001100 0.004432
Rp_neg d3Udcp3_pos_sgn 0.001100 0.004432
Rp_neg d3Udcp3_neg_sgn 0.001100 0.004432
Rp_neg dUdcp_pos_mag 0.001100 0.004433
Rp_neg dUdcp_neg_mag 0.001092 0.004402
Rp_neg d2Udcp2_pos_mag 0.001100 0.004432
Rp_neg d2Udcp2_neg_mag 0.001100 0.004432
Rp_neg d3Udcp3_pos_mag 0.001100 0.004432
Rp_neg d3Udcp3_neg_mag 0.001100 0.004432
Rp_neg i0_neg 0.001066 0.004268
Rp_neg i0_pos 0.000187 0.000996
Rp_neg SOC_neg 0.001100 0.004432
Rp_neg SOC_pos 0.001100 0.004432
Rp_neg tP 0.001100 0.004431
Rp_neg aa_neg 0.001047 0.004300
Rp_neg aa_pos 0.001156 0.004654
Rp_neg kappa_0 0.000414 0.001633
Rp_neg sigma_neg 0.001100 0.004433
Rp_neg sigma_pos 0.001100 0.004434
Rp_pos epsilon_f_neg 0.000734 0.001348
Rp_pos epsilon_f_pos 0.000734 0.001348
Rp_pos epsilon_neg 0.000735 0.001348
Rp_pos epsilon_sep 0.000734 0.001348
Rp_pos epsilon_pos 0.000752 0.001345
Rp_pos Cdl_neg 0.000734 0.001348
Rp_pos Cdl_pos 0.000734 0.001348
Rp_pos cs_max_neg 0.000734 0.001348
Rp_pos cs_max_pos 0.000734 0.001348
Rp_pos c0 0.000734 0.001348
Rp_pos D 0.000734 0.001348
Rp_pos Ds_neg 0.000735 0.001348
Rp_pos Ds_pos 0.000734 0.001348
Rp_pos d2Udcp2_pos_sgn 0.000734 0.001348
Rp_pos d2Udcp2_neg_sgn 0.000734 0.001348
Rp_pos d3Udcp3_pos_sgn 0.000734 0.001348
Rp_pos d3Udcp3_neg_sgn 0.000734 0.001348
Rp_pos dUdcp_pos_mag 0.000734 0.001348
Rp_pos dUdcp_neg_mag 0.000734 0.001348
Rp_pos d2Udcp2_pos_mag 0.000734 0.001348
Rp_pos d2Udcp2_neg_mag 0.000734 0.001348
Rp_pos d3Udcp3_pos_mag 0.000734 0.001348
Rp_pos d3Udcp3_neg_mag 0.000734 0.001348
Rp_pos i0_neg 0.000735 0.001348
Rp_pos i0_pos 0.000732 0.001349
Rp_pos SOC_neg 0.000734 0.001348
Rp_pos SOC_pos 0.000734 0.001348
Rp_pos tP 0.000734 0.001348
Rp_pos aa_neg 0.000735 0.001348
Rp_pos aa_pos 0.000729 0.001350
Rp_pos kappa_0 0.000732 0.001348
Rp_pos sigma_neg 0.000734 0.001348
Rp_pos sigma_pos 0.000734 0.001348
epsilon_f_neg epsilon_f_pos 0.000001 0.000003
epsilon_f_neg epsilon_neg 0.000002 0.000006
epsilon_f_neg epsilon_sep 0.000001 0.000003
epsilon_f_neg epsilon_pos 0.000001 0.000003
epsilon_f_neg Cdl_neg 0.000001 0.000003
epsilon_f_neg Cdl_pos 0.000001 0.000003
epsilon_f_neg cs_max_neg 0.000001 0.000003
epsilon_f_neg cs_max_pos 0.000001 0.000003
epsilon_f_neg c0 0.000001 0.000003
epsilon_f_neg D 0.000001 0.000003
epsilon_f_neg Ds_neg 0.000001 0.000003
epsilon_f_neg Ds_pos 0.000001 0.000003
epsilon_f_neg d2Udcp2_pos_sgn 0.000001 0.000003
epsilon_f_neg d2Udcp2_neg_sgn 0.000001 0.000003
epsilon_f_neg d3Udcp3_pos_sgn 0.000001 0.000003
epsilon_f_neg d3Udcp3_neg_sgn 0.000001 0.000003
epsilon_f_neg dUdcp_pos_mag 0.000001 0.000003
epsilon_f_neg dUdcp_neg_mag 0.000001 0.000003
epsilon_f_neg d2Udcp2_pos_mag 0.000001 0.000003
epsilon_f_neg d2Udcp2_neg_mag 0.000001 0.000003
epsilon_f_neg d3Udcp3_pos_mag 0.000001 0.000003
epsilon_f_neg d3Udcp3_neg_mag 0.000001 0.000003
epsilon_f_neg i0_neg 0.000002 0.000004
epsilon_f_neg i0_pos 0.000001 0.000003
epsilon_f_neg SOC_neg 0.000001 0.000003
epsilon_f_neg SOC_pos 0.000001 0.000003
epsilon_f_neg tP 0.000001 0.000003
epsilon_f_neg aa_neg 0.000001 0.000003
epsilon_f_neg aa_pos 0.000001 0.000004
epsilon_f_neg kappa_0 0.000001 0.000003
epsilon_f_neg sigma_neg 0.000001 0.000003
epsilon_f_neg sigma_pos 0.000001 0.000003
epsilon_f_pos epsilon_neg 0.000001 0.000002
epsilon_f_pos epsilon_sep 0.000010 0.000019
epsilon_f_pos epsilon_pos 0.000010 0.000019
epsilon_f_pos Cdl_neg 0.000018 0.000034
epsilon_f_pos Cdl_pos 0.000010 0.000019
epsilon_f_pos cs_max_neg 0.000010 0.000019
