Parameter S1 S1_conf ST ST_conf
a_neg 0.018644 0.201190 0.040360 0.276960
a_pos -0.011432 0.073348 0.789953 0.266807
l_neg -0.000052 0.000431 0.000004 0.000030
l_sep -0.000000 0.000000 0.000000 0.000000
l_pos 0.000002 0.000023 0.000001 0.000002
Rp_neg -0.000006 0.000112 0.000001 0.000004
Rp_pos -0.000373 0.002802 0.000044 0.000328
epsilon_f_neg -0.000000 0.000002 0.000000 0.000000
epsilon_f_pos -0.000003 0.000018 0.000000 0.000000
epsilon_neg 0.004211 0.082526 0.082006 0.382954
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.002137 0.064326 33.372599 16.403951
Cdl_neg -0.002513 0.015394 0.070304 0.281426
Cdl_pos -0.001938 0.055799 0.073431 0.138965
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000001 0.000008 0.000000 0.000000
D 0.000000 0.000001 0.000000 0.000000
Ds_neg -0.000000 0.000117 0.000011 0.000049
Ds_pos 0.000018 0.000140 0.000000 0.000001
d2Udcp2_pos_sgn -0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn -0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000019 0.000145 0.000000 0.000001
dUdcp_neg_mag -0.000001 0.000113 0.000001 0.000005
d2Udcp2_pos_mag -0.000002 0.000025 0.000000 0.000000
d2Udcp2_neg_mag 0.000005 0.000041 0.000000 0.000000
d3Udcp3_pos_mag -0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag -0.000000 0.000000 0.000000 0.000000
i0_neg -0.001222 0.026954 0.022203 0.106014
i0_pos -0.001985 0.007662 0.954976 0.459859
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.000000 0.000002 0.000000 0.000000
aa_neg 0.000286 0.003657 0.003327 0.013342
aa_pos 0.002057 0.021820 0.283216 0.126869
kappa_0 0.544938 4.133407 95.979046 717.216332
sigma_neg 0.000001 0.000009 0.000000 0.000000
sigma_pos 0.000012 0.000091 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.015817 0.188873
a_neg l_neg -0.000053 0.211276
a_neg l_sep -0.000044 0.211277
a_neg l_pos -0.000048 0.211281
a_neg Rp_neg -0.000042 0.211272
a_neg Rp_pos -0.000812 0.209063
a_neg epsilon_f_neg -0.000044 0.211277
a_neg epsilon_f_pos -0.000049 0.211262
a_neg epsilon_neg -0.005368 0.245597
a_neg epsilon_sep -0.000044 0.211277
a_neg epsilon_pos -0.019915 0.210309
a_neg Cdl_neg 0.002363 0.207509
a_neg Cdl_pos -0.015683 0.215401
a_neg cs_max_neg -0.000044 0.211277
a_neg cs_max_pos -0.000044 0.211277
a_neg c0 -0.000045 0.211273
a_neg D -0.000044 0.211277
a_neg Ds_neg -0.000046 0.211285
a_neg Ds_pos -0.000003 0.211384
a_neg d2Udcp2_pos_sgn -0.000044 0.211277
a_neg d2Udcp2_neg_sgn -0.000044 0.211277
a_neg d3Udcp3_pos_sgn -0.000044 0.211277
a_neg d3Udcp3_neg_sgn -0.000044 0.211277
a_neg dUdcp_pos_mag -0.000003 0.211395
a_neg dUdcp_neg_mag -0.000056 0.211303
a_neg d2Udcp2_pos_mag -0.000041 0.211258
a_neg d2Udcp2_neg_mag -0.000043 0.211277
a_neg d3Udcp3_pos_mag -0.000044 0.211277
a_neg d3Udcp3_neg_mag -0.000044 0.211277
a_neg i0_neg -0.000158 0.215620
a_neg i0_pos -0.000113 0.207936
a_neg SOC_neg -0.000044 0.211277
a_neg SOC_pos -0.000044 0.211277
a_neg tP -0.000044 0.211278
a_neg aa_neg -0.000281 0.212117
a_neg aa_pos 0.006068 0.232482
a_neg kappa_0 1.143381 8.692881
a_neg sigma_neg -0.000044 0.211278
a_neg sigma_pos -0.000027 0.211343
a_pos l_neg 0.077372 0.480082
a_pos l_sep 0.077358 0.480057
a_pos l_pos 0.077363 0.480009
a_pos Rp_neg 0.077360 0.480072
a_pos Rp_pos 0.074988 0.462198
a_pos epsilon_f_neg 0.077358 0.480057
a_pos epsilon_f_pos 0.077343 0.479941
a_pos epsilon_neg 0.078838 0.482137
a_pos epsilon_sep 0.077358 0.480057
a_pos epsilon_pos 0.099369 0.070357
a_pos Cdl_neg 0.078824 0.482543
a_pos Cdl_pos 0.042725 0.195781
a_pos cs_max_neg 0.077358 0.480057
a_pos cs_max_pos 0.077358 0.480057
a_pos c0 0.077354 0.480027
a_pos D 0.077358 0.480058
a_pos Ds_neg 0.077354 0.480071
a_pos Ds_pos 0.077479 0.480968
a_pos d2Udcp2_pos_sgn 0.077358 0.480057
a_pos d2Udcp2_neg_sgn 0.077358 0.480057
a_pos d3Udcp3_pos_sgn 0.077358 0.480057
a_pos d3Udcp3_neg_sgn 0.077358 0.480057
a_pos dUdcp_pos_mag 0.077482 0.480991
a_pos dUdcp_neg_mag 0.077358 0.480060
a_pos d2Udcp2_pos_mag 0.077358 0.480058
a_pos d2Udcp2_neg_mag 0.077357 0.480055
a_pos d3Udcp3_pos_mag 0.077358 0.480057
a_pos d3Udcp3_neg_mag 0.077358 0.480057
a_pos i0_neg 0.078328 0.484533
a_pos i0_pos 0.062689 0.469551
a_pos SOC_neg 0.077358 0.480057
a_pos SOC_pos 0.077358 0.480057
a_pos tP 0.077359 0.480059
a_pos aa_neg 0.077343 0.479792
a_pos aa_pos 0.088835 0.620544
a_pos kappa_0 3.568840 26.913676
a_pos sigma_neg 0.077358 0.480057
a_pos sigma_pos 0.077415 0.480499
l_neg l_sep 0.000026 0.000413
l_neg l_pos 0.000026 0.000413
l_neg Rp_neg 0.000026 0.000413
l_neg Rp_pos 0.000027 0.000413
l_neg epsilon_f_neg 0.000026 0.000413
l_neg epsilon_f_pos 0.000026 0.000413
l_neg epsilon_neg 0.000034 0.000410
l_neg epsilon_sep 0.000026 0.000413
l_neg epsilon_pos 0.000038 0.000419
l_neg Cdl_neg 0.000036 0.000411
