Parameter S1 S1_conf ST ST_conf
a_neg -0.013474 0.094106 0.221539 0.661972
a_pos -0.351938 1.351983 110.142836 378.239692
l_neg -0.000034 0.000044 0.000004 0.000013
l_sep 0.000000 0.000000 0.000000 0.000000
l_pos 0.001398 0.001921 0.000367 0.000796
Rp_neg -0.000000 0.000007 0.000000 0.000001
Rp_pos -0.000038 0.000109 0.000002 0.000005
epsilon_f_neg -0.000003 0.000009 0.000000 0.000000
epsilon_f_pos -0.000003 0.000007 0.000000 0.000000
epsilon_neg -0.009108 0.024882 0.405312 1.026156
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.238772 0.454186 6.769178 9.390586
Cdl_neg 0.059181 0.307174 1.011947 4.514124
Cdl_pos -0.013554 0.022706 4.051105 13.585445
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000001 0.000003 0.000000 0.000000
D 0.000000 0.000001 0.000000 0.000000
Ds_neg 0.000000 0.000007 0.000004 0.000018
Ds_pos -0.000008 0.000034 0.000000 0.000000
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn -0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000010 0.000039 0.000000 0.000001
dUdcp_neg_mag 0.000091 0.000308 0.000002 0.000003
d2Udcp2_pos_mag -0.000005 0.000018 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.004246 0.025061 0.294160 0.397806
i0_pos 0.394116 0.555969 12.138952 17.221409
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.000001 0.000004 0.000000 0.000000
aa_neg 0.004638 0.017243 0.006799 0.010100
aa_pos 0.018566 0.025431 0.077504 0.108426
kappa_0 0.132211 0.294980 16.016251 48.363186
sigma_neg 0.000018 0.000063 0.000000 0.000000
sigma_pos 0.000013 0.000016 0.000000 0.000001

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos 0.309806 1.097425
a_neg l_neg 0.000412 0.102458
a_neg l_sep 0.000409 0.102475
a_neg l_pos 0.000144 0.102486
a_neg Rp_neg 0.000402 0.102475
a_neg Rp_pos 0.000353 0.102461
a_neg epsilon_f_neg 0.000408 0.102476
a_neg epsilon_f_pos 0.000407 0.102471
a_neg epsilon_neg -0.241217 0.940374
a_neg epsilon_sep 0.000409 0.102475
a_neg epsilon_pos 0.002342 0.123364
a_neg Cdl_neg 0.359116 1.427971
a_neg Cdl_pos 0.000204 0.113235
a_neg cs_max_neg 0.000409 0.102475
a_neg cs_max_pos 0.000409 0.102475
a_neg c0 0.000408 0.102477
a_neg D 0.000409 0.102475
a_neg Ds_neg 0.000467 0.102549
a_neg Ds_pos 0.000418 0.102473
a_neg d2Udcp2_pos_sgn 0.000409 0.102475
a_neg d2Udcp2_neg_sgn 0.000409 0.102475
a_neg d3Udcp3_pos_sgn 0.000409 0.102475
a_neg d3Udcp3_neg_sgn 0.000409 0.102475
a_neg dUdcp_pos_mag 0.000447 0.102476
a_neg dUdcp_neg_mag 0.000317 0.102485
a_neg d2Udcp2_pos_mag 0.000414 0.102474
a_neg d2Udcp2_neg_mag 0.000409 0.102475
a_neg d3Udcp3_pos_mag 0.000409 0.102475
a_neg d3Udcp3_neg_mag 0.000409 0.102475
a_neg i0_neg -0.018035 0.106860
a_neg i0_pos -0.002633 0.102578
a_neg SOC_neg 0.000409 0.102475
a_neg SOC_pos 0.000409 0.102475
a_neg tP 0.000408 0.102476
a_neg aa_neg -0.005153 0.105584
a_neg aa_pos 0.001116 0.103256
a_neg kappa_0 0.205348 0.616024
a_neg sigma_neg 0.000379 0.102496
a_neg sigma_pos 0.000398 0.102448
a_pos l_neg -0.092646 1.517547
a_pos l_sep -0.092452 1.517416
a_pos l_pos -0.080971 1.510022
a_pos Rp_neg -0.092453 1.517415
a_pos Rp_pos -0.092663 1.517246
a_pos epsilon_f_neg -0.092452 1.517416
a_pos epsilon_f_pos -0.092452 1.517413
a_pos epsilon_neg -0.091721 1.517047
a_pos epsilon_sep -0.092452 1.517416
a_pos epsilon_pos -3.302218 5.389260
a_pos Cdl_neg -0.123734 1.476478
a_pos Cdl_pos -0.260867 1.624943
a_pos cs_max_neg -0.092452 1.517416
a_pos cs_max_pos -0.092452 1.517416
a_pos c0 -0.092451 1.517413
a_pos D -0.092454 1.517417
a_pos Ds_neg -0.092452 1.517416
a_pos Ds_pos -0.092452 1.517415
a_pos d2Udcp2_pos_sgn -0.092452 1.517416
a_pos d2Udcp2_neg_sgn -0.092452 1.517416
a_pos d3Udcp3_pos_sgn -0.092452 1.517416
a_pos d3Udcp3_neg_sgn -0.092452 1.517416
a_pos dUdcp_pos_mag -0.092343 1.517468
a_pos dUdcp_neg_mag -0.092455 1.517413
a_pos d2Udcp2_pos_mag -0.092452 1.517416
a_pos d2Udcp2_neg_mag -0.092452 1.517416
a_pos d3Udcp3_pos_mag -0.092452 1.517416
a_pos d3Udcp3_neg_mag -0.092452 1.517416
a_pos i0_neg -0.093002 1.516749
a_pos i0_pos 4.223476 5.667631
a_pos SOC_neg -0.092452 1.517416
a_pos SOC_pos -0.092452 1.517416
