Parameter S1 S1_conf ST ST_conf
a_neg -1.367369 2.183555 281.388581 446.052651
a_pos 0.296205 0.633435 57.545125 101.327450
l_neg -0.000053 0.000094 0.000038 0.000034
l_sep 0.000000 0.000000 0.000000 0.000000
l_pos -0.006266 0.007071 0.017108 0.014503
Rp_neg 0.000000 0.000000 0.000000 0.000000
Rp_pos 0.000005 0.000008 0.000000 0.000000
epsilon_f_neg -0.000002 0.000004 0.000000 0.000000
epsilon_f_pos -0.000003 0.000005 0.000000 0.000000
epsilon_neg -0.007436 0.032882 4.119743 6.485910
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.162081 0.174804 0.498142 0.310799
Cdl_neg 0.028624 0.055402 1.504476 1.447795
Cdl_pos 0.147246 0.206234 3.390017 5.169525
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000001 0.000002 0.000000 0.000000
D 0.000000 0.000001 0.000000 0.000000
Ds_neg 0.000000 0.000000 0.000000 0.000000
Ds_pos 0.000003 0.000003 0.000000 0.000000
d2Udcp2_pos_sgn -0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000027 0.000038 0.000001 0.000001
dUdcp_neg_mag -0.000009 0.000012 0.000000 0.000000
d2Udcp2_pos_mag -0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.011643 0.009958 0.177247 0.210796
i0_pos 0.325583 0.348635 6.603891 6.955696
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000003 0.000004 0.000000 0.000000
aa_neg 0.005243 0.005588 0.002454 0.001562
aa_pos -0.022842 0.022932 0.057976 0.037920
kappa_0 0.022429 0.122702 12.002600 19.018087
sigma_neg 0.000023 0.000031 0.000000 0.000000
sigma_pos -0.000019 0.000014 0.000001 0.000001

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos 1.102545 2.052377
a_neg l_neg 1.403124 2.189474
a_neg l_sep 1.403135 2.189482
a_neg l_pos 1.406037 2.191490
a_neg Rp_neg 1.403142 2.189484
a_neg Rp_pos 1.403128 2.189479
a_neg epsilon_f_neg 1.403138 2.189483
a_neg epsilon_f_pos 1.403132 2.189481
a_neg epsilon_neg 1.756771 2.300543
a_neg epsilon_sep 1.403135 2.189482
a_neg epsilon_pos 1.408000 2.191623
a_neg Cdl_neg 1.555485 2.254218
a_neg Cdl_pos 1.417938 2.194888
a_neg cs_max_neg 1.403135 2.189482
a_neg cs_max_pos 1.403135 2.189482
a_neg c0 1.403136 2.189482
a_neg D 1.403135 2.189482
a_neg Ds_neg 1.403135 2.189482
a_neg Ds_pos 1.403133 2.189481
a_neg d2Udcp2_pos_sgn 1.403135 2.189482
a_neg d2Udcp2_neg_sgn 1.403135 2.189482
a_neg d3Udcp3_pos_sgn 1.403135 2.189482
a_neg d3Udcp3_neg_sgn 1.403135 2.189482
a_neg dUdcp_pos_mag 1.403138 2.189483
a_neg dUdcp_neg_mag 1.403141 2.189487
a_neg d2Udcp2_pos_mag 1.403135 2.189482
a_neg d2Udcp2_neg_mag 1.403135 2.189482
a_neg d3Udcp3_pos_mag 1.403135 2.189482
a_neg d3Udcp3_neg_mag 1.403135 2.189482
a_neg i0_neg 1.409090 2.183463
a_neg i0_pos 1.400752 2.189584
a_neg SOC_neg 1.403135 2.189482
a_neg SOC_pos 1.403135 2.189482
a_neg tP 1.403136 2.189482
a_neg aa_neg 1.403589 2.186195
a_neg aa_pos 1.404246 2.190019
a_neg kappa_0 1.521188 2.271887
a_neg sigma_neg 1.403147 2.189477
a_neg sigma_pos 1.403137 2.189481
a_pos l_neg 0.069812 0.769450
a_pos l_sep 0.070449 0.769853
a_pos l_pos 0.046979 0.755087
a_pos Rp_neg 0.070448 0.769854
a_pos Rp_pos 0.070439 0.769858
a_pos epsilon_f_neg 0.070448 0.769854
a_pos epsilon_f_pos 0.070445 0.769853
a_pos epsilon_neg 0.067862 0.769594
a_pos epsilon_sep 0.070448 0.769854
a_pos epsilon_pos 0.488790 1.160045
a_pos Cdl_neg 0.083838 0.757086
a_pos Cdl_pos 0.415919 0.910357
a_pos cs_max_neg 0.070448 0.769854
a_pos cs_max_pos 0.070448 0.769854
a_pos c0 0.070446 0.769853
a_pos D 0.070448 0.769853
a_pos Ds_neg 0.070448 0.769854
a_pos Ds_pos 0.070448 0.769854
a_pos d2Udcp2_pos_sgn 0.070448 0.769854
a_pos d2Udcp2_neg_sgn 0.070448 0.769854
a_pos d3Udcp3_pos_sgn 0.070448 0.769854
a_pos d3Udcp3_neg_sgn 0.070448 0.769854
a_pos dUdcp_pos_mag 0.070439 0.769855
a_pos dUdcp_neg_mag 0.070448 0.769854
a_pos d2Udcp2_pos_mag 0.070448 0.769854
a_pos d2Udcp2_neg_mag 0.070448 0.769854
a_pos d3Udcp3_pos_mag 0.070448 0.769854
a_pos d3Udcp3_neg_mag 0.070448 0.769854
a_pos i0_neg 0.065825 0.769117
a_pos i0_pos 2.686053 3.387854
a_pos SOC_neg 0.070448 0.769854
a_pos SOC_pos 0.070448 0.769854
a_pos tP 0.070450 0.769853
a_pos aa_neg 0.069598 0.769673
a_pos aa_pos -0.096433 0.677791
a_pos kappa_0 0.113251 0.716654
a_pos sigma_neg 0.070449 0.769854
a_pos sigma_pos 0.070405 0.769817
l_neg l_sep 0.000169 0.000222
l_neg l_pos 0.000162 0.000217
l_neg Rp_neg 0.000169 0.000222
l_neg Rp_pos 0.000169 0.000222
l_neg epsilon_f_neg 0.000169 0.000222
l_neg epsilon_f_pos 0.000169 0.000222
l_neg epsilon_neg -0.000177 0.000455
l_neg epsilon_sep 0.000169 0.000222
l_neg epsilon_pos 0.000027 0.000093
l_neg Cdl_neg -0.000197 0.000440
l_neg Cdl_pos -0.000014 0.000182
l_neg cs_max_neg 0.000169 0.000222
l_neg cs_max_pos 0.000169 0.000222
l_neg c0 0.000169 0.000222
l_neg D 0.000169 0.000222
l_neg Ds_neg 0.000169 0.000222
l_neg Ds_pos 0.000169 0.000222
l_neg d2Udcp2_pos_sgn 0.000169 0.000222
l_neg d2Udcp2_neg_sgn 0.000169 0.000222
l_neg d3Udcp3_pos_sgn 0.000169 0.000222
l_neg d3Udcp3_neg_sgn 0.000169 0.000222
l_neg dUdcp_pos_mag 0.000169 0.000222
l_neg dUdcp_neg_mag 0.000169 0.000222
l_neg d2Udcp2_pos_mag 0.000169 0.000222
l_neg d2Udcp2_neg_mag 0.000169 0.000222
l_neg d3Udcp3_pos_mag 0.000169 0.000222
l_neg d3Udcp3_neg_mag 0.000169 0.000222
l_neg i0_neg 0.000158 0.000222
l_neg i0_pos 0.000130 0.000202
l_neg SOC_neg 0.000169 0.000222
l_neg SOC_pos 0.000169 0.000222
l_neg tP 0.000169 0.000222
l_neg aa_neg 0.000165 0.000221
l_neg aa_pos 0.000215 0.000279
l_neg kappa_0 0.008384 0.013726
l_neg sigma_neg 0.000169 0.000222
l_neg sigma_pos 0.000169 0.000222
l_sep l_pos -0.000000 0.000000
l_sep Rp_neg -0.000000 0.000000
l_sep Rp_pos -0.000000 0.000000
l_sep epsilon_f_neg -0.000000 0.000000
l_sep epsilon_f_pos -0.000000 0.000000
l_sep epsilon_neg -0.000000 0.000000
l_sep epsilon_sep -0.000000 0.000000
l_sep epsilon_pos -0.000000 0.000000
l_sep Cdl_neg -0.000000 0.000000
l_sep Cdl_pos -0.000000 0.000000
l_sep cs_max_neg -0.000000 0.000000
l_sep cs_max_pos -0.000000 0.000000
l_sep c0 -0.000000 0.000000
l_sep D -0.000000 0.000000
l_sep Ds_neg -0.000000 0.000000
l_sep Ds_pos -0.000000 0.000000
l_sep d2Udcp2_pos_sgn -0.000000 0.000000
l_sep d2Udcp2_neg_sgn -0.000000 0.000000
l_sep d3Udcp3_pos_sgn -0.000000 0.000000
l_sep d3Udcp3_neg_sgn -0.000000 0.000000
l_sep dUdcp_pos_mag -0.000000 0.000000
l_sep dUdcp_neg_mag -0.000000 0.000000
l_sep d2Udcp2_pos_mag -0.000000 0.000000
l_sep d2Udcp2_neg_mag -0.000000 0.000000
l_sep d3Udcp3_pos_mag -0.000000 0.000000
l_sep d3Udcp3_neg_mag -0.000000 0.000000
l_sep i0_neg -0.000000 0.000000
l_sep i0_pos -0.000000 0.000000
l_sep SOC_neg -0.000000 0.000000
l_sep SOC_pos -0.000000 0.000000
l_sep tP -0.000000 0.000000
l_sep aa_neg -0.000000 0.000000
l_sep aa_pos -0.000000 0.000000
l_sep kappa_0 -0.000000 0.000000
l_sep sigma_neg -0.000000 0.000000
l_sep sigma_pos -0.000000 0.000000
l_pos Rp_neg -0.005795 0.013050
l_pos Rp_pos -0.005795 0.013050
l_pos epsilon_f_neg -0.005795 0.013050
l_pos epsilon_f_pos -0.005795 0.013050
l_pos epsilon_neg -0.005786 0.013019
l_pos epsilon_sep -0.005795 0.013050
l_pos epsilon_pos -0.002112 0.046836
l_pos Cdl_neg -0.005652 0.012804
l_pos Cdl_pos 0.006509 0.032059
l_pos cs_max_neg -0.005795 0.013050
l_pos cs_max_pos -0.005795 0.013050
l_pos c0 -0.005795 0.013050
l_pos D -0.005795 0.013050
l_pos Ds_neg -0.005795 0.013050
l_pos Ds_pos -0.005795 0.013050
l_pos d2Udcp2_pos_sgn -0.005795 0.013050
l_pos d2Udcp2_neg_sgn -0.005795 0.013050
l_pos d3Udcp3_pos_sgn -0.005795 0.013050
l_pos d3Udcp3_neg_sgn -0.005795 0.013050
l_pos dUdcp_pos_mag -0.005795 0.013050
l_pos dUdcp_neg_mag -0.005795 0.013050
l_pos d2Udcp2_pos_mag -0.005795 0.013050
l_pos d2Udcp2_neg_mag -0.005795 0.013050
l_pos d3Udcp3_pos_mag -0.005795 0.013050
l_pos d3Udcp3_neg_mag -0.005795 0.013050
l_pos i0_neg -0.005596 0.012973
l_pos i0_pos -0.098970 0.114287
l_pos SOC_neg -0.005795 0.013050
l_pos SOC_pos -0.005795 0.013050
l_pos tP -0.005795 0.013050
l_pos aa_neg -0.005737 0.013047
l_pos aa_pos 0.000365 0.008186
l_pos kappa_0 0.006841 0.007479
l_pos sigma_neg -0.005795 0.013050
l_pos sigma_pos -0.005793 0.013048
Rp_neg Rp_pos -0.000010 0.000015
Rp_neg epsilon_f_neg -0.000010 0.000015
Rp_neg epsilon_f_pos -0.000010 0.000015
Rp_neg epsilon_neg -0.000007 0.000009
Rp_neg epsilon_sep -0.000010 0.000015
Rp_neg epsilon_pos -0.000010 0.000015
Rp_neg Cdl_neg -0.000002 0.000008
Rp_neg Cdl_pos -0.000010 0.000015
Rp_neg cs_max_neg -0.000010 0.000015
Rp_neg cs_max_pos -0.000010 0.000015
