Parameter S1 S1_conf ST ST_conf
a_neg 0.126961 0.959206 36.035888 270.719134
a_pos 0.029935 0.242107 6.373672 51.786275
l_neg -0.000022 0.000140 0.668007 0.345102
l_sep -0.000007 0.000060 0.949343 0.490562
l_pos -0.003838 0.032105 0.114637 0.927242
Rp_neg 0.000000 0.000000 0.000000 0.000000
Rp_pos 0.000000 0.000000 0.000000 0.000000
epsilon_f_neg -0.000000 0.000001 0.000000 0.000000
epsilon_f_pos -0.000001 0.000004 0.000000 0.000000
epsilon_neg 0.002202 0.014071 5.278169 29.676134
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.010707 0.058179 1.348831 8.902650
Cdl_neg 0.004424 0.048076 2.036302 3.190707
Cdl_pos 0.007949 0.094995 0.141367 0.412081
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000011 0.000070 1.073496 0.554711
D -0.000003 0.000041 3.945075 2.038758
Ds_neg 0.000000 0.000000 0.000000 0.000000
Ds_pos 0.000000 0.000000 0.000000 0.000000
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn -0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000000 0.000002 0.000000 0.000000
dUdcp_neg_mag -0.000000 0.000000 0.000000 0.000000
d2Udcp2_pos_mag -0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.000445 0.002545 0.010448 0.036967
i0_pos 0.000023 0.005675 0.036226 0.131258
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000011 0.000077 0.814174 0.420688
aa_neg 0.000152 0.001235 0.000175 0.000801
aa_pos 0.000260 0.001432 0.049532 0.141817
kappa_0 0.001959 0.014256 4.852051 2.558240
sigma_neg 0.000001 0.000010 0.000001 0.000000
sigma_pos -0.000002 0.000010 0.000000 0.000001

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.149016 1.062674
a_neg l_neg -0.124425 0.957532
a_neg l_sep -0.124433 0.957544
a_neg l_pos -0.121259 0.946196
a_neg Rp_neg -0.124434 0.957544
a_neg Rp_pos -0.124434 0.957545
a_neg epsilon_f_neg -0.124433 0.957544
a_neg epsilon_f_pos -0.124435 0.957547
a_neg epsilon_neg -0.098387 0.902094
a_neg epsilon_sep -0.124434 0.957544
a_neg epsilon_pos -0.124865 0.957834
a_neg Cdl_neg -0.085047 0.891005
a_neg Cdl_pos -0.121123 0.951352
a_neg cs_max_neg -0.124434 0.957544
a_neg cs_max_pos -0.124434 0.957544
a_neg c0 -0.124432 0.957541
a_neg D -0.124435 0.957546
a_neg Ds_neg -0.124434 0.957544
a_neg Ds_pos -0.124434 0.957544
a_neg d2Udcp2_pos_sgn -0.124434 0.957544
a_neg d2Udcp2_neg_sgn -0.124434 0.957544
a_neg d3Udcp3_pos_sgn -0.124434 0.957544
a_neg d3Udcp3_neg_sgn -0.124434 0.957544
a_neg dUdcp_pos_mag -0.124434 0.957544
a_neg dUdcp_neg_mag -0.124434 0.957544
a_neg d2Udcp2_pos_mag -0.124434 0.957544
a_neg d2Udcp2_neg_mag -0.124434 0.957544
a_neg d3Udcp3_pos_mag -0.124434 0.957544
a_neg d3Udcp3_neg_mag -0.124434 0.957544
a_neg i0_neg -0.123512 0.955498
a_neg i0_pos -0.125091 0.958777
a_neg SOC_neg -0.124434 0.957544
a_neg SOC_pos -0.124434 0.957544
a_neg tP -0.124432 0.957540
a_neg aa_neg -0.124217 0.956677
a_neg aa_pos -0.124479 0.957527
a_neg kappa_0 -0.120148 0.942304
a_neg sigma_neg -0.124433 0.957542
a_neg sigma_pos -0.124429 0.957531
a_pos l_neg -0.033944 0.253907
a_pos l_sep -0.033757 0.253461
a_pos l_pos -0.022896 0.224246
a_pos Rp_neg -0.034050 0.253235
a_pos Rp_pos -0.034050 0.253235
a_pos epsilon_f_neg -0.034050 0.253235
a_pos epsilon_f_pos -0.034050 0.253235
a_pos epsilon_neg -0.033943 0.253975
a_pos epsilon_sep -0.034050 0.253235
a_pos epsilon_pos -0.412816 2.771140
a_pos Cdl_neg -0.032239 0.242686
a_pos Cdl_pos -0.011718 0.219730
a_pos cs_max_neg -0.034050 0.253235
a_pos cs_max_pos -0.034050 0.253235
a_pos c0 -0.034469 0.253296
a_pos D -0.033388 0.253512
a_pos Ds_neg -0.034050 0.253235
a_pos Ds_pos -0.034050 0.253235
a_pos d2Udcp2_pos_sgn -0.034050 0.253235
a_pos d2Udcp2_neg_sgn -0.034050 0.253235
a_pos d3Udcp3_pos_sgn -0.034050 0.253235
a_pos d3Udcp3_neg_sgn -0.034050 0.253235
a_pos dUdcp_pos_mag -0.034050 0.253235
a_pos dUdcp_neg_mag -0.034050 0.253235
a_pos d2Udcp2_pos_mag -0.034050 0.253235
a_pos d2Udcp2_neg_mag -0.034050 0.253235
a_pos d3Udcp3_pos_mag -0.034050 0.253235
a_pos d3Udcp3_neg_mag -0.034050 0.253235
a_pos i0_neg -0.034136 0.253609
a_pos i0_pos -0.071534 0.446325
a_pos SOC_neg -0.034050 0.253235
a_pos SOC_pos -0.034050 0.253235
a_pos tP -0.033791 0.253479
a_pos aa_neg -0.034052 0.253255
a_pos aa_pos -0.032226 0.247173
a_pos kappa_0 -0.014252 0.204823
a_pos sigma_neg -0.034050 0.253235
a_pos sigma_pos -0.034050 0.253234
l_neg l_sep -0.000106 0.000596
l_neg l_pos -0.000168 0.001004
l_neg Rp_neg -0.000106 0.000599
l_neg Rp_pos -0.000106 0.000599
l_neg epsilon_f_neg -0.000106 0.000599
l_neg epsilon_f_pos -0.000106 0.000599
l_neg epsilon_neg 0.000008 0.000864
l_neg epsilon_sep -0.000106 0.000599
l_neg epsilon_pos 0.000008 0.000111
l_neg Cdl_neg -0.000105 0.001285
l_neg Cdl_pos -0.000291 0.001638
l_neg cs_max_neg -0.000106 0.000599
l_neg cs_max_pos -0.000106 0.000599
l_neg c0 -0.000104 0.000596
l_neg D -0.000107 0.000596
l_neg Ds_neg -0.000106 0.000599
l_neg Ds_pos -0.000106 0.000599
l_neg d2Udcp2_pos_sgn -0.000106 0.000599
l_neg d2Udcp2_neg_sgn -0.000106 0.000599
l_neg d3Udcp3_pos_sgn -0.000106 0.000599
l_neg d3Udcp3_neg_sgn -0.000106 0.000599
l_neg dUdcp_pos_mag -0.000106 0.000599
l_neg dUdcp_neg_mag -0.000106 0.000599
l_neg d2Udcp2_pos_mag -0.000106 0.000599
l_neg d2Udcp2_neg_mag -0.000106 0.000599
l_neg d3Udcp3_pos_mag -0.000106 0.000599
l_neg d3Udcp3_neg_mag -0.000106 0.000599
l_neg i0_neg -0.000109 0.000609
l_neg i0_pos -0.000065 0.000438
l_neg SOC_neg -0.000106 0.000599
l_neg SOC_pos -0.000106 0.000599
l_neg tP -0.000106 0.000595
l_neg aa_neg -0.000105 0.000595
l_neg aa_pos -0.000118 0.000683
l_neg kappa_0 -0.001750 0.016592
l_neg sigma_neg -0.000106 0.000599
l_neg sigma_pos -0.000106 0.000599
l_sep l_pos 0.000007 0.000060
l_sep Rp_neg 0.000007 0.000060
l_sep Rp_pos 0.000007 0.000060
l_sep epsilon_f_neg 0.000007 0.000060
l_sep epsilon_f_pos 0.000007 0.000060
l_sep epsilon_neg 0.000007 0.000060
l_sep epsilon_sep 0.000007 0.000060
l_sep epsilon_pos 0.000007 0.000060
l_sep Cdl_neg 0.000007 0.000060
l_sep Cdl_pos 0.000007 0.000060
l_sep cs_max_neg 0.000007 0.000060
l_sep cs_max_pos 0.000007 0.000060
l_sep c0 0.000007 0.000060
l_sep D 0.000007 0.000060
l_sep Ds_neg 0.000007 0.000060
l_sep Ds_pos 0.000007 0.000060
l_sep d2Udcp2_pos_sgn 0.000007 0.000060
l_sep d2Udcp2_neg_sgn 0.000007 0.000060
l_sep d3Udcp3_pos_sgn 0.000007 0.000060
l_sep d3Udcp3_neg_sgn 0.000007 0.000060
l_sep dUdcp_pos_mag 0.000007 0.000060
l_sep dUdcp_neg_mag 0.000007 0.000060
l_sep d2Udcp2_pos_mag 0.000007 0.000060
l_sep d2Udcp2_neg_mag 0.000007 0.000060
l_sep d3Udcp3_pos_mag 0.000007 0.000060
l_sep d3Udcp3_neg_mag 0.000007 0.000060
l_sep i0_neg 0.000007 0.000060
l_sep i0_pos 0.000007 0.000060
l_sep SOC_neg 0.000007 0.000060
l_sep SOC_pos 0.000007 0.000060
l_sep tP 0.000007 0.000060
l_sep aa_neg 0.000007 0.000060
l_sep aa_pos 0.000007 0.000060
l_sep kappa_0 0.000007 0.000060
l_sep sigma_neg 0.000007 0.000060
l_sep sigma_pos 0.000007 0.000060
l_pos Rp_neg 0.003837 0.032216
l_pos Rp_pos 0.003837 0.032216
l_pos epsilon_f_neg 0.003837 0.032216
l_pos epsilon_f_pos 0.003838 0.032217
l_pos epsilon_neg 0.003829 0.032174
l_pos epsilon_sep 0.003837 0.032216
l_pos epsilon_pos 0.032814 0.214753
l_pos Cdl_neg 0.003759 0.032036
l_pos Cdl_pos 0.008731 0.067737
l_pos cs_max_neg 0.003837 0.032216
l_pos cs_max_pos 0.003837 0.032216
l_pos c0 0.003838 0.032217
l_pos D 0.003837 0.032216
l_pos Ds_neg 0.003837 0.032216
l_pos Ds_pos 0.003837 0.032216
l_pos d2Udcp2_pos_sgn 0.003837 0.032216
l_pos d2Udcp2_neg_sgn 0.003837 0.032216
l_pos d3Udcp3_pos_sgn 0.003837 0.032216
l_pos d3Udcp3_neg_sgn 0.003837 0.032216
l_pos dUdcp_pos_mag 0.003837 0.032216
l_pos dUdcp_neg_mag 0.003837 0.032216
l_pos d2Udcp2_pos_mag 0.003837 0.032216
l_pos d2Udcp2_neg_mag 0.003837 0.032216
l_pos d3Udcp3_pos_mag 0.003837 0.032216
l_pos d3Udcp3_neg_mag 0.003837 0.032216
l_pos i0_neg 0.003851 0.032317
l_pos i0_pos 0.006710 0.045106
l_pos SOC_neg 0.003837 0.032216
l_pos SOC_pos 0.003837 0.032216
l_pos tP 0.003837 0.032217
l_pos aa_neg 0.003837 0.032220
l_pos aa_pos 0.003655 0.031654
l_pos kappa_0 0.003233 0.030164
l_pos sigma_neg 0.003837 0.032216
l_pos sigma_pos 0.003839 0.032219
Rp_neg Rp_pos -0.000000 0.000000
Rp_neg epsilon_f_neg -0.000000 0.000000
Rp_neg epsilon_f_pos -0.000000 0.000000
Rp_neg epsilon_neg -0.000000 0.000000
Rp_neg epsilon_sep -0.000000 0.000000
Rp_neg epsilon_pos -0.000000 0.000000
Rp_neg Cdl_neg -0.000000 0.000000
Rp_neg Cdl_pos -0.000000 0.000000
Rp_neg cs_max_neg -0.000000 0.000000
Rp_neg cs_max_pos -0.000000 0.000000
Rp_neg c0 -0.000000 0.000000
Rp_neg D -0.000000 0.000000
Rp_neg Ds_neg -0.000000 0.000000
Rp_neg Ds_pos -0.000000 0.000000
Rp_neg d2Udcp2_pos_sgn -0.000000 0.000000
Rp_neg d2Udcp2_neg_sgn -0.000000 0.000000
Rp_neg d3Udcp3_pos_sgn -0.000000 0.000000
Rp_neg d3Udcp3_neg_sgn -0.000000 0.000000
Rp_neg dUdcp_pos_mag -0.000000 0.000000
Rp_neg dUdcp_neg_mag -0.000000 0.000000
Rp_neg d2Udcp2_pos_mag -0.000000 0.000000
Rp_neg d2Udcp2_neg_mag -0.000000 0.000000
Rp_neg d3Udcp3_pos_mag -0.000000 0.000000
Rp_neg d3Udcp3_neg_mag -0.000000 0.000000
Rp_neg i0_neg -0.000000 0.000001
Rp_neg i0_pos -0.000000 0.000000
Rp_neg SOC_neg -0.000000 0.000000
Rp_neg SOC_pos -0.000000 0.000000
Rp_neg tP -0.000000 0.000000
Rp_neg aa_neg -0.000000 0.000001
Rp_neg aa_pos -0.000000 0.000000
Rp_neg kappa_0 -0.000000 0.000000
Rp_neg sigma_neg -0.000000 0.000000
Rp_neg sigma_pos -0.000000 0.000000
Rp_pos epsilon_f_neg -0.000000 0.000000
Rp_pos epsilon_f_pos -0.000000 0.000000
Rp_pos epsilon_neg -0.000000 0.000001
Rp_pos epsilon_sep -0.000000 0.000000
Rp_pos epsilon_pos -0.000000 0.000000
Rp_pos Cdl_neg -0.000000 0.000000
Rp_pos Cdl_pos 0.000000 0.000004
Rp_pos cs_max_neg -0.000000 0.000000
Rp_pos cs_max_pos -0.000000 0.000000
Rp_pos c0 -0.000000 0.000000
Rp_pos D -0.000000 0.000000
Rp_pos Ds_neg -0.000000 0.000000
Rp_pos Ds_pos -0.000000 0.000000
Rp_pos d2Udcp2_pos_sgn -0.000000 0.000000
Rp_pos d2Udcp2_neg_sgn -0.000000 0.000000
Rp_pos d3Udcp3_pos_sgn -0.000000 0.000000
Rp_pos d3Udcp3_neg_sgn -0.000000 0.000000
Rp_pos dUdcp_pos_mag -0.000000 0.000000
Rp_pos dUdcp_neg_mag -0.000000 0.000000
Rp_pos d2Udcp2_pos_mag -0.000000 0.000000
Rp_pos d2Udcp2_neg_mag -0.000000 0.000000
Rp_pos d3Udcp3_pos_mag -0.000000 0.000000
Rp_pos d3Udcp3_neg_mag -0.000000 0.000000
Rp_pos i0_neg -0.000000 0.000000
Rp_pos i0_pos -0.000000 0.000001
Rp_pos SOC_neg -0.000000 0.000000
Rp_pos SOC_pos -0.000000 0.000000
Rp_pos tP -0.000000 0.000000
Rp_pos aa_neg -0.000000 0.000000
Rp_pos aa_pos -0.000000 0.000000
Rp_pos kappa_0 -0.000000 0.000000
Rp_pos sigma_neg -0.000000 0.000000
Rp_pos sigma_pos -0.000000 0.000000
epsilon_f_neg epsilon_f_pos 0.000000 0.000002
epsilon_f_neg epsilon_neg 0.000000 0.000001
epsilon_f_neg epsilon_sep 0.000000 0.000002
epsilon_f_neg epsilon_pos 0.000000 0.000002
epsilon_f_neg Cdl_neg -0.000001 0.000007
epsilon_f_neg Cdl_pos 0.000000 0.000002
epsilon_f_neg cs_max_neg 0.000000 0.000002
epsilon_f_neg cs_max_pos 0.000000 0.000002
epsilon_f_neg c0 0.000000 0.000002
epsilon_f_neg D 0.000000 0.000002
epsilon_f_neg Ds_neg 0.000000 0.000002
epsilon_f_neg Ds_pos 0.000000 0.000002
epsilon_f_neg d2Udcp2_pos_sgn 0.000000 0.000002
epsilon_f_neg d2Udcp2_neg_sgn 0.000000 0.000002
epsilon_f_neg d3Udcp3_pos_sgn 0.000000 0.000002
epsilon_f_neg d3Udcp3_neg_sgn 0.000000 0.000002
epsilon_f_neg dUdcp_pos_mag 0.000000 0.000002
epsilon_f_neg dUdcp_neg_mag 0.000000 0.000002
epsilon_f_neg d2Udcp2_pos_mag 0.000000 0.000002
epsilon_f_neg d2Udcp2_neg_mag 0.000000 0.000002
epsilon_f_neg d3Udcp3_pos_mag 0.000000 0.000002
epsilon_f_neg d3Udcp3_neg_mag 0.000000 0.000002
epsilon_f_neg i0_neg 0.000000 0.000002
epsilon_f_neg i0_pos 0.000000 0.000002
epsilon_f_neg SOC_neg 0.000000 0.000002
epsilon_f_neg SOC_pos 0.000000 0.000002
epsilon_f_neg tP 0.000000 0.000002
epsilon_f_neg aa_neg 0.000000 0.000002
epsilon_f_neg aa_pos 0.000000 0.000002
epsilon_f_neg kappa_0 0.000000 0.000001
epsilon_f_neg sigma_neg 0.000000 0.000002
epsilon_f_neg sigma_pos 0.000000 0.000002
epsilon_f_pos epsilon_neg 0.000003 0.000019
epsilon_f_pos epsilon_sep 0.000002 0.000008
epsilon_f_pos epsilon_pos 0.000001 0.000006
epsilon_f_pos Cdl_neg 0.000002 0.000009
epsilon_f_pos Cdl_pos 0.000002 0.000023
epsilon_f_pos cs_max_neg 0.000002 0.000008
epsilon_f_pos cs_max_pos 0.000002 0.000008
epsilon_f_pos c0 0.000002 0.000008
epsilon_f_pos D 0.000002 0.000008
epsilon_f_pos Ds_neg 0.000002 0.000008
epsilon_f_pos Ds_pos 0.000002 0.000008
epsilon_f_pos d2Udcp2_pos_sgn 0.000002 0.000008
epsilon_f_pos d2Udcp2_neg_sgn 0.000002 0.000008
epsilon_f_pos d3Udcp3_pos_sgn 0.000002 0.000008
epsilon_f_pos d3Udcp3_neg_sgn 0.000002 0.000008
epsilon_f_pos dUdcp_pos_mag 0.000002 0.000008
epsilon_f_pos dUdcp_neg_mag 0.000002 0.000008
epsilon_f_pos d2Udcp2_pos_mag 0.000002 0.000008
epsilon_f_pos d2Udcp2_neg_mag 0.000002 0.000008
epsilon_f_pos d3Udcp3_pos_mag 0.000002 0.000008
epsilon_f_pos d3Udcp3_neg_mag 0.000002 0.000008
epsilon_f_pos i0_neg 0.000002 0.000009
epsilon_f_pos i0_pos 0.000002 0.000009
epsilon_f_pos SOC_neg 0.000002 0.000008
epsilon_f_pos SOC_pos 0.000002 0.000008
epsilon_f_pos tP 0.000002 0.000008
epsilon_f_pos aa_neg 0.000002 0.000008
epsilon_f_pos aa_pos 0.000002 0.000009
epsilon_f_pos kappa_0 0.000001 0.000007
epsilon_f_pos sigma_neg 0.000002 0.000008
epsilon_f_pos sigma_pos 0.000002 0.000008
epsilon_neg epsilon_sep -0.002600 0.019911
epsilon_neg epsilon_pos -0.003195 0.020749
epsilon_neg Cdl_neg 0.048909 0.428128
epsilon_neg Cdl_pos 0.000600 0.024813
epsilon_neg cs_max_neg -0.002600 0.019911
epsilon_neg cs_max_pos -0.002600 0.019911
epsilon_neg c0 -0.002537 0.019903
epsilon_neg D -0.002700 0.019873
epsilon_neg Ds_neg -0.002600 0.019911
epsilon_neg Ds_pos -0.002600 0.019911
epsilon_neg d2Udcp2_pos_sgn -0.002600 0.019911
epsilon_neg d2Udcp2_neg_sgn -0.002600 0.019911
epsilon_neg d3Udcp3_pos_sgn -0.002600 0.019911
epsilon_neg d3Udcp3_neg_sgn -0.002600 0.019911
epsilon_neg dUdcp_pos_mag -0.002600 0.019911
epsilon_neg dUdcp_neg_mag -0.002600 0.019911
epsilon_neg d2Udcp2_pos_mag -0.002600 0.019911
epsilon_neg d2Udcp2_neg_mag -0.002600 0.019911
epsilon_neg d3Udcp3_pos_mag -0.002600 0.019911
epsilon_neg d3Udcp3_neg_mag -0.002600 0.019911
epsilon_neg i0_neg -0.002119 0.019218
epsilon_neg i0_pos -0.003168 0.020691
epsilon_neg SOC_neg -0.002600 0.019911
epsilon_neg SOC_pos -0.002600 0.019911
epsilon_neg tP -0.002638 0.019876
epsilon_neg aa_neg -0.002770 0.020762
epsilon_neg aa_pos -0.002606 0.019843
epsilon_neg kappa_0 -0.004868 0.027518
epsilon_neg sigma_neg -0.002599 0.019911
epsilon_neg sigma_pos -0.002600 0.019913
epsilon_sep epsilon_pos 0.000000 0.000000
epsilon_sep Cdl_neg 0.000000 0.000000
epsilon_sep Cdl_pos 0.000000 0.000000
epsilon_sep cs_max_neg 0.000000 0.000000
epsilon_sep cs_max_pos 0.000000 0.000000
epsilon_sep c0 0.000000 0.000000
epsilon_sep D -0.000000 0.000000
epsilon_sep Ds_neg 0.000000 0.000000
epsilon_sep Ds_pos -0.000000 0.000000
epsilon_sep d2Udcp2_pos_sgn -0.000000 0.000000
epsilon_sep d2Udcp2_neg_sgn -0.000000 0.000000
epsilon_sep d3Udcp3_pos_sgn 0.000000 0.000000
epsilon_sep d3Udcp3_neg_sgn 0.000000 0.000000
epsilon_sep dUdcp_pos_mag -0.000000 0.000000
epsilon_sep dUdcp_neg_mag 0.000000 0.000000
epsilon_sep d2Udcp2_pos_mag 0.000000 0.000000
epsilon_sep d2Udcp2_neg_mag 0.000000 0.000000
epsilon_sep d3Udcp3_pos_mag 0.000000 0.000000
epsilon_sep d3Udcp3_neg_mag 0.000000 0.000000
epsilon_sep i0_neg 0.000000 0.000000
epsilon_sep i0_pos -0.000000 0.000000
epsilon_sep SOC_neg 0.000000 0.000000
epsilon_sep SOC_pos 0.000000 0.000000
epsilon_sep tP -0.000000 0.000000
epsilon_sep aa_neg -0.000000 0.000000
epsilon_sep aa_pos 0.000000 0.000000
epsilon_sep kappa_0 0.000000 0.000000
epsilon_sep sigma_neg -0.000000 0.000000
epsilon_sep sigma_pos 0.000000 0.000000
epsilon_pos Cdl_neg -0.007540 0.060759
epsilon_pos Cdl_pos 0.015532 0.156423
epsilon_pos cs_max_neg -0.007475 0.060880
epsilon_pos cs_max_pos -0.007475 0.060880
epsilon_pos c0 -0.007490 0.060939
