Parameter S1 S1_conf ST ST_conf
a_neg 0.004660 0.005759 0.006873 0.226006
a_pos -0.561962 0.325442 0.094674 0.184611
l_neg -0.000000 0.000002 0.000000 0.000003
l_sep 0.000001 0.000033 0.000000 0.000000
l_pos 0.000298 0.000257 0.000000 0.000002
Rp_neg 0.000027 0.000386 0.000787 0.020353
Rp_pos 0.000233 0.005581 0.000050 0.001876
epsilon_f_neg 0.000000 0.000000 0.000000 0.000000
epsilon_f_pos 0.000000 0.000011 0.000000 0.000000
epsilon_neg -0.000082 0.009627 0.016670 0.137768
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.004485 0.087066 0.274843 5.799602
Cdl_neg -0.000096 0.003855 0.002801 0.097861
Cdl_pos 0.003669 0.095631 0.002134 0.045116
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000031 0.001090 0.000006 0.000199
D 0.000008 0.000886 0.000001 0.000048
Ds_neg -0.000815 0.013546 0.075406 1.317852
Ds_pos 0.001517 0.020876 0.002042 0.089028
d2Udcp2_pos_sgn 0.002606 0.001260 0.000003 0.000045
d2Udcp2_neg_sgn -0.000055 0.000467 0.001438 0.012265
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000002 0.000000 0.000001
dUdcp_pos_mag -0.000325 0.015693 0.000868 0.034243
dUdcp_neg_mag 0.000128 0.001410 0.000439 0.012870
d2Udcp2_pos_mag -0.001518 0.015916 0.000506 0.017945
d2Udcp2_neg_mag -0.000274 0.002347 0.036348 0.309802
d3Udcp3_pos_mag -0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag -0.000000 0.000006 0.000000 0.000003
i0_neg -0.000907 0.020828 2.977909 106.135932
i0_pos -0.070630 0.125384 0.068390 2.968551
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000038 0.001321 0.000009 0.000284
aa_neg -0.000063 0.002690 0.047854 1.672875
aa_pos -0.000701 0.052673 0.038981 0.813034
kappa_0 -0.001870 0.238778 2.021398 92.491790
sigma_neg -0.000001 0.000008 0.000000 0.000004
sigma_pos -0.000002 0.000049 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.004240 0.058877
a_neg l_neg -0.001418 0.104211
a_neg l_sep -0.001419 0.104212
a_neg l_pos -0.001415 0.104226
a_neg Rp_neg -0.001497 0.103734
a_neg Rp_pos -0.001266 0.104497
a_neg epsilon_f_neg -0.001418 0.104212
a_neg epsilon_f_pos -0.001419 0.104203
a_neg epsilon_neg -0.001054 0.112112
a_neg epsilon_sep -0.001418 0.104212
a_neg epsilon_pos -0.003698 0.024466
a_neg Cdl_neg -0.001400 0.104674
a_neg Cdl_pos -0.004832 0.030388
a_neg cs_max_neg -0.001418 0.104212
a_neg cs_max_pos -0.001418 0.104212
a_neg c0 -0.001397 0.104176
a_neg D -0.001435 0.104136
a_neg Ds_neg -0.001647 0.102276
a_neg Ds_pos -0.001304 0.105385
a_neg d2Udcp2_pos_sgn -0.001419 0.104212
a_neg d2Udcp2_neg_sgn -0.001421 0.104211
a_neg d3Udcp3_pos_sgn -0.001418 0.104212
a_neg d3Udcp3_neg_sgn -0.001419 0.104207
a_neg dUdcp_pos_mag -0.000865 0.106756
a_neg dUdcp_neg_mag -0.001485 0.103007
a_neg d2Udcp2_pos_mag -0.001037 0.105736
a_neg d2Udcp2_neg_mag -0.001449 0.104041
a_neg d3Udcp3_pos_mag -0.001418 0.104212
a_neg d3Udcp3_neg_mag -0.001420 0.104207
a_neg i0_neg 0.003605 0.233936
a_neg i0_pos -0.004834 0.015568
a_neg SOC_neg -0.001418 0.104212
a_neg SOC_pos -0.001418 0.104212
a_neg tP -0.001389 0.104185
a_neg aa_neg -0.000777 0.112699
a_neg aa_pos -0.000282 0.107557
a_neg kappa_0 -0.012405 0.418370
a_neg sigma_neg -0.001418 0.104213
a_neg sigma_pos -0.001416 0.104245
a_pos l_neg 0.566375 0.304575
a_pos l_sep 0.566375 0.304578
a_pos l_pos 0.566073 0.304452
a_pos Rp_neg 0.566314 0.305279
a_pos Rp_pos 0.565637 0.304579
a_pos epsilon_f_neg 0.566374 0.304582
a_pos epsilon_f_pos 0.566373 0.304581
a_pos epsilon_neg 0.566868 0.297686
a_pos epsilon_sep 0.566375 0.304582
a_pos epsilon_pos 0.561197 0.342344
a_pos Cdl_neg 0.566784 0.302466
a_pos Cdl_pos 0.566342 0.304592
a_pos cs_max_neg 0.566375 0.304582
a_pos cs_max_pos 0.566375 0.304582
