Parameter S1 S1_conf ST ST_conf
a_neg 0.076070 0.106928 0.563605 1.945587
a_pos 0.002659 0.017021 0.256066 0.217222
l_neg -0.000001 0.000035 0.000001 0.000004
l_sep 0.000000 0.000000 0.000000 0.000000
l_pos 0.000061 0.000335 0.000001 0.000001
Rp_neg 0.000012 0.000075 0.000035 0.000180
Rp_pos 0.000029 0.000850 0.000014 0.000073
epsilon_f_neg -0.000003 0.000006 0.000000 0.000000
epsilon_f_pos -0.000000 0.000002 0.000000 0.000000
epsilon_neg 0.102143 0.217942 0.399505 0.229524
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.015845 0.018230 11.369334 9.932323
Cdl_neg -0.000038 0.001009 0.002781 0.009943
Cdl_pos 0.023259 0.107948 0.026239 0.075622
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000014 0.000045 0.000000 0.000001
D -0.000013 0.000028 0.000000 0.000000
Ds_neg -0.000721 0.000580 0.000944 0.000657
Ds_pos 0.000061 0.000476 0.000003 0.000017
d2Udcp2_pos_sgn 0.000000 0.000004 0.000000 0.000000
d2Udcp2_neg_sgn -0.000003 0.000009 0.000000 0.000001
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000479 0.004222 0.000447 0.002304
dUdcp_neg_mag 0.000087 0.000166 0.000042 0.000118
d2Udcp2_pos_mag 0.000187 0.000261 0.000000 0.000000
d2Udcp2_neg_mag 0.000008 0.000030 0.000001 0.000004
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag -0.000000 0.000000 0.000000 0.000000
i0_neg -0.006655 0.013348 0.256780 0.148525
i0_pos 0.014762 0.018264 0.406061 0.225335
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.000023 0.000041 0.000000 0.000000
aa_neg 0.003857 0.004530 0.040064 0.027831
aa_pos 0.002677 0.027663 2.381029 2.047279
kappa_0 0.098144 0.575157 9.028037 42.851140
sigma_neg 0.000018 0.000018 0.000000 0.000000
sigma_pos 0.000002 0.000011 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.077755 0.112925
a_neg l_neg -0.070742 0.105740
a_neg l_sep -0.070744 0.105742
a_neg l_pos -0.070801 0.105800
a_neg Rp_neg -0.070686 0.105716
a_neg Rp_pos -0.071225 0.106210
a_neg epsilon_f_neg -0.070746 0.105741
a_neg epsilon_f_pos -0.070745 0.105742
a_neg epsilon_neg 0.015231 0.224336
a_neg epsilon_sep -0.070744 0.105741
a_neg epsilon_pos -0.061666 0.111250
a_neg Cdl_neg -0.070472 0.105434
a_neg Cdl_pos -0.085732 0.152609
a_neg cs_max_neg -0.070744 0.105741
a_neg cs_max_pos -0.070744 0.105741
a_neg c0 -0.070775 0.105777
a_neg D -0.070723 0.105716
a_neg Ds_neg -0.070758 0.105750
a_neg Ds_pos -0.071139 0.106103
a_neg d2Udcp2_pos_sgn -0.070744 0.105742
a_neg d2Udcp2_neg_sgn -0.070744 0.105742
a_neg d3Udcp3_pos_sgn -0.070744 0.105741
a_neg d3Udcp3_neg_sgn -0.070744 0.105741
a_neg dUdcp_pos_mag -0.068732 0.104413
a_neg dUdcp_neg_mag -0.070657 0.105700
a_neg d2Udcp2_pos_mag -0.070930 0.105985
a_neg d2Udcp2_neg_mag -0.070747 0.105744
a_neg d3Udcp3_pos_mag -0.070744 0.105741
a_neg d3Udcp3_neg_mag -0.070744 0.105741
a_neg i0_neg -0.070058 0.107437
a_neg i0_pos -0.067947 0.105298
a_neg SOC_neg -0.070744 0.105741
a_neg SOC_pos -0.070744 0.105741
a_neg tP -0.070775 0.105778
a_neg aa_neg -0.071011 0.105941
a_neg aa_pos -0.088458 0.130957
a_neg kappa_0 0.165677 1.169805
a_neg sigma_neg -0.070734 0.105741
a_neg sigma_pos -0.070744 0.105742
a_pos l_neg -0.008767 0.079974
a_pos l_sep -0.008759 0.079970
a_pos l_pos -0.008759 0.079966
a_pos Rp_neg -0.009875 0.080382
a_pos Rp_pos -0.009969 0.074480
a_pos epsilon_f_neg -0.008759 0.079976
a_pos epsilon_f_pos -0.008763 0.079954
a_pos epsilon_neg 0.009281 0.082534
a_pos epsilon_sep -0.008759 0.079970
a_pos epsilon_pos -0.025171 0.032451
a_pos Cdl_neg -0.003492 0.082664
a_pos Cdl_pos 0.011202 0.178909
a_pos cs_max_neg -0.008759 0.079970
a_pos cs_max_pos -0.008759 0.079970
