Parameter S1 S1_conf ST ST_conf
a_neg -0.021324 0.071353 0.305710 0.295671
a_pos -0.070386 0.209799 0.827442 1.025999
l_neg -0.000245 0.000747 0.000005 0.000016
l_sep 0.000000 0.000000 0.000000 0.000000
l_pos 0.000185 0.000220 0.000044 0.000023
Rp_neg -0.000138 0.000354 0.000003 0.000011
Rp_pos 0.000417 0.001274 0.000120 0.000365
epsilon_f_neg -0.000001 0.000002 0.000000 0.000000
epsilon_f_pos -0.000004 0.000008 0.000000 0.000000
epsilon_neg 0.043509 0.095774 0.520311 0.874589
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.153589 0.180875 19.113034 11.726888
Cdl_neg -0.039971 0.048961 0.236611 0.201363
Cdl_pos 0.008679 0.023568 0.631238 0.348484
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000001 0.000004 0.000000 0.000000
D -0.000001 0.000002 0.000000 0.000000
Ds_neg -0.000134 0.000370 0.000060 0.000220
Ds_pos 0.000003 0.000017 0.000000 0.000000
d2Udcp2_pos_sgn -0.000000 0.000002 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.000272 0.000850 0.000053 0.000163
dUdcp_neg_mag -0.000390 0.000722 0.000011 0.000023
d2Udcp2_pos_mag 0.000000 0.000001 0.000000 0.000000
d2Udcp2_neg_mag 0.000006 0.000017 0.000000 0.000000
d3Udcp3_pos_mag -0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.002107 0.051581 0.288921 0.715560
i0_pos -0.021544 0.013435 1.004065 0.594439
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000000 0.000005 0.000000 0.000000
aa_neg 0.002709 0.016629 0.010883 0.021834
aa_pos -0.009856 0.015250 0.445193 0.264243
kappa_0 0.252802 0.889709 58.551106 176.346555
sigma_neg 0.000009 0.000019 0.000000 0.000000
sigma_pos 0.000000 0.000021 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos 0.185469 0.231405
a_neg l_neg 0.140929 0.155112
a_neg l_sep 0.140972 0.155125
a_neg l_pos 0.140910 0.155171
a_neg Rp_neg 0.140964 0.155130
a_neg Rp_pos 0.141875 0.155209
a_neg epsilon_f_neg 0.140973 0.155123
a_neg epsilon_f_pos 0.140970 0.155125
a_neg epsilon_neg 0.997770 2.515067
a_neg epsilon_sep 0.140972 0.155125
a_neg epsilon_pos 0.130241 0.159090
a_neg Cdl_neg 0.061169 0.102942
a_neg Cdl_pos 0.130897 0.157604
a_neg cs_max_neg 0.140972 0.155125
a_neg cs_max_pos 0.140972 0.155125
a_neg c0 0.140970 0.155126
a_neg D 0.140973 0.155125
a_neg Ds_neg 0.140991 0.155121
a_neg Ds_pos 0.140983 0.155126
a_neg d2Udcp2_pos_sgn 0.140973 0.155125
a_neg d2Udcp2_neg_sgn 0.140972 0.155125
a_neg d3Udcp3_pos_sgn 0.140972 0.155125
a_neg d3Udcp3_neg_sgn 0.140972 0.155125
a_neg dUdcp_pos_mag 0.140372 0.155096
a_neg dUdcp_neg_mag 0.140618 0.154805
a_neg d2Udcp2_pos_mag 0.140972 0.155125
a_neg d2Udcp2_neg_mag 0.140973 0.155126
a_neg d3Udcp3_pos_mag 0.140972 0.155125
a_neg d3Udcp3_neg_mag 0.140972 0.155125
a_neg i0_neg 0.108294 0.135776
a_neg i0_pos 0.138122 0.155025
a_neg SOC_neg 0.140972 0.155125
a_neg SOC_pos 0.140972 0.155125
a_neg tP 0.140967 0.155123
a_neg aa_neg 0.135639 0.148640
a_neg aa_pos 0.146759 0.157382
a_neg kappa_0 0.707026 1.936309
a_neg sigma_neg 0.141014 0.155134
a_neg sigma_pos 0.140985 0.155127
a_pos l_neg 0.223064 0.193573
a_pos l_sep 0.223012 0.193575
a_pos l_pos 0.224398 0.193833
a_pos Rp_neg 0.223032 0.193560
a_pos Rp_pos 0.222069 0.193521
a_pos epsilon_f_neg 0.223012 0.193575
a_pos epsilon_f_pos 0.223016 0.193575
a_pos epsilon_neg 0.203439 0.205763
a_pos epsilon_sep 0.223012 0.193575
a_pos epsilon_pos 1.158810 0.703313
a_pos Cdl_neg 0.230109 0.199749
a_pos Cdl_pos 0.405098 0.242601
a_pos cs_max_neg 0.223012 0.193575
a_pos cs_max_pos 0.223012 0.193575
a_pos c0 0.223011 0.193575
