Parameter S1 S1_conf ST ST_conf
a_neg -0.225360 1.070590 7.338589 34.838532
a_pos -0.385173 2.652970 56.880042 375.686874
l_neg 0.000000 0.000066 0.000008 0.000025
l_sep 0.000000 0.000000 0.000000 0.000000
l_pos 0.001188 0.003101 0.001920 0.007635
Rp_neg -0.000001 0.000008 0.000000 0.000001
Rp_pos -0.000015 0.000058 0.000000 0.000001
epsilon_f_neg -0.000000 0.000001 0.000000 0.000000
epsilon_f_pos -0.000001 0.000003 0.000000 0.000000
epsilon_neg 0.002668 0.021733 10.497706 39.141926
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.094512 0.191578 8.760611 13.434391
Cdl_neg 0.011950 0.069748 1.615706 6.913447
Cdl_pos -0.005736 0.013163 0.743655 0.356395
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000000 0.000006 0.000000 0.000000
D 0.000000 0.000002 0.000000 0.000000
Ds_neg 0.000004 0.000016 0.000001 0.000003
Ds_pos 0.000003 0.000016 0.000000 0.000000
d2Udcp2_pos_sgn -0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn -0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.000002 0.000036 0.000000 0.000001
dUdcp_neg_mag -0.000017 0.000051 0.000001 0.000003
d2Udcp2_pos_mag -0.000002 0.000013 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.005720 0.018149 0.119088 0.287940
i0_pos 0.071333 0.121894 3.686302 6.065572
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.000001 0.000012 0.000000 0.000000
aa_neg 0.000075 0.001598 0.000529 0.002064
aa_pos 0.008326 0.013224 0.242852 0.091105
kappa_0 0.113622 0.435367 17.542345 72.491141
sigma_neg 0.000002 0.000008 0.000000 0.000000
sigma_pos 0.000004 0.000012 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos 0.581690 2.862147
a_neg l_neg 0.245497 1.095869
a_neg l_sep 0.245480 1.095835
a_neg l_pos 0.245126 1.094956
a_neg Rp_neg 0.245425 1.095706
a_neg Rp_pos 0.245460 1.095808
a_neg epsilon_f_neg 0.245480 1.095836
a_neg epsilon_f_pos 0.245479 1.095835
a_neg epsilon_neg 0.341594 1.377389
a_neg epsilon_sep 0.245480 1.095835
a_neg epsilon_pos 0.238840 1.084726
a_neg Cdl_neg 0.345724 1.368684
a_neg Cdl_pos 0.241939 1.088810
a_neg cs_max_neg 0.245480 1.095835
a_neg cs_max_pos 0.245480 1.095835
a_neg c0 0.245478 1.095831
a_neg D 0.245479 1.095835
a_neg Ds_neg 0.245583 1.096076
a_neg Ds_pos 0.245477 1.095827
a_neg d2Udcp2_pos_sgn 0.245480 1.095835
a_neg d2Udcp2_neg_sgn 0.245480 1.095835
a_neg d3Udcp3_pos_sgn 0.245480 1.095835
a_neg d3Udcp3_neg_sgn 0.245480 1.095835
a_neg dUdcp_pos_mag 0.245489 1.095849
a_neg dUdcp_neg_mag 0.245388 1.095683
a_neg d2Udcp2_pos_mag 0.245482 1.095842
a_neg d2Udcp2_neg_mag 0.245480 1.095835
a_neg d3Udcp3_pos_mag 0.245480 1.095835
a_neg d3Udcp3_neg_mag 0.245480 1.095835
a_neg i0_neg 0.231061 1.093396
a_neg i0_pos 0.244680 1.092339
a_neg SOC_neg 0.245480 1.095835
a_neg SOC_pos 0.245480 1.095835
a_neg tP 0.245478 1.095831
a_neg aa_neg 0.245937 1.098001
a_neg aa_pos 0.245680 1.095318
a_neg kappa_0 0.438825 1.628571
a_neg sigma_neg 0.245485 1.095844
a_neg sigma_pos 0.245476 1.095828
a_pos l_neg 0.192665 2.700742
a_pos l_sep 0.192835 2.700722
a_pos l_pos 0.201693 2.697978
a_pos Rp_neg 0.192834 2.700721
a_pos Rp_pos 0.192767 2.700626
a_pos epsilon_f_neg 0.192835 2.700722
a_pos epsilon_f_pos 0.192833 2.700718
a_pos epsilon_neg 0.191875 2.694044
a_pos epsilon_sep 0.192835 2.700722
a_pos epsilon_pos -1.303279 3.917134
a_pos Cdl_neg 0.156705 2.613668
a_pos Cdl_pos 0.103790 2.718439
a_pos cs_max_neg 0.192835 2.700722
a_pos cs_max_pos 0.192835 2.700722
a_pos c0 0.192835 2.700721
a_pos D 0.192835 2.700723
a_pos Ds_neg 0.192834 2.700722
a_pos Ds_pos 0.192835 2.700722
a_pos d2Udcp2_pos_sgn 0.192835 2.700722
a_pos d2Udcp2_neg_sgn 0.192835 2.700722
a_pos d3Udcp3_pos_sgn 0.192835 2.700722
a_pos d3Udcp3_neg_sgn 0.192835 2.700722
a_pos dUdcp_pos_mag 0.192870 2.700771
a_pos dUdcp_neg_mag 0.192834 2.700722
a_pos d2Udcp2_pos_mag 0.192835 2.700722
a_pos d2Udcp2_neg_mag 0.192835 2.700722
a_pos d3Udcp3_pos_mag 0.192835 2.700722
a_pos d3Udcp3_neg_mag 0.192835 2.700722
a_pos i0_neg 0.194100 2.701195
a_pos i0_pos 1.183077 2.928437
a_pos SOC_neg 0.192835 2.700722
a_pos SOC_pos 0.192835 2.700722
a_pos tP 0.192835 2.700722
a_pos aa_neg 0.192881 2.700454
a_pos aa_pos 0.287761 2.683835
a_pos kappa_0 1.014915 4.412365
a_pos sigma_neg 0.192834 2.700722
a_pos sigma_pos 0.192871 2.700729
l_neg l_sep 0.000058 0.000339
l_neg l_pos 0.000058 0.000339
l_neg Rp_neg 0.000058 0.000339
l_neg Rp_pos 0.000057 0.000337
l_neg epsilon_f_neg 0.000058 0.000339
l_neg epsilon_f_pos 0.000058 0.000339
l_neg epsilon_neg 0.000064 0.000459
l_neg epsilon_sep 0.000058 0.000339
l_neg epsilon_pos -0.000027 0.000192
l_neg Cdl_neg 0.000109 0.000450
l_neg Cdl_pos -0.000008 0.000209
l_neg cs_max_neg 0.000058 0.000339
l_neg cs_max_pos 0.000058 0.000339
l_neg c0 0.000058 0.000339
l_neg D 0.000058 0.000339
l_neg Ds_neg 0.000058 0.000339
l_neg Ds_pos 0.000058 0.000339
l_neg d2Udcp2_pos_sgn 0.000058 0.000339
l_neg d2Udcp2_neg_sgn 0.000058 0.000339
l_neg d3Udcp3_pos_sgn 0.000058 0.000339
l_neg d3Udcp3_neg_sgn 0.000058 0.000339
l_neg dUdcp_pos_mag 0.000058 0.000340
l_neg dUdcp_neg_mag 0.000058 0.000339
l_neg d2Udcp2_pos_mag 0.000058 0.000339
l_neg d2Udcp2_neg_mag 0.000058 0.000339
l_neg d3Udcp3_pos_mag 0.000058 0.000339
l_neg d3Udcp3_neg_mag 0.000058 0.000339
l_neg i0_neg 0.000089 0.000367
l_neg i0_pos 0.000052 0.000317
l_neg SOC_neg 0.000058 0.000339
l_neg SOC_pos 0.000058 0.000339
l_neg tP 0.000058 0.000339
l_neg aa_neg 0.000064 0.000336
l_neg aa_pos 0.000082 0.000431
l_neg kappa_0 0.005674 0.024543
l_neg sigma_neg 0.000058 0.000339
l_neg sigma_pos 0.000058 0.000339
l_sep l_pos -0.000000 0.000000
l_sep Rp_neg -0.000000 0.000000
l_sep Rp_pos -0.000000 0.000000
l_sep epsilon_f_neg -0.000000 0.000000
l_sep epsilon_f_pos -0.000000 0.000000
l_sep epsilon_neg -0.000000 0.000000
l_sep epsilon_sep -0.000000 0.000000
l_sep epsilon_pos -0.000000 0.000000
l_sep Cdl_neg -0.000000 0.000000
l_sep Cdl_pos -0.000000 0.000000
l_sep cs_max_neg -0.000000 0.000000
l_sep cs_max_pos -0.000000 0.000000
l_sep c0 -0.000000 0.000000
l_sep D -0.000000 0.000000
l_sep Ds_neg -0.000000 0.000000
l_sep Ds_pos -0.000000 0.000000
l_sep d2Udcp2_pos_sgn -0.000000 0.000000
l_sep d2Udcp2_neg_sgn -0.000000 0.000000
l_sep d3Udcp3_pos_sgn -0.000000 0.000000
l_sep d3Udcp3_neg_sgn -0.000000 0.000000
l_sep dUdcp_pos_mag -0.000000 0.000000
l_sep dUdcp_neg_mag -0.000000 0.000000
l_sep d2Udcp2_pos_mag -0.000000 0.000000
l_sep d2Udcp2_neg_mag -0.000000 0.000000
l_sep d3Udcp3_pos_mag -0.000000 0.000000
l_sep d3Udcp3_neg_mag -0.000000 0.000000
l_sep i0_neg -0.000000 0.000000
l_sep i0_pos -0.000000 0.000000
l_sep SOC_neg -0.000000 0.000000
l_sep SOC_pos -0.000000 0.000000
l_sep tP -0.000000 0.000000
l_sep aa_neg -0.000000 0.000000
l_sep aa_pos -0.000000 0.000000
l_sep kappa_0 -0.000000 0.000000
l_sep sigma_neg -0.000000 0.000000
l_sep sigma_pos -0.000000 0.000000
l_pos Rp_neg 0.005598 0.010598
l_pos Rp_pos 0.005598 0.010598
l_pos epsilon_f_neg 0.005598 0.010598
l_pos epsilon_f_pos 0.005598 0.010598
l_pos epsilon_neg 0.005590 0.010568
l_pos epsilon_sep 0.005598 0.010598
l_pos epsilon_pos 0.056162 0.092675
l_pos Cdl_neg 0.005486 0.010453
l_pos Cdl_pos 0.008407 0.015102
l_pos cs_max_neg 0.005598 0.010598
l_pos cs_max_pos 0.005598 0.010598
l_pos c0 0.005598 0.010598
l_pos D 0.005598 0.010598
l_pos Ds_neg 0.005598 0.010598
l_pos Ds_pos 0.005598 0.010598
l_pos d2Udcp2_pos_sgn 0.005598 0.010598
l_pos d2Udcp2_neg_sgn 0.005598 0.010598
l_pos d3Udcp3_pos_sgn 0.005598 0.010598
l_pos d3Udcp3_neg_sgn 0.005598 0.010598
l_pos dUdcp_pos_mag 0.005598 0.010598
l_pos dUdcp_neg_mag 0.005598 0.010598
l_pos d2Udcp2_pos_mag 0.005598 0.010598
l_pos d2Udcp2_neg_mag 0.005598 0.010598
l_pos d3Udcp3_pos_mag 0.005598 0.010598
l_pos d3Udcp3_neg_mag 0.005598 0.010598
l_pos i0_neg 0.005660 0.010490
l_pos i0_pos -0.027928 0.044942
l_pos SOC_neg 0.005598 0.010598
l_pos SOC_pos 0.005598 0.010598
l_pos tP 0.005598 0.010598
l_pos aa_neg 0.005595 0.010589
l_pos aa_pos 0.002485 0.005850
l_pos kappa_0 -0.000713 0.003013
l_pos sigma_neg 0.005598 0.010598
l_pos sigma_pos 0.005597 0.010597
Rp_neg Rp_pos -0.000003 0.000016
Rp_neg epsilon_f_neg -0.000003 0.000016
Rp_neg epsilon_f_pos -0.000003 0.000016
Rp_neg epsilon_neg 0.000001 0.000027
Rp_neg epsilon_sep -0.000003 0.000016
Rp_neg epsilon_pos -0.000003 0.000016
Rp_neg Cdl_neg -0.000014 0.000073
Rp_neg Cdl_pos -0.000001 0.000017
Rp_neg cs_max_neg -0.000003 0.000016
Rp_neg cs_max_pos -0.000003 0.000016
Rp_neg c0 -0.000003 0.000016
Rp_neg D -0.000003 0.000016
Rp_neg Ds_neg -0.000003 0.000016
Rp_neg Ds_pos -0.000003 0.000016
Rp_neg d2Udcp2_pos_sgn -0.000003 0.000016
Rp_neg d2Udcp2_neg_sgn -0.000003 0.000016
Rp_neg d3Udcp3_pos_sgn -0.000003 0.000016
Rp_neg d3Udcp3_neg_sgn -0.000003 0.000016
Rp_neg dUdcp_pos_mag -0.000003 0.000016
Rp_neg dUdcp_neg_mag -0.000003 0.000015
Rp_neg d2Udcp2_pos_mag -0.000003 0.000016
Rp_neg d2Udcp2_neg_mag -0.000003 0.000016
Rp_neg d3Udcp3_pos_mag -0.000003 0.000016
Rp_neg d3Udcp3_neg_mag -0.000003 0.000016
Rp_neg i0_neg 0.000003 0.000013
Rp_neg i0_pos -0.000004 0.000017
Rp_neg SOC_neg -0.000003 0.000016
Rp_neg SOC_pos -0.000003 0.000016
Rp_neg tP -0.000003 0.000016
Rp_neg aa_neg -0.000002 0.000012
Rp_neg aa_pos -0.000003 0.000016
Rp_neg kappa_0 0.000000 0.000010
Rp_neg sigma_neg -0.000003 0.000016
Rp_neg sigma_pos -0.000003 0.000016
Rp_pos epsilon_f_neg 0.000012 0.000055
Rp_pos epsilon_f_pos 0.000012 0.000055
Rp_pos epsilon_neg 0.000010 0.000052
Rp_pos epsilon_sep 0.000012 0.000055
Rp_pos epsilon_pos -0.000002 0.000063
Rp_pos Cdl_neg 0.000012 0.000055
Rp_pos Cdl_pos 0.000010 0.000051
Rp_pos cs_max_neg 0.000012 0.000055
Rp_pos cs_max_pos 0.000012 0.000055
Rp_pos c0 0.000012 0.000055
