Parameter S1 S1_conf ST ST_conf
a_neg 0.202001 0.388243 7.356452 14.293606
a_pos 0.284367 0.761982 61.861562 153.232509
l_neg -0.000152 0.000331 0.000115 0.000181
l_sep -0.000000 0.000000 0.000030 0.000080
l_pos 0.004403 0.019530 0.050458 0.074746
Rp_neg 0.000000 0.000000 0.000000 0.000000
Rp_pos 0.000003 0.000009 0.000000 0.000000
epsilon_f_neg -0.000002 0.000005 0.000000 0.000000
epsilon_f_pos -0.000004 0.000007 0.000000 0.000000
epsilon_neg 0.010234 0.013309 12.809344 24.075537
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.068885 0.174024 0.561313 0.315129
Cdl_neg 0.030466 0.073510 1.524329 2.356480
Cdl_pos 0.020469 0.060470 2.932155 6.146644
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000002 0.000005 0.000005 0.000013
D 0.000000 0.000002 0.000002 0.000005
Ds_neg 0.000000 0.000000 0.000000 0.000000
Ds_pos 0.000000 0.000001 0.000000 0.000000
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn -0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000016 0.000046 0.000000 0.000001
dUdcp_neg_mag -0.000003 0.000007 0.000000 0.000000
d2Udcp2_pos_mag -0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.008783 0.010172 0.076258 0.066700
i0_pos 0.142632 0.293015 2.678679 5.478711
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000006 0.000015 0.000023 0.000062
aa_neg 0.003146 0.005662 0.001706 0.001857
aa_pos -0.007581 0.015980 0.163126 0.101103
kappa_0 0.035457 0.115273 9.983514 20.829034
sigma_neg 0.000017 0.000041 0.000000 0.000000
sigma_pos -0.000011 0.000015 0.000001 0.000003

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.436424 0.873789
a_neg l_neg -0.180369 0.388409
a_neg l_sep -0.180313 0.388370
a_neg l_pos -0.175705 0.384749
a_neg Rp_neg -0.180309 0.388368
a_neg Rp_pos -0.180316 0.388373
a_neg epsilon_f_neg -0.180310 0.388367
a_neg epsilon_f_pos -0.180319 0.388375
a_neg epsilon_neg 0.086615 0.501579
a_neg epsilon_sep -0.180313 0.388370
a_neg epsilon_pos -0.175255 0.384560
a_neg Cdl_neg 0.071868 0.441324
a_neg Cdl_pos -0.173862 0.381259
a_neg cs_max_neg -0.180313 0.388370
a_neg cs_max_pos -0.180313 0.388370
a_neg c0 -0.180311 0.388368
a_neg D -0.180314 0.388371
a_neg Ds_neg -0.180312 0.388370
a_neg Ds_pos -0.180314 0.388371
a_neg d2Udcp2_pos_sgn -0.180313 0.388370
a_neg d2Udcp2_neg_sgn -0.180313 0.388370
a_neg d3Udcp3_pos_sgn -0.180313 0.388370
a_neg d3Udcp3_neg_sgn -0.180313 0.388370
a_neg dUdcp_pos_mag -0.180313 0.388370
a_neg dUdcp_neg_mag -0.180309 0.388366
a_neg d2Udcp2_pos_mag -0.180313 0.388370
a_neg d2Udcp2_neg_mag -0.180313 0.388370
a_neg d3Udcp3_pos_mag -0.180313 0.388370
a_neg d3Udcp3_neg_mag -0.180313 0.388370
a_neg i0_neg -0.173479 0.391473
a_neg i0_pos -0.182361 0.389127
a_neg SOC_neg -0.180313 0.388370
a_neg SOC_pos -0.180313 0.388370
a_neg tP -0.180311 0.388368
a_neg aa_neg -0.179110 0.389084
a_neg aa_pos -0.179737 0.388118
a_neg kappa_0 -0.091865 0.424571
a_neg sigma_neg -0.180305 0.388367
a_neg sigma_pos -0.180287 0.388351
a_pos l_neg -0.079596 0.746082
a_pos l_sep -0.077861 0.747019
a_pos l_pos 0.038294 0.839956
a_pos Rp_neg -0.077855 0.747015
a_pos Rp_pos -0.077859 0.747017
a_pos epsilon_f_neg -0.077855 0.747015
a_pos epsilon_f_pos -0.077857 0.747014
a_pos epsilon_neg -0.079487 0.747882
a_pos epsilon_sep -0.077855 0.747015
a_pos epsilon_pos -0.381281 0.843257
a_pos Cdl_neg -0.063544 0.740971
a_pos Cdl_pos 0.053392 0.872921
a_pos cs_max_neg -0.077855 0.747015
a_pos cs_max_pos -0.077855 0.747015
a_pos c0 -0.077852 0.747013
a_pos D -0.077857 0.747016
a_pos Ds_neg -0.077855 0.747015
a_pos Ds_pos -0.077855 0.747015
a_pos d2Udcp2_pos_sgn -0.077855 0.747015
a_pos d2Udcp2_neg_sgn -0.077855 0.747015
a_pos d3Udcp3_pos_sgn -0.077855 0.747015
a_pos d3Udcp3_neg_sgn -0.077855 0.747015
a_pos dUdcp_pos_mag -0.077862 0.747019
a_pos dUdcp_neg_mag -0.077855 0.747015
a_pos d2Udcp2_pos_mag -0.077855 0.747015
a_pos d2Udcp2_neg_mag -0.077855 0.747015
a_pos d3Udcp3_pos_mag -0.077855 0.747015
a_pos d3Udcp3_neg_mag -0.077855 0.747015
a_pos i0_neg -0.081264 0.746868
a_pos i0_pos 1.743208 4.034796
a_pos SOC_neg -0.077855 0.747015
a_pos SOC_pos -0.077855 0.747015
a_pos tP -0.077857 0.747017
a_pos aa_neg -0.078373 0.746934
a_pos aa_pos -0.173127 0.722696
a_pos kappa_0 0.018384 0.818956
a_pos sigma_neg -0.077855 0.747015
a_pos sigma_pos -0.077889 0.746993
l_neg l_sep -0.000154 0.000589
l_neg l_pos -0.000179 0.000603
l_neg Rp_neg -0.000154 0.000589
l_neg Rp_pos -0.000154 0.000589
l_neg epsilon_f_neg -0.000154 0.000589
l_neg epsilon_f_pos -0.000154 0.000589
l_neg epsilon_neg -0.000614 0.001369
l_neg epsilon_sep -0.000154 0.000589
l_neg epsilon_pos 0.000093 0.000313
l_neg Cdl_neg -0.000726 0.001356
l_neg Cdl_pos -0.000112 0.000474
l_neg cs_max_neg -0.000154 0.000589
l_neg cs_max_pos -0.000154 0.000589
l_neg c0 -0.000154 0.000589
l_neg D -0.000154 0.000589
l_neg Ds_neg -0.000154 0.000589
l_neg Ds_pos -0.000154 0.000589
l_neg d2Udcp2_pos_sgn -0.000154 0.000589
l_neg d2Udcp2_neg_sgn -0.000154 0.000589
l_neg d3Udcp3_pos_sgn -0.000154 0.000589
l_neg d3Udcp3_neg_sgn -0.000154 0.000589
l_neg dUdcp_pos_mag -0.000155 0.000589
l_neg dUdcp_neg_mag -0.000154 0.000589
l_neg d2Udcp2_pos_mag -0.000154 0.000589
l_neg d2Udcp2_neg_mag -0.000154 0.000589
l_neg d3Udcp3_pos_mag -0.000154 0.000589
l_neg d3Udcp3_neg_mag -0.000154 0.000589
l_neg i0_neg -0.000170 0.000594
l_neg i0_pos -0.000126 0.000536
l_neg SOC_neg -0.000154 0.000589
l_neg SOC_pos -0.000154 0.000589
l_neg tP -0.000154 0.000589
l_neg aa_neg -0.000161 0.000593
l_neg aa_pos -0.000223 0.000726
l_neg kappa_0 -0.018661 0.041421
l_neg sigma_neg -0.000154 0.000589
l_neg sigma_pos -0.000155 0.000590
l_sep l_pos 0.000000 0.000000
l_sep Rp_neg 0.000000 0.000000
l_sep Rp_pos 0.000000 0.000000
l_sep epsilon_f_neg 0.000000 0.000000
l_sep epsilon_f_pos 0.000000 0.000000
l_sep epsilon_neg 0.000000 0.000000
l_sep epsilon_sep 0.000000 0.000000
l_sep epsilon_pos 0.000000 0.000000
l_sep Cdl_neg 0.000000 0.000000
l_sep Cdl_pos 0.000000 0.000000
l_sep cs_max_neg 0.000000 0.000000
l_sep cs_max_pos 0.000000 0.000000
l_sep c0 0.000000 0.000000
l_sep D 0.000000 0.000000
l_sep Ds_neg 0.000000 0.000000
l_sep Ds_pos 0.000000 0.000000
l_sep d2Udcp2_pos_sgn 0.000000 0.000000
l_sep d2Udcp2_neg_sgn 0.000000 0.000000
l_sep d3Udcp3_pos_sgn 0.000000 0.000000
l_sep d3Udcp3_neg_sgn 0.000000 0.000000
l_sep dUdcp_pos_mag 0.000000 0.000000
l_sep dUdcp_neg_mag 0.000000 0.000000
l_sep d2Udcp2_pos_mag 0.000000 0.000000
l_sep d2Udcp2_neg_mag 0.000000 0.000000
l_sep d3Udcp3_pos_mag 0.000000 0.000000
l_sep d3Udcp3_neg_mag 0.000000 0.000000
l_sep i0_neg 0.000000 0.000000
l_sep i0_pos 0.000000 0.000000
l_sep SOC_neg 0.000000 0.000000
