Parameter S1 S1_conf ST ST_conf
a_neg 0.009555 0.021456 0.016882 0.627852
a_pos -0.075559 0.105097 0.025282 0.321029
l_neg -0.000000 0.000004 0.000000 0.000000
l_sep 0.000000 0.000014 0.000000 0.000000
l_pos 0.000041 0.000148 0.000000 0.000001
Rp_neg 0.000001 0.000250 0.000437 0.018152
Rp_pos -0.000560 0.010770 0.000034 0.001436
epsilon_f_neg -0.000000 0.000001 0.000000 0.000000
epsilon_f_pos 0.000000 0.000006 0.000000 0.000000
epsilon_neg 0.001043 0.040343 0.004330 0.102547
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.000044 0.057859 0.719590 10.008288
Cdl_neg -0.000027 0.007546 0.007061 0.169506
Cdl_pos 0.000935 0.043885 0.001505 0.028506
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000005 0.000317 0.000001 0.000033
D 0.000001 0.000052 0.000000 0.000002
Ds_neg -0.000351 0.006175 0.005558 0.132466
Ds_pos 0.000060 0.008784 0.000396 0.015575
d2Udcp2_pos_sgn 0.000441 0.000212 0.000000 0.000000
d2Udcp2_neg_sgn -0.000003 0.000121 0.000008 0.000354
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000001 0.000000 0.000000
dUdcp_pos_mag -0.000165 0.010542 0.000318 0.012188
dUdcp_neg_mag 0.000062 0.000537 0.000089 0.003122
d2Udcp2_pos_mag -0.000263 0.007023 0.000013 0.000587
d2Udcp2_neg_mag -0.000008 0.000319 0.000041 0.001673
d3Udcp3_pos_mag 0.000003 0.000001 0.000000 0.000000
d3Udcp3_neg_mag -0.000000 0.000001 0.000000 0.000000
i0_neg -0.000124 0.004953 0.007323 0.181674
i0_pos 0.220504 0.118573 0.041097 0.358939
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000005 0.000389 0.000001 0.000057
aa_neg -0.000026 0.003815 0.003311 0.076874
aa_pos -0.001058 0.037044 0.070478 0.951053
kappa_0 -0.003473 0.122472 0.719837 27.709674
sigma_neg -0.000000 0.000005 0.000000 0.000000
sigma_pos -0.000002 0.000046 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.012020 0.097520
a_neg l_neg -0.009221 0.067980
a_neg l_sep -0.009221 0.067982
a_neg l_pos -0.009222 0.068008
a_neg Rp_neg -0.009238 0.068036
a_neg Rp_pos -0.008984 0.066840
a_neg epsilon_f_neg -0.009221 0.067979
a_neg epsilon_f_pos -0.009221 0.067976
a_neg epsilon_neg -0.007923 0.082940
a_neg epsilon_sep -0.009221 0.067979
a_neg epsilon_pos -0.008880 0.024597
a_neg Cdl_neg -0.009209 0.068408
a_neg Cdl_pos -0.010059 0.042747
a_neg cs_max_neg -0.009221 0.067979
a_neg cs_max_pos -0.009221 0.067979
a_neg c0 -0.009217 0.067913
a_neg D -0.009220 0.067965
a_neg Ds_neg -0.009245 0.068036
a_neg Ds_pos -0.009233 0.067166
a_neg d2Udcp2_pos_sgn -0.009221 0.067979
a_neg d2Udcp2_neg_sgn -0.009221 0.067979
a_neg d3Udcp3_pos_sgn -0.009221 0.067979
a_neg d3Udcp3_neg_sgn -0.009221 0.067979
a_neg dUdcp_pos_mag -0.008885 0.067241
a_neg dUdcp_neg_mag -0.009229 0.067763
a_neg d2Udcp2_pos_mag -0.009091 0.067122
a_neg d2Udcp2_neg_mag -0.009218 0.067980
a_neg d3Udcp3_pos_mag -0.009221 0.067979
a_neg d3Udcp3_neg_mag -0.009221 0.067979
a_neg i0_neg -0.009156 0.067637
a_neg i0_pos -0.009863 0.025919
a_neg SOC_neg -0.009221 0.067979
a_neg SOC_pos -0.009221 0.067979
a_neg tP -0.009214 0.067896
a_neg aa_neg -0.009176 0.067679
a_neg aa_pos -0.008291 0.056667
a_neg kappa_0 -0.015327 0.245643
a_neg sigma_neg -0.009221 0.067979
a_neg sigma_pos -0.009219 0.067975
a_pos l_neg 0.076927 0.117554
a_pos l_sep 0.076927 0.117553
a_pos l_pos 0.076885 0.117534
a_pos Rp_neg 0.076364 0.127538
a_pos Rp_pos 0.076544 0.110592
a_pos epsilon_f_neg 0.076926 0.117549
a_pos epsilon_f_pos 0.076926 0.117539
a_pos epsilon_neg 0.077543 0.105930
a_pos epsilon_sep 0.076927 0.117554
a_pos epsilon_pos 0.073145 0.147849
a_pos Cdl_neg 0.077775 0.111046
a_pos Cdl_pos 0.076657 0.114234
a_pos cs_max_neg 0.076927 0.117554
a_pos cs_max_pos 0.076927 0.117554
