Parameter S1 S1_conf ST ST_conf
a_neg 0.100110 0.165967 0.172019 1.149834
a_pos -0.013056 0.043664 0.381978 0.270300
l_neg 0.000157 0.000723 0.000083 0.000396
l_sep -0.000000 0.000000 0.000000 0.000000
l_pos 0.000012 0.000071 0.000000 0.000001
Rp_neg 0.000027 0.000052 0.000004 0.000015
Rp_pos -0.000983 0.003753 0.000183 0.000700
epsilon_f_neg -0.000000 0.000002 0.000000 0.000000
epsilon_f_pos -0.000003 0.000013 0.000000 0.000000
epsilon_neg 0.020249 0.106310 0.385194 0.267994
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.000832 0.043138 15.344691 11.980139
Cdl_neg -0.008240 0.005743 0.278470 0.271464
Cdl_pos 0.018627 0.083225 0.081162 0.064379
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000003 0.000017 0.000000 0.000001
D 0.000001 0.000004 0.000000 0.000000
Ds_neg -0.000070 0.000069 0.000020 0.000020
Ds_pos 0.000027 0.000115 0.000000 0.000001
d2Udcp2_pos_sgn -0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn -0.000000 0.000001 0.000000 0.000001
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000802 0.003118 0.000127 0.000482
dUdcp_neg_mag 0.000051 0.000174 0.000008 0.000030
d2Udcp2_pos_mag -0.000008 0.000013 0.000000 0.000000
d2Udcp2_neg_mag 0.000010 0.000050 0.000000 0.000002
d3Udcp3_pos_mag -0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.003554 0.017258 0.108291 0.077044
i0_pos 0.004824 0.011941 0.469460 0.313620
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.000002 0.000005 0.000000 0.000001
aa_neg -0.000828 0.002072 0.002049 0.011238
aa_pos -0.002746 0.012876 0.101259 0.076091
kappa_0 0.722038 2.800756 102.239007 387.356361
sigma_neg 0.000008 0.000010 0.000000 0.000000
sigma_pos 0.000016 0.000055 0.000000 0.000001

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.099554 0.166527
a_neg l_neg -0.078399 0.181048
a_neg l_sep -0.078385 0.181053
a_neg l_pos -0.078399 0.181045
a_neg Rp_neg -0.078369 0.181050
a_neg Rp_pos -0.080338 0.178181
a_neg epsilon_f_neg -0.078385 0.181053
a_neg epsilon_f_pos -0.078391 0.181043
a_neg epsilon_neg -0.092145 0.203192
a_neg epsilon_sep -0.078385 0.181053
a_neg epsilon_pos -0.108845 0.165414
a_neg Cdl_neg -0.076496 0.181587
a_neg Cdl_pos -0.096946 0.200650
a_neg cs_max_neg -0.078385 0.181053
a_neg cs_max_pos -0.078385 0.181053
a_neg c0 -0.078393 0.181045
a_neg D -0.078383 0.181054
a_neg Ds_neg -0.078393 0.181050
a_neg Ds_pos -0.078324 0.181149
a_neg d2Udcp2_pos_sgn -0.078385 0.181053
a_neg d2Udcp2_neg_sgn -0.078385 0.181053
a_neg d3Udcp3_pos_sgn -0.078385 0.181053
a_neg d3Udcp3_neg_sgn -0.078385 0.181053
a_neg dUdcp_pos_mag -0.076745 0.183618
a_neg dUdcp_neg_mag -0.078363 0.181045
a_neg d2Udcp2_pos_mag -0.078377 0.181042
a_neg d2Udcp2_neg_mag -0.078386 0.181053
a_neg d3Udcp3_pos_mag -0.078385 0.181053
a_neg d3Udcp3_neg_mag -0.078385 0.181053
a_neg i0_neg -0.081028 0.182291
a_neg i0_pos -0.073724 0.188269
a_neg SOC_neg -0.078385 0.181053
a_neg SOC_pos -0.078385 0.181053
a_neg tP -0.078387 0.181058
a_neg aa_neg -0.078016 0.180802
a_neg aa_pos -0.085278 0.172141
a_neg kappa_0 1.392113 5.656590
a_neg sigma_neg -0.078384 0.181054
a_neg sigma_pos -0.078363 0.181090
a_pos l_neg 0.203309 0.793460
a_pos l_sep 0.203354 0.793521
a_pos l_pos 0.203338 0.793454
a_pos Rp_neg 0.203249 0.793321
a_pos Rp_pos 0.186693 0.729878
a_pos epsilon_f_neg 0.203354 0.793524
a_pos epsilon_f_pos 0.203300 0.793315
a_pos epsilon_neg 0.210717 0.791476
a_pos epsilon_sep 0.203354 0.793521
a_pos epsilon_pos 0.035095 0.085776
a_pos Cdl_neg 0.208375 0.788571
a_pos Cdl_pos 0.197841 0.777017
a_pos cs_max_neg 0.203354 0.793521
a_pos cs_max_pos 0.203354 0.793521
a_pos c0 0.203290 0.793278
a_pos D 0.203365 0.793566
a_pos Ds_neg 0.203413 0.793521
a_pos Ds_pos 0.203897 0.795595
a_pos d2Udcp2_pos_sgn 0.203354 0.793521
a_pos d2Udcp2_neg_sgn 0.203354 0.793521
a_pos d3Udcp3_pos_sgn 0.203354 0.793521
a_pos d3Udcp3_neg_sgn 0.203354 0.793521
a_pos dUdcp_pos_mag 0.217186 0.846371
a_pos dUdcp_neg_mag 0.203349 0.793558
a_pos d2Udcp2_pos_mag 0.203355 0.793528
a_pos d2Udcp2_neg_mag 0.203351 0.793517
a_pos d3Udcp3_pos_mag 0.203354 0.793521
a_pos d3Udcp3_neg_mag 0.203354 0.793521
a_pos i0_neg 0.210285 0.800223
a_pos i0_pos 0.233569 0.930967
a_pos SOC_neg 0.203354 0.793521
a_pos SOC_pos 0.203354 0.793521
a_pos tP 0.203358 0.793537
a_pos aa_neg 0.204078 0.795629
a_pos aa_pos 0.148856 0.579970
a_pos kappa_0 12.609099 48.163024
a_pos sigma_neg 0.203352 0.793530
a_pos sigma_pos 0.203558 0.794303
l_neg l_sep -0.000233 0.000723
l_neg l_pos -0.000233 0.000723
l_neg Rp_neg -0.000233 0.000723
l_neg Rp_pos -0.000232 0.000722
l_neg epsilon_f_neg -0.000233 0.000723
l_neg epsilon_f_pos -0.000233 0.000723
l_neg epsilon_neg -0.000178 0.000742
l_neg epsilon_sep -0.000233 0.000723
l_neg epsilon_pos -0.000228 0.000717
l_neg Cdl_neg -0.000181 0.000729
l_neg Cdl_pos -0.000241 0.000738
l_neg cs_max_neg -0.000233 0.000723
l_neg cs_max_pos -0.000233 0.000723
l_neg c0 -0.000233 0.000723
l_neg D -0.000233 0.000723
l_neg Ds_neg -0.000232 0.000723
l_neg Ds_pos -0.000233 0.000723
l_neg d2Udcp2_pos_sgn -0.000233 0.000723
l_neg d2Udcp2_neg_sgn -0.000233 0.000723
l_neg d3Udcp3_pos_sgn -0.000233 0.000723
l_neg d3Udcp3_neg_sgn -0.000233 0.000723
l_neg dUdcp_pos_mag -0.000233 0.000723
l_neg dUdcp_neg_mag -0.000233 0.000722
l_neg d2Udcp2_pos_mag -0.000233 0.000723
l_neg d2Udcp2_neg_mag -0.000233 0.000723
l_neg d3Udcp3_pos_mag -0.000233 0.000723
l_neg d3Udcp3_neg_mag -0.000233 0.000723
l_neg i0_neg -0.000200 0.000725
l_neg i0_pos -0.000256 0.000723
l_neg SOC_neg -0.000233 0.000723
l_neg SOC_pos -0.000233 0.000723
l_neg tP -0.000233 0.000723
l_neg aa_neg -0.000231 0.000721
l_neg aa_pos -0.000231 0.000720
l_neg kappa_0 -0.000525 0.001761
l_neg sigma_neg -0.000233 0.000723
l_neg sigma_pos -0.000233 0.000723
l_sep l_pos 0.000000 0.000000
l_sep Rp_neg 0.000000 0.000000
l_sep Rp_pos 0.000000 0.000000
l_sep epsilon_f_neg 0.000000 0.000000
l_sep epsilon_f_pos 0.000000 0.000000
l_sep epsilon_neg 0.000000 0.000000
l_sep epsilon_sep 0.000000 0.000000
l_sep epsilon_pos 0.000000 0.000000
l_sep Cdl_neg 0.000000 0.000000
l_sep Cdl_pos 0.000000 0.000000
l_sep cs_max_neg 0.000000 0.000000
l_sep cs_max_pos 0.000000 0.000000
l_sep c0 0.000000 0.000000
l_sep D 0.000000 0.000000
l_sep Ds_neg 0.000000 0.000000
l_sep Ds_pos 0.000000 0.000000
l_sep d2Udcp2_pos_sgn 0.000000 0.000000
l_sep d2Udcp2_neg_sgn 0.000000 0.000000
l_sep d3Udcp3_pos_sgn 0.000000 0.000000
l_sep d3Udcp3_neg_sgn 0.000000 0.000000
l_sep dUdcp_pos_mag 0.000000 0.000000
l_sep dUdcp_neg_mag 0.000000 0.000000
l_sep d2Udcp2_pos_mag 0.000000 0.000000
l_sep d2Udcp2_neg_mag 0.000000 0.000000
l_sep d3Udcp3_pos_mag 0.000000 0.000000
l_sep d3Udcp3_neg_mag 0.000000 0.000000
l_sep i0_neg 0.000000 0.000000
l_sep i0_pos 0.000000 0.000000
l_sep SOC_neg 0.000000 0.000000
l_sep SOC_pos 0.000000 0.000000
l_sep tP 0.000000 0.000000
l_sep aa_neg 0.000000 0.000000
l_sep aa_pos 0.000000 0.000000
l_sep kappa_0 0.000000 0.000000
l_sep sigma_neg 0.000000 0.000000
l_sep sigma_pos 0.000000 0.000000
l_pos Rp_neg -0.000010 0.000069
l_pos Rp_pos -0.000010 0.000069
l_pos epsilon_f_neg -0.000010 0.000069
l_pos epsilon_f_pos -0.000010 0.000069
l_pos epsilon_neg -0.000003 0.000097
l_pos epsilon_sep -0.000010 0.000069
l_pos epsilon_pos -0.000029 0.000071
l_pos Cdl_neg -0.000010 0.000067
l_pos Cdl_pos -0.000009 0.000069
l_pos cs_max_neg -0.000010 0.000069
l_pos cs_max_pos -0.000010 0.000069
l_pos c0 -0.000010 0.000069
l_pos D -0.000010 0.000069
l_pos Ds_neg -0.000010 0.000069
l_pos Ds_pos -0.000010 0.000069
l_pos d2Udcp2_pos_sgn -0.000010 0.000069
l_pos d2Udcp2_neg_sgn -0.000010 0.000069
l_pos d3Udcp3_pos_sgn -0.000010 0.000069
l_pos d3Udcp3_neg_sgn -0.000010 0.000069
l_pos dUdcp_pos_mag -0.000010 0.000069
l_pos dUdcp_neg_mag -0.000010 0.000069
l_pos d2Udcp2_pos_mag -0.000010 0.000069
l_pos d2Udcp2_neg_mag -0.000010 0.000069
l_pos d3Udcp3_pos_mag -0.000010 0.000069
l_pos d3Udcp3_neg_mag -0.000010 0.000069
l_pos i0_neg -0.000009 0.000068
l_pos i0_pos -0.000012 0.000067
l_pos SOC_neg -0.000010 0.000069
l_pos SOC_pos -0.000010 0.000069
l_pos tP -0.000010 0.000069
l_pos aa_neg -0.000011 0.000068
l_pos aa_pos -0.000011 0.000069
l_pos kappa_0 -0.000067 0.000242
l_pos sigma_neg -0.000010 0.000069
l_pos sigma_pos -0.000010 0.000069
Rp_neg Rp_pos -0.000002 0.000107
Rp_neg epsilon_f_neg -0.000002 0.000107
Rp_neg epsilon_f_pos -0.000002 0.000107
Rp_neg epsilon_neg 0.000901 0.003903
Rp_neg epsilon_sep -0.000002 0.000107
Rp_neg epsilon_pos 0.000006 0.000134
Rp_neg Cdl_neg -0.000025 0.000052
Rp_neg Cdl_pos 0.001014 0.004415
Rp_neg cs_max_neg -0.000002 0.000107
Rp_neg cs_max_pos -0.000002 0.000107
Rp_neg c0 -0.000002 0.000107
Rp_neg D -0.000002 0.000107
Rp_neg Ds_neg -0.000002 0.000107
Rp_neg Ds_pos -0.000002 0.000107
Rp_neg d2Udcp2_pos_sgn -0.000002 0.000107
Rp_neg d2Udcp2_neg_sgn -0.000002 0.000107
Rp_neg d3Udcp3_pos_sgn -0.000002 0.000107
Rp_neg d3Udcp3_neg_sgn -0.000002 0.000107
Rp_neg dUdcp_pos_mag -0.000002 0.000107
Rp_neg dUdcp_neg_mag -0.000003 0.000106
Rp_neg d2Udcp2_pos_mag -0.000002 0.000107
Rp_neg d2Udcp2_neg_mag -0.000002 0.000107
Rp_neg d3Udcp3_pos_mag -0.000002 0.000107
Rp_neg d3Udcp3_neg_mag -0.000002 0.000107
Rp_neg i0_neg -0.000021 0.000053
Rp_neg i0_pos 0.000037 0.000268
Rp_neg SOC_neg -0.000002 0.000107
Rp_neg SOC_pos -0.000002 0.000107
Rp_neg tP -0.000002 0.000107
Rp_neg aa_neg -0.000010 0.000078
Rp_neg aa_pos -0.000002 0.000107
Rp_neg kappa_0 -0.000016 0.000060
Rp_neg sigma_neg -0.000002 0.000107
Rp_neg sigma_pos -0.000002 0.000107
Rp_pos epsilon_f_neg 0.000983 0.003754
Rp_pos epsilon_f_pos 0.000983 0.003754
Rp_pos epsilon_neg 0.000982 0.003754
Rp_pos epsilon_sep 0.000983 0.003754
Rp_pos epsilon_pos 0.000977 0.003755
Rp_pos Cdl_neg 0.000982 0.003754
Rp_pos Cdl_pos 0.000983 0.003753
Rp_pos cs_max_neg 0.000983 0.003754
Rp_pos cs_max_pos 0.000983 0.003754
Rp_pos c0 0.000983 0.003754
Rp_pos D 0.000983 0.003754
Rp_pos Ds_neg 0.000983 0.003754
Rp_pos Ds_pos 0.000983 0.003754
Rp_pos d2Udcp2_pos_sgn 0.000983 0.003754
Rp_pos d2Udcp2_neg_sgn 0.000983 0.003754
Rp_pos d3Udcp3_pos_sgn 0.000983 0.003754
Rp_pos d3Udcp3_neg_sgn 0.000983 0.003754
Rp_pos dUdcp_pos_mag 0.000983 0.003754
Rp_pos dUdcp_neg_mag 0.000983 0.003754
Rp_pos d2Udcp2_pos_mag 0.000983 0.003754
Rp_pos d2Udcp2_neg_mag 0.000983 0.003754
Rp_pos d3Udcp3_pos_mag 0.000983 0.003754
Rp_pos d3Udcp3_neg_mag 0.000983 0.003754
Rp_pos i0_neg 0.000982 0.003754
Rp_pos i0_pos 0.000984 0.003754
Rp_pos SOC_neg 0.000983 0.003754
Rp_pos SOC_pos 0.000983 0.003754
Rp_pos tP 0.000983 0.003754
Rp_pos aa_neg 0.000983 0.003754
Rp_pos aa_pos 0.000982 0.003754
Rp_pos kappa_0 0.000988 0.003776
Rp_pos sigma_neg 0.000983 0.003754
Rp_pos sigma_pos 0.000983 0.003754
epsilon_f_neg epsilon_f_pos -0.000000 0.000002
epsilon_f_neg epsilon_neg 0.000000 0.000004
epsilon_f_neg epsilon_sep -0.000000 0.000002
epsilon_f_neg epsilon_pos 0.000000 0.000002
epsilon_f_neg Cdl_neg 0.000000 0.000002
epsilon_f_neg Cdl_pos 0.000000 0.000003
epsilon_f_neg cs_max_neg -0.000000 0.000002
epsilon_f_neg cs_max_pos -0.000000 0.000002
epsilon_f_neg c0 -0.000000 0.000002
epsilon_f_neg D -0.000000 0.000002
epsilon_f_neg Ds_neg -0.000000 0.000002
epsilon_f_neg Ds_pos -0.000000 0.000002
epsilon_f_neg d2Udcp2_pos_sgn -0.000000 0.000002
epsilon_f_neg d2Udcp2_neg_sgn -0.000000 0.000002
epsilon_f_neg d3Udcp3_pos_sgn -0.000000 0.000002
epsilon_f_neg d3Udcp3_neg_sgn -0.000000 0.000002
epsilon_f_neg dUdcp_pos_mag -0.000000 0.000002
epsilon_f_neg dUdcp_neg_mag -0.000000 0.000002
epsilon_f_neg d2Udcp2_pos_mag -0.000000 0.000002
epsilon_f_neg d2Udcp2_neg_mag -0.000000 0.000002
epsilon_f_neg d3Udcp3_pos_mag -0.000000 0.000002
epsilon_f_neg d3Udcp3_neg_mag -0.000000 0.000002
epsilon_f_neg i0_neg -0.000000 0.000002
