Parameter S1 S1_conf ST ST_conf
a_neg 0.003692 0.064540 0.508396 0.477936
a_pos 0.046432 0.131992 4.824120 20.163550
l_neg 0.000012 0.000082 0.000001 0.000002
l_sep 0.000000 0.000000 0.000000 0.000000
l_pos 0.000375 0.000851 0.000054 0.000132
Rp_neg -0.000019 0.000050 0.000000 0.000002
Rp_pos -0.000081 0.000512 0.000018 0.000116
epsilon_f_neg -0.000004 0.000015 0.000000 0.000000
epsilon_f_pos -0.000008 0.000016 0.000000 0.000000
epsilon_neg 0.015740 0.050179 0.542242 0.291790
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.103589 0.519275 3.409533 7.368866
Cdl_neg -0.007939 0.031333 0.693783 0.356124
Cdl_pos -0.006926 0.019706 2.377504 16.321790
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000001 0.000007 0.000000 0.000000
D -0.000000 0.000001 0.000000 0.000000
Ds_neg -0.000024 0.000054 0.000001 0.000008
Ds_pos -0.000004 0.000033 0.000000 0.000000
d2Udcp2_pos_sgn -0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000038 0.000229 0.000003 0.000022
dUdcp_neg_mag -0.000040 0.000129 0.000001 0.000002
d2Udcp2_pos_mag -0.000003 0.000015 0.000000 0.000000
d2Udcp2_neg_mag -0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag -0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.002433 0.026533 0.079912 0.299184
i0_pos 0.047296 0.112196 0.730419 1.613623
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.000000 0.000007 0.000000 0.000000
aa_neg 0.003933 0.011183 0.003496 0.002478
aa_pos 0.004001 0.008376 0.010058 0.036055
kappa_0 0.059395 0.357283 8.730853 55.206605
sigma_neg 0.000031 0.000119 0.000000 0.000000
sigma_pos -0.000008 0.000035 0.000000 0.000001

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.006756 0.217822
a_neg l_neg 0.036379 0.093550
a_neg l_sep 0.036386 0.093515
a_neg l_pos 0.036389 0.093515
a_neg Rp_neg 0.036393 0.093507
a_neg Rp_pos 0.036232 0.093561
a_neg epsilon_f_neg 0.036388 0.093508
a_neg epsilon_f_pos 0.036386 0.093516
a_neg epsilon_neg 0.431603 2.413134
a_neg epsilon_sep 0.036386 0.093515
a_neg epsilon_pos 0.040839 0.092261
a_neg Cdl_neg 0.196223 1.074610
a_neg Cdl_pos 0.034736 0.095463
a_neg cs_max_neg 0.036386 0.093515
a_neg cs_max_pos 0.036386 0.093515
a_neg c0 0.036385 0.093519
a_neg D 0.036387 0.093515
a_neg Ds_neg 0.036380 0.093519
a_neg Ds_pos 0.036393 0.093498
a_neg d2Udcp2_pos_sgn 0.036386 0.093515
a_neg d2Udcp2_neg_sgn 0.036386 0.093515
a_neg d3Udcp3_pos_sgn 0.036386 0.093515
a_neg d3Udcp3_neg_sgn 0.036386 0.093515
a_neg dUdcp_pos_mag 0.036461 0.093481
a_neg dUdcp_neg_mag 0.036393 0.093463
a_neg d2Udcp2_pos_mag 0.036389 0.093508
a_neg d2Udcp2_neg_mag 0.036386 0.093515
a_neg d3Udcp3_pos_mag 0.036386 0.093515
a_neg d3Udcp3_neg_mag 0.036386 0.093515
a_neg i0_neg 0.028969 0.089196
a_neg i0_pos 0.035091 0.093713
a_neg SOC_neg 0.036386 0.093515
a_neg SOC_pos 0.036386 0.093515
a_neg tP 0.036385 0.093518
a_neg aa_neg 0.039872 0.097448
a_neg aa_pos 0.036557 0.093457
a_neg kappa_0 0.124562 0.719822
a_neg sigma_neg 0.036388 0.093556
a_neg sigma_pos 0.036378 0.093520
a_pos l_neg -0.204199 0.436182
a_pos l_sep -0.204140 0.436050
a_pos l_pos -0.200086 0.427267
a_pos Rp_neg -0.204137 0.436053
a_pos Rp_pos -0.204920 0.436231
a_pos epsilon_f_neg -0.204140 0.436050
a_pos epsilon_f_pos -0.204139 0.436048
a_pos epsilon_neg -0.211027 0.443685
a_pos epsilon_sep -0.204140 0.436050
a_pos epsilon_pos -1.448968 3.076043
a_pos Cdl_neg -0.207984 0.443014
a_pos Cdl_pos -0.196606 0.418695
a_pos cs_max_neg -0.204140 0.436050
a_pos cs_max_pos -0.204140 0.436050
a_pos c0 -0.204141 0.436049
a_pos D -0.204141 0.436053
a_pos Ds_neg -0.204131 0.436048
a_pos Ds_pos -0.204141 0.436052
a_pos d2Udcp2_pos_sgn -0.204140 0.436050
a_pos d2Udcp2_neg_sgn -0.204140 0.436050
a_pos d3Udcp3_pos_sgn -0.204140 0.436050
a_pos d3Udcp3_neg_sgn -0.204140 0.436050
a_pos dUdcp_pos_mag -0.203760 0.435897
a_pos dUdcp_neg_mag -0.204140 0.436055
a_pos d2Udcp2_pos_mag -0.204140 0.436050
a_pos d2Udcp2_neg_mag -0.204140 0.436050
a_pos d3Udcp3_pos_mag -0.204140 0.436050
a_pos d3Udcp3_neg_mag -0.204140 0.436050
a_pos i0_neg -0.208940 0.444577
a_pos i0_pos 0.327055 0.803154
a_pos SOC_neg -0.204140 0.436050
a_pos SOC_pos -0.204140 0.436050
a_pos tP -0.204140 0.436050
a_pos aa_neg -0.204887 0.437371
a_pos aa_pos -0.164194 0.351664
a_pos kappa_0 0.484568 3.556772
a_pos sigma_neg -0.204141 0.436050
a_pos sigma_pos -0.204100 0.435995
l_neg l_sep 0.000236 0.000861
l_neg l_pos 0.000236 0.000861
l_neg Rp_neg 0.000236 0.000861
l_neg Rp_pos 0.000234 0.000856
l_neg epsilon_f_neg 0.000236 0.000861
