Parameter S1 S1_conf ST ST_conf
a_neg -1.129189 1.824956 191.163534 306.015280
a_pos 0.110292 0.229432 10.134269 14.020173
l_neg 0.000073 0.000059 0.000076 0.000077
l_sep 0.000000 0.000000 0.000000 0.000000
l_pos -0.003938 0.003369 0.003366 0.002151
Rp_neg -0.000000 0.000001 0.000000 0.000000
Rp_pos -0.000002 0.000006 0.000000 0.000000
epsilon_f_neg -0.000002 0.000003 0.000000 0.000000
epsilon_f_pos -0.000002 0.000004 0.000000 0.000000
epsilon_neg -0.005265 0.024726 41.005501 46.849090
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.207333 0.172891 3.390004 3.102735
Cdl_neg 0.003159 0.013896 3.224782 4.828282
Cdl_pos -0.014340 0.064079 1.788758 2.427021
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000000 0.000001 0.000000 0.000000
D 0.000000 0.000000 0.000000 0.000000
Ds_neg 0.000000 0.000001 0.000000 0.000000
Ds_pos 0.000007 0.000007 0.000000 0.000000
d2Udcp2_pos_sgn -0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn -0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000001 0.000010 0.000000 0.000000
dUdcp_neg_mag -0.000020 0.000027 0.000000 0.000000
d2Udcp2_pos_mag -0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.001318 0.003573 0.013213 0.009359
i0_pos 0.092227 0.090112 1.846345 1.441238
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.000001 0.000003 0.000000 0.000000
aa_neg 0.002789 0.002522 0.001263 0.000768
aa_pos -0.012555 0.012551 1.035653 0.819638
kappa_0 0.045707 0.119518 12.909437 19.532395
sigma_neg 0.000016 0.000022 0.000000 0.000000
sigma_pos -0.000016 0.000011 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos 1.033097 1.795427
a_neg l_neg 1.161511 1.832431
a_neg l_sep 1.161521 1.832430
a_neg l_pos 1.162753 1.832898
a_neg Rp_neg 1.161508 1.832427
a_neg Rp_pos 1.161510 1.832427
a_neg epsilon_f_neg 1.161524 1.832431
a_neg epsilon_f_pos 1.161525 1.832431
a_neg epsilon_neg 1.450563 1.956310
a_neg epsilon_sep 1.161521 1.832430
a_neg epsilon_pos 1.161474 1.832684
a_neg Cdl_neg 1.321251 1.886776
a_neg Cdl_pos 1.167965 1.834241
a_neg cs_max_neg 1.161521 1.832430
a_neg cs_max_pos 1.161521 1.832430
a_neg c0 1.161521 1.832430
a_neg D 1.161521 1.832430
a_neg Ds_neg 1.161528 1.832432
a_neg Ds_pos 1.161517 1.832429
a_neg d2Udcp2_pos_sgn 1.161521 1.832430
a_neg d2Udcp2_neg_sgn 1.161521 1.832430
a_neg d3Udcp3_pos_sgn 1.161521 1.832430
a_neg d3Udcp3_neg_sgn 1.161521 1.832430
a_neg dUdcp_pos_mag 1.161524 1.832431
a_neg dUdcp_neg_mag 1.161504 1.832430
a_neg d2Udcp2_pos_mag 1.161521 1.832430
a_neg d2Udcp2_neg_mag 1.161521 1.832430
a_neg d3Udcp3_pos_mag 1.161521 1.832430
a_neg d3Udcp3_neg_mag 1.161521 1.832430
a_neg i0_neg 1.166469 1.833285
a_neg i0_pos 1.160552 1.832406
a_neg SOC_neg 1.161521 1.832430
a_neg SOC_pos 1.161521 1.832430
a_neg tP 1.161521 1.832430
a_neg aa_neg 1.163130 1.831859
a_neg aa_pos 1.162445 1.832607
a_neg kappa_0 1.294296 1.890730
a_neg sigma_neg 1.161534 1.832431
a_neg sigma_pos 1.161485 1.832423
a_pos l_neg 0.104471 0.336783
a_pos l_sep 0.104199 0.336543
a_pos l_pos 0.084660 0.321774
a_pos Rp_neg 0.104199 0.336543
a_pos Rp_pos 0.104181 0.336549
a_pos epsilon_f_neg 0.104199 0.336543
a_pos epsilon_f_pos 0.104197 0.336543
a_pos epsilon_neg 0.101907 0.336804
a_pos epsilon_sep 0.104199 0.336543
a_pos epsilon_pos 1.075705 1.308562
a_pos Cdl_neg 0.104145 0.332762
a_pos Cdl_pos 0.235733 0.403516
a_pos cs_max_neg 0.104199 0.336543
a_pos cs_max_pos 0.104199 0.336543
a_pos c0 0.104197 0.336543
a_pos D 0.104200 0.336543
a_pos Ds_neg 0.104199 0.336543
a_pos Ds_pos 0.104198 0.336544
a_pos d2Udcp2_pos_sgn 0.104199 0.336543
a_pos d2Udcp2_neg_sgn 0.104199 0.336543
a_pos d3Udcp3_pos_sgn 0.104199 0.336543
a_pos d3Udcp3_neg_sgn 0.104199 0.336543
a_pos dUdcp_pos_mag 0.104209 0.336540
a_pos dUdcp_neg_mag 0.104199 0.336543
a_pos d2Udcp2_pos_mag 0.104199 0.336543
a_pos d2Udcp2_neg_mag 0.104199 0.336543
a_pos d3Udcp3_pos_mag 0.104199 0.336543
a_pos d3Udcp3_neg_mag 0.104199 0.336543
a_pos i0_neg 0.102716 0.335654
a_pos i0_pos 0.796228 0.992331
a_pos SOC_neg 0.104199 0.336543
a_pos SOC_pos 0.104199 0.336543
a_pos tP 0.104199 0.336544
a_pos aa_neg 0.103682 0.336380
a_pos aa_pos 0.009193 0.269463
a_pos kappa_0 0.346276 0.677792
a_pos sigma_neg 0.104200 0.336544
a_pos sigma_pos 0.104181 0.336521
l_neg l_sep 0.000064 0.000211
l_neg l_pos 0.000063 0.000210
l_neg Rp_neg 0.000064 0.000211
l_neg Rp_pos 0.000064 0.000211
l_neg epsilon_f_neg 0.000064 0.000211
l_neg epsilon_f_pos 0.000064 0.000211
l_neg epsilon_neg -0.000054 0.000261
l_neg epsilon_sep 0.000064 0.000211
l_neg epsilon_pos -0.000079 0.000061
l_neg Cdl_neg -0.000042 0.000214
l_neg Cdl_pos -0.000065 0.000090
l_neg cs_max_neg 0.000064 0.000211
l_neg cs_max_pos 0.000064 0.000211
l_neg c0 0.000064 0.000211
l_neg D 0.000064 0.000211
l_neg Ds_neg 0.000064 0.000211
l_neg Ds_pos 0.000064 0.000211
l_neg d2Udcp2_pos_sgn 0.000064 0.000211
l_neg d2Udcp2_neg_sgn 0.000064 0.000211
l_neg d3Udcp3_pos_sgn 0.000064 0.000211
l_neg d3Udcp3_neg_sgn 0.000064 0.000211
l_neg dUdcp_pos_mag 0.000064 0.000212
l_neg dUdcp_neg_mag 0.000064 0.000211
l_neg d2Udcp2_pos_mag 0.000064 0.000211
l_neg d2Udcp2_neg_mag 0.000064 0.000211
l_neg d3Udcp3_pos_mag 0.000064 0.000211
l_neg d3Udcp3_neg_mag 0.000064 0.000211
l_neg i0_neg 0.000065 0.000212
l_neg i0_pos 0.000040 0.000194
l_neg SOC_neg 0.000064 0.000211
