Parameter S1 S1_conf ST ST_conf
a_neg 0.453237 1.155442 94.519642 242.612079
a_pos 0.137123 0.350365 30.125038 74.493433
l_neg -0.000027 0.000120 0.117353 0.081126
l_sep -0.000009 0.000007 0.440307 0.305033
l_pos -0.003532 0.014687 0.086643 0.172118
Rp_neg 0.000000 0.000000 0.000000 0.000000
Rp_pos 0.000001 0.000001 0.000000 0.000000
epsilon_f_neg -0.000001 0.000002 0.000000 0.000000
epsilon_f_pos -0.000003 0.000005 0.000000 0.000000
epsilon_neg 0.009208 0.017708 16.552668 31.072994
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.028585 0.102454 0.862110 1.280094
Cdl_neg 0.016609 0.046317 2.035467 2.558674
Cdl_pos 0.040260 0.093157 0.705159 0.896915
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000003 0.000008 0.076805 0.053208
D 0.000000 0.000004 0.010567 0.007320
Ds_neg 0.000000 0.000000 0.000000 0.000000
Ds_pos 0.000000 0.000000 0.000000 0.000000
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn -0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000003 0.000007 0.000000 0.000000
dUdcp_neg_mag -0.000001 0.000001 0.000000 0.000000
d2Udcp2_pos_mag -0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.002995 0.004174 0.028381 0.036060
i0_pos 0.006477 0.017011 0.176574 0.285790
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000014 0.000010 0.440162 0.304932
aa_neg 0.000975 0.002132 0.000780 0.000985
aa_pos 0.000180 0.001288 0.167009 0.140158
kappa_0 0.019003 0.050860 5.928636 8.932023
sigma_neg 0.000007 0.000016 0.000000 0.000000
sigma_pos -0.000006 0.000014 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.559767 1.308639
a_neg l_neg -0.444283 1.155896
a_neg l_sep -0.444280 1.155887
a_neg l_pos -0.439097 1.150360
a_neg Rp_neg -0.444281 1.155886
a_neg Rp_pos -0.444281 1.155887
a_neg epsilon_f_neg -0.444280 1.155886
a_neg epsilon_f_pos -0.444284 1.155890
a_neg epsilon_neg -0.326230 1.065570
a_neg epsilon_sep -0.444281 1.155887
a_neg epsilon_pos -0.442632 1.154782
a_neg Cdl_neg -0.287339 1.036174
a_neg Cdl_pos -0.439036 1.150795
a_neg cs_max_neg -0.444281 1.155887
a_neg cs_max_pos -0.444281 1.155887
a_neg c0 -0.444278 1.155884
a_neg D -0.444282 1.155888
a_neg Ds_neg -0.444281 1.155887
a_neg Ds_pos -0.444281 1.155887
a_neg d2Udcp2_pos_sgn -0.444281 1.155887
a_neg d2Udcp2_neg_sgn -0.444281 1.155887
a_neg d3Udcp3_pos_sgn -0.444281 1.155887
a_neg d3Udcp3_neg_sgn -0.444281 1.155887
a_neg dUdcp_pos_mag -0.444281 1.155887
a_neg dUdcp_neg_mag -0.444281 1.155886
a_neg d2Udcp2_pos_mag -0.444281 1.155887
a_neg d2Udcp2_neg_mag -0.444281 1.155887
a_neg d3Udcp3_pos_mag -0.444281 1.155887
a_neg d3Udcp3_neg_mag -0.444281 1.155887
a_neg i0_neg -0.440225 1.154328
a_neg i0_pos -0.445633 1.156757
a_neg SOC_neg -0.444281 1.155887
a_neg SOC_pos -0.444281 1.155887
a_neg tP -0.444277 1.155884
a_neg aa_neg -0.443410 1.155092
a_neg aa_pos -0.444153 1.155725
a_neg kappa_0 -0.402173 1.124377
a_neg sigma_neg -0.444278 1.155882
a_neg sigma_pos -0.444264 1.155877
a_pos l_neg -0.103164 0.330627
a_pos l_sep -0.102750 0.330357
a_pos l_pos -0.021179 0.351034
a_pos Rp_neg -0.102263 0.330433
a_pos Rp_pos -0.102264 0.330433
a_pos epsilon_f_neg -0.102263 0.330433
a_pos epsilon_f_pos -0.102264 0.330433
a_pos epsilon_neg -0.103384 0.331013
a_pos epsilon_sep -0.102263 0.330433
a_pos epsilon_pos -0.773616 1.579045
a_pos Cdl_neg -0.093292 0.323704
a_pos Cdl_pos -0.041808 0.325924
a_pos cs_max_neg -0.102263 0.330433
a_pos cs_max_pos -0.102263 0.330433
a_pos c0 -0.102051 0.330459
a_pos D -0.102337 0.330420
a_pos Ds_neg -0.102263 0.330433
a_pos Ds_pos -0.102263 0.330433
a_pos d2Udcp2_pos_sgn -0.102263 0.330433
a_pos d2Udcp2_neg_sgn -0.102263 0.330433
a_pos d3Udcp3_pos_sgn -0.102263 0.330433
a_pos d3Udcp3_neg_sgn -0.102263 0.330433
a_pos dUdcp_pos_mag -0.102265 0.330434
a_pos dUdcp_neg_mag -0.102263 0.330433
a_pos d2Udcp2_pos_mag -0.102263 0.330433
a_pos d2Udcp2_neg_mag -0.102263 0.330433
a_pos d3Udcp3_pos_mag -0.102263 0.330433
a_pos d3Udcp3_neg_mag -0.102263 0.330433
a_pos i0_neg -0.103097 0.330845
a_pos i0_pos 0.208458 0.722010
a_pos SOC_neg -0.102263 0.330433
a_pos SOC_pos -0.102263 0.330433
a_pos tP -0.102742 0.330353
a_pos aa_neg -0.102367 0.330476
a_pos aa_pos -0.118148 0.338086
a_pos kappa_0 -0.009932 0.389228
a_pos sigma_neg -0.102263 0.330433
a_pos sigma_pos -0.102271 0.330435
l_neg l_sep -0.000318 0.000618
l_neg l_pos -0.000377 0.000685
l_neg Rp_neg -0.000319 0.000618
l_neg Rp_pos -0.000319 0.000618
l_neg epsilon_f_neg -0.000319 0.000618
l_neg epsilon_f_pos -0.000319 0.000618
l_neg epsilon_neg -0.000585 0.001050
l_neg epsilon_sep -0.000319 0.000618
l_neg epsilon_pos -0.000026 0.000141
l_neg Cdl_neg -0.000777 0.001499
l_neg Cdl_pos -0.000424 0.000784
l_neg cs_max_neg -0.000319 0.000618
l_neg cs_max_pos -0.000319 0.000618
l_neg c0 -0.000319 0.000618
l_neg D -0.000319 0.000618
l_neg Ds_neg -0.000319 0.000618
l_neg Ds_pos -0.000319 0.000618
l_neg d2Udcp2_pos_sgn -0.000319 0.000618
l_neg d2Udcp2_neg_sgn -0.000319 0.000618
l_neg d3Udcp3_pos_sgn -0.000319 0.000618
l_neg d3Udcp3_neg_sgn -0.000319 0.000618
l_neg dUdcp_pos_mag -0.000319 0.000618
l_neg dUdcp_neg_mag -0.000319 0.000618
l_neg d2Udcp2_pos_mag -0.000319 0.000618
l_neg d2Udcp2_neg_mag -0.000319 0.000618
l_neg d3Udcp3_pos_mag -0.000319 0.000618
l_neg d3Udcp3_neg_mag -0.000319 0.000618
l_neg i0_neg -0.000329 0.000625
l_neg i0_pos -0.000235 0.000516
l_neg SOC_neg -0.000319 0.000618
l_neg SOC_pos -0.000319 0.000618
l_neg tP -0.000319 0.000619
l_neg aa_neg -0.000323 0.000621
l_neg aa_pos -0.000390 0.000774
l_neg kappa_0 -0.016636 0.040670
l_neg sigma_neg -0.000319 0.000618
l_neg sigma_pos -0.000319 0.000619
l_sep l_pos 0.000009 0.000007
